,accuracy
462,0.7428
463,0.7419
464,0.7423
465,0.7426
466,0.7429
467,0.7413
468,0.7429
469,0.7427
470,0.7437
471,0.7441
472,0.7433
473,0.7439
474,0.7432
475,0.7422
476,0.7429
477,0.7434
478,0.7429
479,0.7423
480,0.7426
481,0.7443
482,0.7432
483,0.7442
484,0.7422
485,0.743
486,0.7424
487,0.7443
488,0.7434
489,0.7431
490,0.742
491,0.7427
492,0.7435
493,0.5953
494,0.7187
495,0.7289
496,0.7286
497,0.7377
498,0.7361
499,0.7356
500,0.7421
501,0.7486
502,0.754
503,0.7532
504,0.7544
505,0.7535
506,0.7533
507,0.7551
508,0.7527
509,0.7476
510,0.7378
511,0.7423
512,0.7506
513,0.7493
514,0.7518
515,0.7475
516,0.75
517,0.7505
518,0.7473
519,0.7437
520,0.7474
521,0.7462
522,0.7512
523,0.7517
524,0.7581
525,0.7546
526,0.7545
527,0.7559
528,0.7553
529,0.7545
530,0.7578
531,0.7463
532,0.7203
533,0.7429
534,0.7429
535,0.7462
536,0.7461
537,0.7516
538,0.748
539,0.7429
540,0.7441
541,0.7452
542,0.7463
543,0.7493
544,0.7451
545,0.7516
546,0.7502
547,0.7507
548,0.7453
549,0.7427
550,0.7511
551,0.7403
552,0.7508
553,0.7555
554,0.7565
555,0.7559
556,0.7491
557,0.756
558,0.7397
559,0.7426
560,0.7516
561,0.7504
562,0.7527
563,0.7498
564,0.7474
565,0.7502
566,0.7525
567,0.753
568,0.7511
569,0.7515
570,0.7531
571,0.7554
572,0.756
573,0.7563
574,0.7491
575,0.7485
576,0.7514
577,0.7528
578,0.7533
579,0.7517
580,0.7515
581,0.7534
582,0.7478
583,0.7557
584,0.7469
585,0.7528
586,0.749
587,0.746
588,0.75
589,0.7508
590,0.7519
591,0.7544
592,0.7593
593,0.7604
594,0.7599
595,0.7597
596,0.7596
597,0.7608
598,0.7607
599,0.761
600,0.7625
601,0.7661
602,0.7686
603,0.7682
604,0.7691
605,0.7686
606,0.7708
607,0.7688
608,0.7687
609,0.7686
610,0.7626
611,0.7509
612,0.7611
613,0.7672
614,0.7594
615,0.761
616,0.7642
617,0.7634
618,0.7596
619,0.763
620,0.7383
621,0.7602
622,0.7633
623,0.7626
624,0.7631
625,0.7646
626,0.766
627,0.7671
628,0.7457
629,0.7545
630,0.7591
631,0.7658
632,0.7655
633,0.7673
634,0.7639
635,0.7664
636,0.7685
637,0.7679
638,0.7681
639,0.7685
640,0.7687
641,0.7703
642,0.769
643,0.7693
644,0.7692
645,0.7691
646,0.7686
647,0.7687
648,0.7682
649,0.7682
650,0.7682
651,0.7688
652,0.7692
653,0.7696
654,0.7685
655,0.7696
656,0.7689
657,0.7681
658,0.7698
659,0.7694
660,0.7699
661,0.7693
662,0.7636
663,0.7399
664,0.7586
665,0.7664
666,0.7703
667,0.7696
668,0.7707
669,0.7712
670,0.7707
671,0.7701
672,0.7702
673,0.7717
674,0.7706
675,0.7445
676,0.7541
677,0.7687
678,0.7717
679,0.7686
680,0.7748
681,0.7745
682,0.7757
683,0.7751
684,0.7753
685,0.7756
686,0.7758
687,0.7768
688,0.7764
689,0.7763
690,0.777
691,0.7759
692,0.7771
693,0.7771
694,0.7767
695,0.7773
696,0.7774
697,0.7762
698,0.7771
699,0.7785
700,0.78
701,0.782
702,0.7828
703,0.7812
704,0.7826
705,0.7776
706,0.779
707,0.7785
708,0.7801
709,0.7807
710,0.7801
