,accuracy,lr
379,0.6904,0.001
380,0.7017,0.001
381,0.6983,0.001
382,0.7079,0.001
383,0.7063,0.001
384,0.7104,0.001
385,0.7057,0.001
386,0.7072,0.001
387,0.7036,0.001
388,0.6958,0.001
389,0.7041,0.001
390,0.7026,0.001
391,0.7045,0.001
392,0.7053,0.001
393,0.7119,0.001
394,0.7111,0.001
395,0.7095,0.001
396,0.707,0.001
397,0.707,0.001
398,0.7007,0.001
399,0.712,0.001
400,0.7246,0.0001
401,0.7317,0.0002
402,0.7373,0.00030000000000000003
403,0.7347,0.0004
404,0.7368,0.0005
405,0.734,0.0006000000000000001
406,0.7357,0.0007000000000000001
407,0.733,0.0008
408,0.7257,0.0009
409,0.7184,0.001
410,0.7296,0.001
411,0.7312,0.001
412,0.7305,0.001
413,0.7248,0.001
414,0.7338,0.001
415,0.7332,0.001
416,0.7278,0.001
417,0.7275,0.001
418,0.7276,0.001
419,0.7343,0.001
420,0.7367,0.001
421,0.7205,0.001
422,0.7252,0.001
423,0.7202,0.001
424,0.7235,0.001
425,0.7318,0.001
426,0.7275,0.001
427,0.7371,0.001
428,0.7318,0.001
429,0.7248,0.001
430,0.719,0.001
431,0.7259,0.001
432,0.7227,0.001
433,0.7321,0.001
434,0.7258,0.001
435,0.7335,0.001
436,0.7311,0.001
437,0.7294,0.001
438,0.7261,0.001
439,0.7243,0.001
440,0.7227,0.001
441,0.7241,0.001
442,0.7259,0.001
443,0.7301,0.001
444,0.7396,0.001
445,0.7387,0.001
446,0.7344,0.001
447,0.7366,0.001
448,0.7292,0.001
449,0.7276,0.001
450,0.7226,0.001
451,0.7339,0.001
452,0.7267,0.001
453,0.728,0.001
454,0.7318,0.001
455,0.7314,0.001
456,0.7355,0.001
457,0.7207,0.001
458,0.7237,0.001
459,0.7248,0.001
460,0.7213,0.001
461,0.7187,0.001
462,0.7251,0.001
463,0.7289,0.001
464,0.7244,0.001
465,0.7285,0.001
466,0.7287,0.001
467,0.7277,0.001
468,0.7303,0.001
469,0.7258,0.001
470,0.7246,0.001
471,0.7268,0.001
472,0.7282,0.001
473,0.7289,0.001
474,0.7227,0.001
475,0.7181,0.001
476,0.7221,0.001
477,0.7275,0.001
478,0.7252,0.001
479,0.7274,0.001
480,0.7339,0.001
481,0.7366,0.001
482,0.7282,0.001
483,0.724,0.001
484,0.7261,0.001
485,0.7246,0.001
486,0.7286,0.001
487,0.7284,0.001
488,0.7294,0.001
489,0.7239,0.001
490,0.7259,0.001
491,0.7246,0.001
492,0.7234,0.001
493,0.7222,0.001
494,0.722,0.001
495,0.7294,0.001
496,0.7339,0.001
497,0.7256,0.001
498,0.7327,0.001
499,0.7312,0.001
500,0.7418,0.0001
501,0.7467,0.0002
502,0.7546,0.00030000000000000003
503,0.7539,0.0004
504,0.7554,0.0005
505,0.753,0.0006000000000000001
506,0.7513,0.0007000000000000001
507,0.7521,0.0008
508,0.7443,0.0009
509,0.7271,0.001
510,0.7386,0.001
511,0.7454,0.001
512,0.7448,0.001
513,0.7474,0.001
514,0.7498,0.001
515,0.7476,0.001
516,0.7433,0.001
517,0.7382,0.001
518,0.7424,0.001
519,0.7473,0.001
520,0.7535,0.001
521,0.7513,0.001
522,0.752,0.001
523,0.7535,0.001
524,0.7503,0.001
525,0.7463,0.001
526,0.7369,0.001
527,0.7392,0.001
528,0.742,0.001
529,0.743,0.001
530,0.7415,0.001
531,0.7463,0.001
532,0.7464,0.001
533,0.7441,0.001
534,0.7474,0.001
535,0.7514,0.001
536,0.7432,0.001
537,0.7452,0.001
538,0.7456,0.001
539,0.7498,0.001
540,0.7498,0.001
541,0.7492,0.001
542,0.7516,0.001
543,0.7454,0.001
544,0.7414,0.001
545,0.7301,0.001
546,0.7469,0.001
547,0.7432,0.001
548,0.751,0.001
549,0.7482,0.001
550,0.7533,0.001
551,0.7558,0.001
552,0.7544,0.001
553,0.7537,0.001
554,0.752,0.001
555,0.7542,0.001
556,0.7547,0.001
557,0.7544,0.001
558,0.7559,0.001
559,0.7554,0.001
560,0.7555,0.001
561,0.7556,0.001
562,0.7563,0.001
563,0.7563,0.001
564,0.7563,0.001
565,0.7554,0.001
566,0.7552,0.001
567,0.757,0.001
568,0.7561,0.001
569,0.7553,0.001
570,0.7536,0.001
571,0.7541,0.001
572,0.7527,0.001
573,0.7554,0.001
574,0.7536,0.001
575,0.7549,0.001
576,0.718,0.001
577,0.7418,0.001
578,0.7411,0.001
579,0.7491,0.001
580,0.7494,0.001
581,0.7506,0.001
582,0.7451,0.001
583,0.7486,0.001
584,0.7545,0.001
585,0.7406,0.001
586,0.7451,0.001
587,0.7465,0.001
588,0.7475,0.001
589,0.7482,0.001
590,0.7449,0.001
591,0.7461,0.001
592,0.7459,0.001
593,0.7442,0.001
594,0.743,0.001
595,0.7416,0.001
596,0.7515,0.001
597,0.7564,0.001
598,0.7496,0.001
599,0.7527,0.001
600,0.7572,0.0001
601,0.7608,0.0002
602,0.7658,0.00030000000000000003
603,0.7636,0.0004
604,0.7654,0.0005
605,0.7634,0.0006000000000000001
606,0.7601,0.0007000000000000001
607,0.7632,0.0008
608,0.7616,0.0009
609,0.7616,0.001
610,0.7624,0.001
611,0.7588,0.001
612,0.7422,0.001
613,0.7505,0.001
614,0.7569,0.001
615,0.7581,0.001
616,0.7595,0.001
617,0.7606,0.001
618,0.758,0.001
619,0.7636,0.001
