,accuracy,lr
285,0.6648,0.001
286,0.6735,0.001
287,0.6656,0.001
288,0.6758,0.001
289,0.667,0.001
290,0.6715,0.001
291,0.6688,0.001
292,0.6739,0.001
293,0.6724,0.001
294,0.6745,0.001
295,0.6786,0.001
296,0.6776,0.001
297,0.679,0.001
298,0.6797,0.001
299,0.6804,0.001
300,0.6914,0.0001
301,0.701,0.0002
302,0.7072,0.00030000000000000003
303,0.7058,0.0004
304,0.7033,0.0005
305,0.6991,0.0006000000000000001
306,0.7043,0.0007000000000000001
307,0.6977,0.0008
308,0.6882,0.0009
309,0.6925,0.001
310,0.6934,0.001
311,0.6907,0.001
312,0.6967,0.001
313,0.6942,0.001
314,0.6967,0.001
315,0.6943,0.001
316,0.691,0.001
317,0.6987,0.001
318,0.7018,0.001
319,0.6982,0.001
320,0.7042,0.001
321,0.6875,0.001
322,0.7013,0.001
323,0.7002,0.001
324,0.689,0.001
325,0.7024,0.001
326,0.7,0.001
327,0.7061,0.001
328,0.6927,0.001
329,0.6999,0.001
330,0.7028,0.001
331,0.6925,0.001
332,0.6887,0.001
333,0.7019,0.001
334,0.7034,0.001
335,0.701,0.001
336,0.6981,0.001
337,0.7012,0.001
338,0.697,0.001
339,0.6913,0.001
340,0.7075,0.001
341,0.6934,0.001
342,0.6977,0.001
343,0.6888,0.001
344,0.6935,0.001
345,0.7006,0.001
346,0.7018,0.001
347,0.6968,0.001
348,0.6848,0.001
349,0.6924,0.001
350,0.7001,0.001
351,0.6954,0.001
352,0.7007,0.001
353,0.6878,0.001
354,0.6862,0.001
355,0.6982,0.001
356,0.699,0.001
357,0.6974,0.001
358,0.707,0.001
359,0.6993,0.001
360,0.7062,0.001
361,0.7005,0.001
362,0.7011,0.001
363,0.7012,0.001
364,0.7053,0.001
365,0.6987,0.001
366,0.6997,0.001
367,0.704,0.001
368,0.6989,0.001
369,0.6991,0.001
370,0.6917,0.001
371,0.6974,0.001
372,0.7003,0.001
373,0.7002,0.001
374,0.7018,0.001
375,0.7075,0.001
376,0.7027,0.001
377,0.7092,0.001
378,0.7142,0.001
379,0.7149,0.001
380,0.7141,0.001
381,0.7143,0.001
382,0.7145,0.001
383,0.6931,0.001
384,0.6878,0.001
385,0.6968,0.001
386,0.6998,0.001
387,0.7065,0.001
388,0.706,0.001
389,0.7051,0.001
390,0.6993,0.001
391,0.6926,0.001
392,0.7056,0.001
393,0.705,0.001
394,0.6991,0.001
395,0.6949,0.001
396,0.706,0.001
397,0.7051,0.001
398,0.7,0.001
399,0.7047,0.001
400,0.7178,0.0001
401,0.7257,0.0002
402,0.732,0.00030000000000000003
403,0.7311,0.0004
404,0.7314,0.0005
405,0.7315,0.0006000000000000001
406,0.7288,0.0007000000000000001
407,0.7261,0.0008
408,0.712,0.0009
409,0.7164,0.001
410,0.7176,0.001
