,accuracy,lr
0,0.1002,0.0001
1,0.2837,0.0002
2,0.4034,0.00030000000000000003
3,0.3782,0.0004
4,0.3883,0.0005
5,0.3712,0.0006000000000000001
6,0.3806,0.0007000000000000001
7,0.3926,0.0008
8,0.3937,0.0009
9,0.3603,0.001
10,0.379,0.001
11,0.4139,0.001
12,0.3921,0.001
13,0.3562,0.001
14,0.3711,0.001
15,0.4164,0.001
16,0.3901,0.001
17,0.4123,0.001
18,0.4388,0.001
19,0.4507,0.001
20,0.3591,0.001
21,0.4557,0.001
22,0.4096,0.001
23,0.3938,0.001
24,0.4256,0.001
25,0.4388,0.001
26,0.4368,0.001
27,0.4394,0.001
28,0.4145,0.001
29,0.4103,0.001
30,0.4318,0.001
31,0.3961,0.001
32,0.4461,0.001
33,0.4136,0.001
34,0.4645,0.001
35,0.4429,0.001
36,0.451,0.001
37,0.428,0.001
38,0.4058,0.001
39,0.4286,0.001
40,0.4325,0.001
41,0.4571,0.001
42,0.4546,0.001
43,0.453,0.001
44,0.4597,0.001
45,0.4218,0.001
46,0.4733,0.001
47,0.4544,0.001
48,0.4766,0.001
49,0.4443,0.001
50,0.4459,0.001
51,0.4689,0.001
52,0.4615,0.001
53,0.444,0.001
54,0.4603,0.001
55,0.4588,0.001
56,0.4501,0.001
57,0.4684,0.001
58,0.4817,0.001
59,0.4787,0.001
60,0.4292,0.001
61,0.4604,0.001
62,0.4599,0.001
63,0.4842,0.001
64,0.4914,0.001
65,0.4859,0.001
66,0.4666,0.001
67,0.4482,0.001
68,0.4619,0.001
69,0.4739,0.001
70,0.4525,0.001
71,0.4638,0.001
72,0.4339,0.001
73,0.4819,0.001
74,0.4748,0.001
75,0.4569,0.001
76,0.4932,0.001
77,0.464,0.001
78,0.4644,0.001
79,0.4801,0.001
80,0.4858,0.001
81,0.4651,0.001
82,0.4894,0.001
83,0.4583,0.001
84,0.4999,0.001
85,0.4656,0.001
86,0.4937,0.001
87,0.4769,0.001
88,0.4936,0.001
89,0.4895,0.001
90,0.4766,0.001
91,0.5045,0.001
92,0.4868,0.001
93,0.4971,0.001
94,0.486,0.001
95,0.485,0.001
96,0.4739,0.001
97,0.4827,0.001
98,0.468,0.001
99,0.4773,0.001
100,0.5381,0.0001
