,accuracy,lr
371,0.7031,0.001
372,0.7214,0.001
373,0.6936,0.001
374,0.7171,0.001
375,0.7087,0.001
376,0.7089,0.001
377,0.6935,0.001
378,0.7134,0.001
379,0.7096,0.001
380,0.7061,0.001
381,0.7148,0.001
382,0.71,0.001
383,0.7163,0.001
384,0.7074,0.001
385,0.7169,0.001
386,0.704,0.001
387,0.7168,0.001
388,0.7004,0.001
389,0.7174,0.001
390,0.7197,0.001
391,0.7023,0.001
392,0.7074,0.001
393,0.7126,0.001
394,0.7114,0.001
395,0.7044,0.001
396,0.7166,0.001
397,0.6995,0.001
398,0.7157,0.001
399,0.7123,0.001
400,0.7261,0.0001
401,0.7328,0.0002
402,0.7356,0.00030000000000000003
403,0.739,0.0004
404,0.736,0.0005
405,0.7378,0.0006000000000000001
406,0.7309,0.0007000000000000001
407,0.7293,0.0008
408,0.725,0.0009
409,0.7257,0.001
410,0.7206,0.001
411,0.7247,0.001
412,0.7206,0.001
413,0.7212,0.001
414,0.7289,0.001
415,0.7221,0.001
416,0.7214,0.001
417,0.7184,0.001
418,0.729,0.001
419,0.7247,0.001
420,0.7158,0.001
421,0.7253,0.001
422,0.7223,0.001
423,0.7236,0.001
424,0.7139,0.001
425,0.7251,0.001
426,0.7276,0.001
427,0.6929,0.001
428,0.7262,0.001
429,0.7164,0.001
430,0.7334,0.001
431,0.7271,0.001
432,0.7316,0.001
433,0.7254,0.001
434,0.7288,0.001
435,0.7248,0.001
436,0.7198,0.001
437,0.7275,0.001
438,0.7213,0.001
439,0.7343,0.001
440,0.7291,0.001
441,0.7193,0.001
442,0.7303,0.001
443,0.7164,0.001
444,0.7302,0.001
445,0.7314,0.001
446,0.7351,0.001
447,0.7199,0.001
448,0.7333,0.001
449,0.727,0.001
450,0.7197,0.001
451,0.7291,0.001
452,0.7222,0.001
453,0.7345,0.001
454,0.7346,0.001
455,0.71,0.001
456,0.7349,0.001
457,0.7276,0.001
458,0.7313,0.001
459,0.7288,0.001
460,0.7324,0.001
461,0.7247,0.001
462,0.6889,0.001
463,0.731,0.001
464,0.7221,0.001
465,0.7342,0.001
466,0.727,0.001
467,0.7342,0.001
468,0.7243,0.001
469,0.7092,0.001
470,0.7259,0.001
471,0.7246,0.001
472,0.7325,0.001
473,0.727,0.001
474,0.7369,0.001
475,0.7243,0.001
476,0.7307,0.001
477,0.7325,0.001
478,0.7294,0.001
479,0.7312,0.001
480,0.7281,0.001
481,0.736,0.001
482,0.7305,0.001
483,0.7367,0.001
484,0.7237,0.001
485,0.729,0.001
486,0.7397,0.001
487,0.7354,0.001
488,0.7341,0.001
489,0.7307,0.001
490,0.7379,0.001
491,0.7346,0.001
492,0.735,0.001
493,0.7316,0.001
494,0.7185,0.001
495,0.7393,0.001
496,0.735,0.001
497,0.7407,0.001
498,0.7388,0.001
499,0.7312,0.001
500,0.7432,0.0001
501,0.7476,0.0002
502,0.7464,0.00030000000000000003
503,0.7491,0.0004
504,0.7527,0.0005
505,0.7467,0.0006000000000000001
506,0.7503,0.0007000000000000001
507,0.7474,0.0008
508,0.7426,0.0009
509,0.7478,0.001
510,0.7463,0.001
511,0.747,0.001
512,0.7225,0.001
513,0.744,0.001
514,0.7444,0.001
515,0.7433,0.001
516,0.7444,0.001
517,0.7399,0.001
518,0.7375,0.001
519,0.7464,0.001
520,0.7485,0.001
521,0.7387,0.001
522,0.7478,0.001
523,0.7413,0.001
524,0.7387,0.001
525,0.7516,0.001
526,0.7438,0.001
527,0.7419,0.001
528,0.7441,0.001
529,0.7428,0.001
530,0.7436,0.001
531,0.7353,0.001
532,0.75,0.001
533,0.7476,0.001
534,0.7402,0.001
535,0.7472,0.001
536,0.7491,0.001
537,0.7474,0.001
538,0.7434,0.001
539,0.7441,0.001
540,0.7381,0.001
541,0.7469,0.001
542,0.7482,0.001
543,0.743,0.001
544,0.7458,0.001
545,0.7448,0.001
546,0.7447,0.001
547,0.7386,0.001
548,0.7424,0.001
549,0.7303,0.001
550,0.7448,0.001
551,0.7425,0.001
552,0.7407,0.001
553,0.7366,0.001
554,0.7401,0.001
555,0.7472,0.001
556,0.7444,0.001
557,0.7472,0.001
558,0.7463,0.001
559,0.7427,0.001
560,0.7545,0.001
561,0.7388,0.001
562,0.7385,0.001
563,0.731,0.001
564,0.7531,0.001
565,0.7513,0.001
566,0.7456,0.001
567,0.7481,0.001
568,0.745,0.001
569,0.7492,0.001
570,0.7477,0.001
571,0.7548,0.001
572,0.7414,0.001
573,0.7427,0.001
574,0.7418,0.001
575,0.7378,0.001
576,0.7461,0.001
577,0.7525,0.001
578,0.7464,0.001
579,0.7455,0.001
580,0.7515,0.001
581,0.7377,0.001
582,0.7328,0.001
583,0.749,0.001
584,0.7424,0.001
585,0.7503,0.001
586,0.7538,0.001
587,0.7531,0.001
588,0.7431,0.001
589,0.7463,0.001
590,0.748,0.001
591,0.7506,0.001
592,0.752,0.001
593,0.7443,0.001
594,0.7437,0.001
595,0.7514,0.001
596,0.7463,0.001
597,0.7457,0.001
598,0.7383,0.001
599,0.7506,0.001
600,0.7529,0.0001
601,0.755,0.0002
602,0.7577,0.00030000000000000003
603,0.7597,0.0004
604,0.7643,0.0005
605,0.7596,0.0006000000000000001
606,0.7591,0.0007000000000000001
607,0.754,0.0008
608,0.7573,0.0009
609,0.7567,0.001
610,0.7501,0.001
611,0.753,0.001
612,0.7461,0.001
613,0.7527,0.001
614,0.7524,0.001
615,0.7589,0.001
616,0.7559,0.001
617,0.759,0.001
618,0.7608,0.001
619,0.7584,0.001
620,0.7549,0.001
621,0.753,0.001
622,0.7542,0.001
623,0.7605,0.001
624,0.7545,0.001
625,0.754,0.001
626,0.758,0.001
627,0.7439,0.001
628,0.7535,0.001
629,0.7589,0.001
630,0.7517,0.001
631,0.759,0.001
632,0.7565,0.001
633,0.7623,0.001
634,0.7679,0.001
635,0.7605,0.001
636,0.7613,0.001
637,0.759,0.001
638,0.7535,0.001
639,0.7562,0.001
640,0.7552,0.001
641,0.7582,0.001
642,0.7598,0.001
643,0.7602,0.001
644,0.7585,0.001
645,0.7561,0.001
646,0.7576,0.001
647,0.7617,0.001
648,0.7564,0.001
649,0.7586,0.001
650,0.7565,0.001
651,0.7638,0.001
652,0.7606,0.001
653,0.7595,0.001
654,0.7583,0.001
655,0.7604,0.001
656,0.7576,0.001
657,0.7604,0.001
658,0.7631,0.001
659,0.7576,0.001
660,0.7616,0.001
661,0.7535,0.001
662,0.7618,0.001
663,0.7578,0.001
664,0.7576,0.001
665,0.7573,0.001
666,0.7494,0.001
667,0.762,0.001
668,0.757,0.001
669,0.7624,0.001
670,0.7644,0.001
671,0.7584,0.001
672,0.7618,0.001
673,0.7598,0.001
674,0.7566,0.001
675,0.7561,0.001
676,0.7523,0.001
677,0.7586,0.001
678,0.7585,0.001
679,0.7624,0.001
680,0.7617,0.001
681,0.7556,0.001
682,0.7585,0.001
683,0.7581,0.001
684,0.7588,0.001
685,0.7578,0.001
686,0.7568,0.001
687,0.7589,0.001
688,0.7589,0.001
689,0.7552,0.001
690,0.756,0.001
691,0.7595,0.001
692,0.7646,0.001
693,0.7596,0.001
694,0.7581,0.001
695,0.7561,0.001
696,0.7616,0.001
697,0.7607,0.001
698,0.7596,0.001
699,0.7594,0.001
700,0.7616,0.0001
701,0.7675,0.0002
702,0.7636,0.00030000000000000003
703,0.7623,0.0004
704,0.7682,0.0005
705,0.7668,0.0006000000000000001
706,0.772,0.0007000000000000001
707,0.7677,0.0008
708,0.7686,0.0009
709,0.7697,0.001
710,0.7663,0.001
711,0.7673,0.001
712,0.7627,0.001
713,0.7635,0.001
714,0.7635,0.001
715,0.7672,0.001
716,0.7617,0.001
717,0.7703,0.001
718,0.7709,0.001
719,0.7675,0.001
720,0.7669,0.001
721,0.7706,0.001
722,0.7665,0.001
723,0.7687,0.001
724,0.7694,0.001
725,0.7741,0.001
726,0.767,0.001
727,0.7728,0.001
728,0.772,0.001
729,0.77,0.001
730,0.7692,0.001
731,0.769,0.001
732,0.7688,0.001
733,0.77,0.001
734,0.7701,0.001
735,0.7712,0.001
736,0.7702,0.001
737,0.7707,0.001
738,0.7723,0.001
739,0.7691,0.001
740,0.7666,0.001
741,0.772,0.001
742,0.7694,0.001
743,0.7688,0.001
744,0.7655,0.001
745,0.7642,0.001
746,0.7695,0.001
747,0.7676,0.001
748,0.772,0.001
749,0.7745,0.001
750,0.7688,0.001
751,0.7616,0.001
752,0.7668,0.001
753,0.7693,0.001
754,0.7675,0.001
755,0.768,0.001
756,0.7672,0.001
757,0.7693,0.001
758,0.7645,0.001
759,0.7726,0.001
760,0.763,0.001
761,0.7779,0.001
762,0.7673,0.001
763,0.773,0.001
764,0.7703,0.001
765,0.7755,0.001
766,0.7734,0.001
767,0.7734,0.001
768,0.7734,0.001
769,0.7673,0.001
770,0.7696,0.001
771,0.7702,0.001
772,0.7728,0.001
773,0.7718,0.001
774,0.7736,0.001
775,0.7704,0.001
776,0.7662,0.001
777,0.7703,0.001
778,0.7715,0.001
779,0.7702,0.001
780,0.7746,0.001
781,0.7732,0.001
782,0.77,0.001
783,0.7664,0.001
784,0.7688,0.001
785,0.7742,0.001
786,0.7767,0.001
787,0.7768,0.001
788,0.7759,0.001
789,0.7716,0.001
790,0.7718,0.001
791,0.7652,0.001
792,0.7718,0.001
793,0.7736,0.001
794,0.7741,0.001
795,0.7735,0.001
796,0.7756,0.001
797,0.7711,0.001
798,0.7724,0.001
799,0.7747,0.001
800,0.776,0.0001
801,0.7792,0.0002
802,0.7789,0.00030000000000000003
803,0.7808,0.0004
804,0.7824,0.0005
805,0.782,0.0006000000000000001
806,0.7828,0.0007000000000000001
807,0.7797,0.0008
808,0.7814,0.0009
809,0.7815,0.001
810,0.7831,0.001
811,0.7802,0.001
812,0.7794,0.001
813,0.7767,0.001
814,0.7719,0.001
815,0.7738,0.001
816,0.7725,0.001
817,0.7737,0.001
818,0.7756,0.001
819,0.7726,0.001
820,0.7752,0.001
821,0.7747,0.001
822,0.7698,0.001
823,0.7755,0.001
824,0.7735,0.001
825,0.7764,0.001
826,0.776,0.001
827,0.7783,0.001
828,0.7805,0.001
829,0.7798,0.001
830,0.777,0.001
831,0.779,0.001
832,0.779,0.001
833,0.7783,0.001
834,0.7791,0.001
835,0.7815,0.001
836,0.777,0.001
837,0.7744,0.001
838,0.779,0.001
839,0.7759,0.001
840,0.7789,0.001
841,0.7758,0.001
842,0.7752,0.001
843,0.7742,0.001
844,0.772,0.001
845,0.7769,0.001
846,0.777,0.001
847,0.7776,0.001
848,0.7725,0.001
849,0.7739,0.001
850,0.7715,0.001
851,0.7771,0.001
852,0.7758,0.001
853,0.7783,0.001
854,0.7802,0.001
855,0.7775,0.001
856,0.7755,0.001
857,0.7776,0.001
858,0.7774,0.001
859,0.7775,0.001
860,0.7822,0.001
861,0.783,0.001
862,0.7766,0.001
863,0.7727,0.001
864,0.7785,0.001
865,0.7769,0.001
866,0.7752,0.001
867,0.7814,0.001
868,0.7808,0.001
869,0.7814,0.001
870,0.7838,0.001
871,0.7841,0.001
872,0.7817,0.001
873,0.7825,0.001
874,0.7791,0.001
875,0.7763,0.001
876,0.7765,0.001
877,0.7779,0.001
878,0.7803,0.001
879,0.7807,0.001
880,0.7776,0.001
881,0.7791,0.001
882,0.7784,0.001
883,0.7808,0.001
884,0.7785,0.001
885,0.7798,0.001
886,0.7803,0.001
887,0.7817,0.001
888,0.7831,0.001
889,0.7805,0.001
890,0.7805,0.001
891,0.782,0.001
892,0.7821,0.001
893,0.7801,0.001
894,0.7761,0.001
895,0.7786,0.001
896,0.7781,0.001
897,0.779,0.001
898,0.7793,0.001
899,0.7753,0.001
900,0.7803,0.0001
901,0.7823,0.0002
902,0.7811,0.00030000000000000003
903,0.7844,0.0004
904,0.7816,0.0005
905,0.7834,0.0006000000000000001
906,0.7836,0.0007000000000000001
907,0.7829,0.0008
908,0.7827,0.0009
909,0.7836,0.001
910,0.7849,0.001
911,0.7836,0.001
912,0.7798,0.001
913,0.7821,0.001
914,0.782,0.001
915,0.7837,0.001
916,0.785,0.001
917,0.7828,0.001
918,0.7749,0.001
919,0.7826,0.001
920,0.7825,0.001
921,0.7826,0.001
922,0.7847,0.001
923,0.7853,0.001
924,0.785,0.001
925,0.7858,0.001
926,0.786,0.001
927,0.7852,0.001
928,0.7862,0.001
929,0.7852,0.001
930,0.787,0.001
931,0.7849,0.001
932,0.7855,0.001
933,0.7742,0.001
934,0.7809,0.001
935,0.78,0.001
936,0.7832,0.001
937,0.7851,0.001
938,0.7816,0.001
939,0.7843,0.001
940,0.7851,0.001
941,0.782,0.001
942,0.7844,0.001
943,0.7795,0.001
944,0.7839,0.001
945,0.7811,0.001
946,0.7838,0.001
947,0.7787,0.001
948,0.7806,0.001
949,0.7814,0.001
950,0.7834,0.001
951,0.7834,0.001
952,0.7816,0.001
953,0.7799,0.001
954,0.7824,0.001
955,0.7839,0.001
956,0.7859,0.001
957,0.7813,0.001
958,0.7814,0.001
959,0.7833,0.001
960,0.7809,0.001
961,0.7769,0.001
962,0.7809,0.001
963,0.7837,0.001
964,0.7776,0.001
965,0.7817,0.001
966,0.7829,0.001
967,0.7844,0.001
968,0.7798,0.001
969,0.7782,0.001
970,0.7793,0.001
971,0.7798,0.001
972,0.7807,0.001
973,0.7838,0.001
974,0.7825,0.001
975,0.786,0.001
976,0.7861,0.001
977,0.7871,0.001
978,0.7861,0.001
979,0.7831,0.001
980,0.7791,0.001
981,0.773,0.001
982,0.7808,0.001
983,0.7799,0.001
984,0.7811,0.001
985,0.7843,0.001
986,0.7834,0.001
987,0.7853,0.001
988,0.7852,0.001
989,0.7864,0.001
990,0.7872,0.001
991,0.7876,0.001
992,0.779,0.001
993,0.7773,0.001
994,0.7817,0.001
995,0.7836,0.001
996,0.7842,0.001
997,0.7845,0.001
998,0.7891,0.001
999,0.7875,0.001
