,accuracy
0,0.1101
1,0.3095
2,0.4431
3,0.3785
4,0.3625
5,0.3853
6,0.3835
7,0.2434
8,0.438
9,0.276
10,0.3661
11,0.395
12,0.4362
13,0.3616
14,0.3213
15,0.4762
16,0.4794
17,0.4774
18,0.46
19,0.424
20,0.4163
21,0.4677
22,0.5116
23,0.4902
24,0.4557
25,0.4993
26,0.4869
27,0.4934
28,0.5292
29,0.4921
30,0.4671
31,0.5022
32,0.4928
33,0.4856
34,0.4988
35,0.4627
36,0.5032
37,0.506
38,0.4848
39,0.5388
40,0.5283
41,0.4933
42,0.4911
43,0.5354
44,0.5168
45,0.5336
46,0.5347
47,0.5142
48,0.5165
49,0.5187
50,0.515
51,0.5297
52,0.5226
53,0.5061
54,0.492
55,0.5153
56,0.5345
57,0.5193
58,0.5503
59,0.5012
60,0.5348
61,0.5321
62,0.5179
63,0.5211
64,0.5317
65,0.5463
66,0.5481
67,0.5253
68,0.5252
69,0.5404
70,0.5407
71,0.5337
72,0.5159
73,0.533
74,0.5208
75,0.5237
76,0.5319
77,0.5469
78,0.5347
79,0.5283
80,0.5465
81,0.5322
82,0.539
83,0.5314
84,0.5301
85,0.547
86,0.5331
87,0.5457
88,0.5269
89,0.5244
90,0.5155
91,0.5339
92,0.5273
93,0.5517
94,0.5088
95,0.5488
96,0.5562
97,0.535
98,0.5447
99,0.5519
100,0.5992
101,0.6281
102,0.6382
103,0.6311
104,0.6338
105,0.6103
106,0.6173
107,0.6233
108,0.599
109,0.6215
110,0.6151
111,0.6133
112,0.6109
113,0.5983
114,0.6141
115,0.6089
116,0.6054
117,0.6087
118,0.6295
119,0.6143
120,0.6193
121,0.6181
122,0.6233
123,0.6103
124,0.619
125,0.6012
126,0.6151
127,0.6265
128,0.6252
129,0.6221
130,0.6251
131,0.6173
132,0.6102
133,0.6162
134,0.6083
135,0.617
136,0.6212
137,0.6179
138,0.6201
139,0.6151
140,0.6148
141,0.6218
142,0.6191
143,0.6287
144,0.6189
145,0.625
146,0.6222
147,0.6255
148,0.6251
149,0.6084
150,0.621
151,0.6172
152,0.6222
153,0.6258
154,0.6178
155,0.6411
156,0.6278
157,0.6206
158,0.6316
159,0.6303
160,0.6249
161,0.6302
162,0.6245
163,0.6122
164,0.6212
165,0.6323
166,0.6244
167,0.6233
168,0.6302
169,0.6327
170,0.6233
171,0.6329
172,0.6357
173,0.6221
174,0.6372
175,0.6307
176,0.6363
177,0.6239
178,0.6301
179,0.6236
180,0.6448
181,0.6416
182,0.6281
183,0.6381
184,0.643
185,0.6401
186,0.6414
187,0.6344
188,0.6265
189,0.6276
190,0.6206
191,0.6467
192,0.6351
193,0.6376
194,0.6268
195,0.638
196,0.6352
197,0.6244
198,0.6095
199,0.6313
200,0.6597
201,0.6778
202,0.6878
203,0.6842
204,0.6827
205,0.6735
206,0.6743
207,0.6725
208,0.6617
209,0.6573
210,0.666
211,0.6743
212,0.678
213,0.6599
214,0.6727
215,0.6716
216,0.6646
217,0.6821
218,0.6779
219,0.6675
220,0.6686
221,0.6739
222,0.6801
223,0.6615
224,0.6517
225,0.6772
226,0.6748
227,0.6851
228,0.6875
229,0.6825
230,0.6702
231,0.6717
232,0.6797
233,0.6706
234,0.6688
235,0.6818
236,0.6759
237,0.6623
238,0.6659
239,0.6702
240,0.6774
241,0.6814
242,0.677
243,0.664
244,0.6787
245,0.6757
246,0.6655
247,0.6836
248,0.6823
249,0.6773
250,0.6852
251,0.6779
252,0.6674
253,0.6857
254,0.6843
255,0.6738
256,0.6803
257,0.6815
258,0.6926
259,0.6842
260,0.676
261,0.671
262,0.6812
263,0.671
264,0.678
265,0.674
266,0.6736
267,0.6711
268,0.6827
269,0.6691
270,0.6805
271,0.6756
272,0.6641
273,0.6823
274,0.6848
275,0.6863
276,0.6778
277,0.6828
278,0.6802
279,0.6867
280,0.6712
281,0.6726
282,0.656
283,0.6753
284,0.6755
285,0.6696
286,0.6721
287,0.6818
288,0.6766
289,0.686
290,0.6695
291,0.6807
292,0.6842
293,0.6701
294,0.682
295,0.6882
296,0.6806
297,0.6831
298,0.683
299,0.6818
300,0.7011
301,0.7111
302,0.7184
303,0.7175
304,0.7175
305,0.7105
306,0.7072
307,0.7098
308,0.6925
309,0.6909
310,0.6991
311,0.6962
312,0.6988
313,0.7059
314,0.7073
315,0.7061
316,0.7088
317,0.7112
318,0.7139
319,0.6989
320,0.7055
321,0.7035
322,0.6954
323,0.7132
324,0.7041
325,0.6975
326,0.7066
327,0.7067
328,0.7094
329,0.7049
330,0.7042
331,0.7093
332,0.7084
333,0.707
334,0.6998
335,0.7029
336,0.7073
337,0.7076
338,0.7089
339,0.6965
340,0.7035
341,0.7112
342,0.7086
343,0.7071
344,0.6958
345,0.6983
346,0.7019
347,0.6842
348,0.7042
349,0.7109
350,0.71
351,0.7045
352,0.7147
353,0.7149
354,0.7054
355,0.7044
356,0.7092
357,0.7052
358,0.6973
359,0.6965
360,0.703
361,0.7117
362,0.7093
363,0.701
364,0.7075
365,0.7066
366,0.702
367,0.7031
368,0.7015
369,0.7024
370,0.6999
371,0.6981
372,0.7066
373,0.706
374,0.7074
375,0.7084
376,0.7017
377,0.7037
378,0.7072
379,0.7035
380,0.7161
381,0.7075
382,0.7148
383,0.7068
384,0.7006
385,0.7024
386,0.705
387,0.6963
388,0.7074
389,0.7094
390,0.7037
391,0.7118
392,0.7096
393,0.7107
394,0.7073
395,0.711
396,0.7119
397,0.7067
398,0.7023
399,0.7089
400,0.7199
401,0.7263
402,0.7333
403,0.7319
404,0.7356
405,0.7268
406,0.7276
407,0.7283
408,0.7278
409,0.7203
410,0.7159
411,0.7253
412,0.7249
413,0.7299
414,0.7276
415,0.7314
416,0.7172
417,0.7261
418,0.7222
419,0.7279
420,0.7326
421,0.7363
422,0.7336
423,0.7346
424,0.7346
425,0.7339
426,0.7334
427,0.7346
428,0.735
429,0.7325
430,0.7333
431,0.7344
432,0.7339
433,0.7346
434,0.7353
435,0.735
436,0.7329
437,0.7324
438,0.7314
439,0.731
440,0.7117
441,0.7195
442,0.7322
443,0.7306
444,0.7345
445,0.7317
446,0.7312
447,0.733
448,0.734
449,0.7351
450,0.7329
451,0.7309
452,0.7328
453,0.7335
454,0.7343
455,0.7324
456,0.7292
457,0.7315
458,0.7183
459,0.7269
460,0.7277
461,0.7308
462,0.7325
463,0.7324
464,0.7348
465,0.7347
466,0.7355
467,0.7349
468,0.7309
469,0.7313
470,0.7269
471,0.7275
472,0.7289
473,0.7262
474,0.7306
475,0.7293
476,0.7312
477,0.7349
478,0.7334
479,0.7326
480,0.7353
481,0.7377
482,0.7327
483,0.7278
484,0.7273
485,0.7261
486,0.728
487,0.7301
488,0.7278
489,0.7253
490,0.7331
491,0.7322
492,0.7304
493,0.7326
494,0.7315
495,0.7301
496,0.7326
497,0.7256
498,0.7324
499,0.7328
500,0.7363
501,0.739
502,0.7402
503,0.742
504,0.7435
505,0.7447
506,0.7428
507,0.7435
508,0.744
509,0.7423
510,0.7409
511,0.7398
512,0.7416
513,0.7416
514,0.7414
515,0.7434
516,0.7383
517,0.7383
518,0.7433
519,0.7372
520,0.7384
521,0.7394
522,0.7419
523,0.7359
524,0.7402
525,0.7437
526,0.7411
527,0.7444
528,0.7445
529,0.7455
530,0.7477
531,0.7451
532,0.7476
533,0.7444
534,0.7438
535,0.7411
536,0.739
537,0.7394
538,0.7391
539,0.7418
540,0.741
541,0.7451
542,0.7421
543,0.7443
544,0.7458
545,0.7453
546,0.7456
547,0.7463
548,0.7453
549,0.7428
550,0.7409
551,0.7423
552,0.7453
553,0.7444
554,0.7406
555,0.7458
556,0.7408
557,0.7453
558,0.7486
559,0.7463
560,0.7428
561,0.7449
562,0.7491
563,0.7457
564,0.7496
565,0.7497
566,0.7492
567,0.7465
568,0.7471
569,0.7475
570,0.748
571,0.7487
572,0.747
573,0.7484
574,0.7483
575,0.7485
576,0.7494
577,0.7497
578,0.7479
579,0.7471
580,0.7499
581,0.7492
582,0.7484
583,0.7505
584,0.753
585,0.756
586,0.7552
587,0.7548
588,0.7543
589,0.7533
590,0.7518
591,0.7504
592,0.7516
593,0.752
594,0.744
595,0.7501
596,0.7517
597,0.7513
598,0.7513
599,0.7487
600,0.7489
601,0.7534
602,0.7547
603,0.7546
604,0.7555
605,0.7562
606,0.7558
607,0.7534
608,0.7522
609,0.7529
610,0.7514
611,0.7514
612,0.7519
613,0.7487
614,0.7505
615,0.7499
616,0.7501
617,0.7505
618,0.751
619,0.7467
620,0.7503
621,0.7547
622,0.7506
623,0.7525
624,0.7529
625,0.7519
626,0.7501
627,0.7494
628,0.7494
629,0.7502
630,0.7498
631,0.7511
632,0.7507
633,0.7496
634,0.7517
635,0.7493
636,0.7525
637,0.7502
638,0.7541
639,0.7555
640,0.7535
641,0.7519
642,0.7521
643,0.7506
644,0.7476
645,0.7537
646,0.7499
647,0.7504
648,0.7521
649,0.7515
650,0.7526
651,0.7476
652,0.7485
653,0.7524
654,0.7538
655,0.7496
656,0.7567
657,0.7554
658,0.7546
659,0.7507
660,0.7522
661,0.7503
662,0.7503
663,0.7499
664,0.7491
665,0.7502
666,0.7508
667,0.751
668,0.7483
669,0.7499
670,0.7506
671,0.7532
672,0.7514
673,0.7505
674,0.7531
675,0.7514
676,0.7513
677,0.7565
678,0.7592
679,0.7592
680,0.7575
681,0.756
682,0.7567
683,0.7542
684,0.755
685,0.7577
686,0.7535
687,0.7562
