,accuracy
0,0.1154
1,0.3677
2,0.428
3,0.4222
4,0.3195
5,0.3461
6,0.3642
7,0.4185
8,0.3013
9,0.369
10,0.2632
11,0.4166
12,0.336
13,0.4331
14,0.4526
15,0.3042
16,0.387
17,0.4883
18,0.4683
19,0.4795
20,0.4557
21,0.477
22,0.4612
23,0.4753
24,0.4983
25,0.4959
26,0.4726
27,0.4405
28,0.5004
29,0.4871
30,0.4632
31,0.5128
32,0.5309
33,0.5272
34,0.4869
35,0.5295
36,0.4209
37,0.5179
38,0.4538
39,0.5065
40,0.4846
41,0.5175
42,0.512
43,0.4982
44,0.4887
45,0.515
46,0.4962
47,0.5052
48,0.5209
49,0.5267
50,0.5279
51,0.5029
52,0.5027
53,0.5173
54,0.5297
55,0.5077
56,0.5208
57,0.5159
58,0.5315
59,0.5358
60,0.5529
61,0.5429
62,0.5384
63,0.5179
64,0.5162
65,0.532
66,0.5174
67,0.5263
68,0.5436
69,0.504
70,0.5233
71,0.511
72,0.4767
73,0.5105
74,0.5377
75,0.5258
76,0.5278
77,0.5485
78,0.5415
79,0.5384
80,0.5513
81,0.557
82,0.5325
83,0.5457
84,0.541
85,0.5442
86,0.5342
87,0.545
88,0.5538
89,0.5602
90,0.5262
91,0.5365
92,0.5629
93,0.5442
94,0.528
95,0.5338
96,0.5316
97,0.5272
98,0.5425
99,0.5582
100,0.5965
101,0.625
102,0.6304
103,0.6331
104,0.6165
105,0.619
106,0.6041
107,0.61
108,0.5999
109,0.6194
110,0.6171
111,0.5715
112,0.5927
113,0.5957
114,0.6098
115,0.6248
116,0.6101
117,0.6245
118,0.6173
119,0.6236
120,0.6113
121,0.6024
122,0.591
123,0.6013
124,0.6262
125,0.6285
126,0.6275
127,0.5932
128,0.6069
129,0.6083
130,0.6236
131,0.6158
132,0.6315
133,0.6156
134,0.618
135,0.6401
136,0.61
137,0.6084
138,0.64
139,0.6338
140,0.6477
141,0.6266
142,0.6216
143,0.6144
144,0.6191
145,0.6437
146,0.6208
147,0.6259
148,0.6138
149,0.6317
150,0.6291
151,0.6234
152,0.638
153,0.6316
154,0.6234
155,0.6135
156,0.6242
157,0.6372
158,0.6228
159,0.6133
160,0.6172
161,0.62
162,0.6236
163,0.6282
164,0.6269
165,0.6188
166,0.6273
167,0.6287
168,0.6301
169,0.6334
170,0.6343
171,0.6232
172,0.6279
173,0.6342
174,0.6143
175,0.6217
176,0.6198
177,0.6292
178,0.6254
179,0.6284
180,0.6227
181,0.6256
182,0.6253
183,0.6385
184,0.625
185,0.6258
186,0.6273
187,0.6315
188,0.6244
189,0.615
190,0.627
191,0.6219
192,0.6309
193,0.6187
194,0.6268
195,0.61
196,0.6047
197,0.6124
198,0.6359
199,0.629
200,0.6543
201,0.6746
202,0.6856
203,0.688
204,0.6833
205,0.6844
206,0.6778
207,0.6701
208,0.677
209,0.6772
210,0.6709
211,0.6701
212,0.6719
213,0.673
214,0.6687
215,0.6833
216,0.6739
217,0.6724
218,0.6724
219,0.6711
220,0.6739
221,0.6744
222,0.6763
223,0.6549
224,0.6793
225,0.6772
226,0.6756
227,0.6772
228,0.681
229,0.6744
230,0.6817
231,0.6742
232,0.6828
233,0.6728
234,0.6781
235,0.6752
236,0.6823
237,0.6785
238,0.6804
239,0.6744
240,0.6711
241,0.6832
242,0.6829
243,0.6818
244,0.6848
245,0.677
246,0.6778
247,0.6768
248,0.68
249,0.6789
250,0.6934
251,0.6693
252,0.6725
253,0.6853
254,0.6825
255,0.6889
256,0.6927
257,0.6901
258,0.6828
259,0.6783
260,0.6836
261,0.6721
262,0.68
263,0.6637
264,0.668
265,0.6714
266,0.6725
267,0.6788
268,0.6707
269,0.6837
270,0.6774
271,0.6724
272,0.6711
273,0.6807
274,0.6742
275,0.6802
276,0.6673
277,0.6849
278,0.6834
279,0.6706
280,0.678
281,0.678
282,0.6756
283,0.6841
284,0.6787
285,0.6884
286,0.685
287,0.6732
288,0.677
289,0.6757
290,0.6799
291,0.6741
292,0.6772
293,0.6817
294,0.6843
295,0.683
296,0.6706
297,0.6734
298,0.6625
299,0.686
300,0.7013
301,0.7118
302,0.7187
303,0.7175
304,0.716
305,0.7133
306,0.715
307,0.7073
308,0.7075
309,0.6975
310,0.6983
311,0.7189
312,0.7135
313,0.7107
314,0.7087
315,0.7148
316,0.7156
317,0.7156
318,0.7092
319,0.7052
320,0.7031
321,0.7167
322,0.7163
323,0.709
324,0.711
325,0.7091
326,0.699
327,0.7069
328,0.7139
329,0.7186
