,accuracy
0,0.1004
1,0.1294
2,0.3354
3,0.3956
4,0.4654
5,0.4075
6,0.4105
7,0.3682
8,0.3905
9,0.3505
10,0.4137
11,0.3925
12,0.4334
13,0.4412
14,0.3941
15,0.4216
16,0.3592
17,0.3604
18,0.4433
19,0.4261
20,0.4552
21,0.3849
22,0.4369
23,0.454
24,0.4196
25,0.4445
26,0.4391
27,0.4246
28,0.3922
29,0.4353
30,0.4424
31,0.4623
32,0.4524
33,0.4369
34,0.4568
35,0.434
36,0.449
37,0.4453
38,0.4213
39,0.4661
40,0.4842
41,0.4565
42,0.4704
43,0.4516
44,0.4693
45,0.4675
46,0.4659
47,0.4562
48,0.4666
49,0.4815
50,0.4621
51,0.4617
52,0.429
53,0.4649
54,0.4893
55,0.4817
56,0.4482
57,0.4844
58,0.4312
59,0.4568
60,0.4857
61,0.4661
62,0.4652
63,0.453
64,0.483
65,0.4666
66,0.4813
67,0.4766
68,0.4804
69,0.4622
70,0.4937
71,0.4691
72,0.496
73,0.4985
74,0.4714
75,0.4882
76,0.4861
77,0.4981
78,0.495
79,0.4959
80,0.5133
81,0.4973
82,0.5042
83,0.4991
84,0.4913
85,0.5129
86,0.5248
87,0.5013
88,0.465
89,0.4939
90,0.4947
91,0.4828
92,0.4905
93,0.5107
94,0.5108
95,0.503
96,0.5045
97,0.5153
98,0.4982
99,0.4655
100,0.5478
101,0.5575
102,0.5677
103,0.5592
104,0.5516
105,0.5484
106,0.5434
107,0.5451
108,0.5334
109,0.5521
110,0.5556
111,0.5606
112,0.5453
113,0.5446
114,0.5507
115,0.5411
116,0.5621
117,0.5351
118,0.5383
119,0.5483
120,0.5409
121,0.548
122,0.5438
123,0.5525
124,0.554
125,0.5496
126,0.5318
127,0.5477
128,0.5761
129,0.5509
130,0.5638
131,0.5491
132,0.553
133,0.5692
134,0.5513
135,0.5532
136,0.5363
137,0.5647
138,0.5653
139,0.5671
140,0.5733
141,0.5528
142,0.5725
143,0.5842
144,0.5756
145,0.5812
146,0.5833
147,0.5561
148,0.5793
149,0.5662
150,0.5597
151,0.5496
152,0.5626
153,0.5815
154,0.571
155,0.5577
156,0.5722
157,0.5802
158,0.5768
159,0.5821
160,0.5758
161,0.5889
162,0.5757
163,0.5864
164,0.5863
165,0.5856
166,0.5721
167,0.5911
168,0.5802
169,0.5904
170,0.5893
171,0.5675
172,0.5898
173,0.5705
174,0.5765
175,0.5932
176,0.5866
177,0.588
178,0.5853
179,0.5788
180,0.5899
181,0.5859
182,0.5879
183,0.5852
184,0.578
185,0.5957
186,0.5959
187,0.5843
188,0.5937
189,0.5834
190,0.5742
191,0.5876
192,0.5939
193,0.5883
194,0.5955
195,0.563
196,0.5836
197,0.5905
198,0.5893
199,0.5897
200,0.6164
201,0.6275
202,0.6281
203,0.6343
204,0.6309
205,0.6342
206,0.6254
207,0.6087
208,0.6222
209,0.6139
210,0.6059
211,0.6223
212,0.624
213,0.6255
214,0.63
215,0.6316
216,0.632
217,0.6349
218,0.6215
219,0.6299
220,0.6261
221,0.6253
222,0.6245
223,0.637
224,0.6327
225,0.6156
226,0.5942
227,0.6312
228,0.6334
229,0.6335
230,0.623
231,0.6153
232,0.6417
233,0.6395
234,0.63
235,0.6357
236,0.6297
237,0.6235
238,0.6378
239,0.6386
240,0.6295
241,0.6127
242,0.638
243,0.6356
244,0.558
245,0.6109
246,0.6276
247,0.6366
248,0.6359
249,0.6568
250,0.646
251,0.6161
252,0.6474
253,0.6578
254,0.6484
255,0.6413
256,0.6328
257,0.657
258,0.6429
259,0.6605
260,0.6575
261,0.6533
262,0.6375
263,0.6511
264,0.6469
265,0.647
266,0.6585
267,0.6613
268,0.6581
269,0.647
270,0.6564
271,0.6357
272,0.6592
273,0.6552
274,0.6572
275,0.656
276,0.6587
277,0.6611
278,0.6508
279,0.6543
280,0.6541
281,0.6599
282,0.6591
283,0.64
284,0.6565
285,0.6534
286,0.6555
287,0.6532
288,0.6633
289,0.6608
290,0.6643
291,0.6648
292,0.6645
293,0.6597
294,0.6595
295,0.6587
296,0.6634
297,0.662
298,0.6567
299,0.6687
300,0.6787
301,0.6736
302,0.679
303,0.6841
304,0.68
305,0.68
306,0.6766
307,0.6723
308,0.6687
309,0.6661
310,0.6763
311,0.6702
312,0.6599
313,0.6685
314,0.6682
315,0.6782
316,0.6731
317,0.6724
318,0.6703
319,0.6654
320,0.669
321,0.6685
322,0.6799
323,0.6769
324,0.6876
325,0.6748
326,0.6855
327,0.6812
328,0.6892
329,0.672
330,0.6769
331,0.6694
332,0.6849
333,0.6765
334,0.6667
335,0.6824
336,0.6774
337,0.6943
338,0.6769
339,0.69
340,0.6793
341,0.6817
342,0.6785
343,0.6877
344,0.6812
345,0.6838
346,0.688
347,0.688
348,0.6889
349,0.688
350,0.6992
351,0.6889
352,0.6871
353,0.6866
354,0.6859
355,0.6825
356,0.6896
357,0.6921
358,0.6887
359,0.6852
360,0.6852
361,0.6887
362,0.6889
363,0.6892
364,0.6888
365,0.693
366,0.6841
367,0.6965
368,0.656
369,0.6686
370,0.6772
371,0.6956
372,0.6847
373,0.6895
374,0.6873
375,0.6854
376,0.693
377,0.687
378,0.707
379,0.6987
380,0.6963
381,0.7024
382,0.6983
383,0.6999
384,0.6942
385,0.7071
386,0.692
387,0.6946
388,0.7016
389,0.6923
390,0.7006
391,0.7038
392,0.6988
393,0.6982
394,0.7008
395,0.7014
396,0.6941
397,0.6873
398,0.7027
399,0.7063
400,0.7123
401,0.7118
402,0.7052
403,0.7124
404,0.7127
405,0.7141
406,0.7162
407,0.7149
408,0.7067
409,0.6937
410,0.6917
411,0.6987
412,0.6973
413,0.708
414,0.7085
415,0.7023
416,0.7096
417,0.7064
418,0.7071
419,0.7067
420,0.7113
421,0.6984
422,0.7059
423,0.7027
424,0.7089
425,0.7096
426,0.7094
427,0.7023
428,0.7017
429,0.7121
430,0.7073
431,0.7072
432,0.7097
433,0.7074
434,0.7147
435,0.7128
436,0.7042
437,0.709
438,0.6993
439,0.7111
440,0.7023
441,0.7088
442,0.7075
443,0.7036
444,0.712
445,0.7024
446,0.7108
447,0.7023
448,0.701
449,0.7052
450,0.7145
451,0.7114
452,0.7117
453,0.712
454,0.7158
455,0.7101
456,0.7142
457,0.7125
458,0.7154
459,0.7077
460,0.7199
461,0.7147
462,0.6837
463,0.7098
464,0.7017
465,0.7022
466,0.7066
467,0.7122
468,0.7209
469,0.7163
470,0.7064
471,0.7181
472,0.7177
473,0.7188
474,0.7108
475,0.7193
476,0.7129
477,0.7114
478,0.7163
479,0.7241
480,0.7171
481,0.7258
482,0.7184
483,0.7165
484,0.7225
485,0.7205
486,0.7187
487,0.7178
488,0.7155
489,0.7154
490,0.7173
