,accuracy
0,0.1285
1,0.3276
2,0.3466
3,0.4132
4,0.2376
5,0.351
6,0.4086
7,0.3996
8,0.3092
9,0.3656
10,0.3306
11,0.4101
12,0.4114
13,0.3863
14,0.4405
15,0.4445
16,0.4304
17,0.4597
18,0.4588
19,0.4164
20,0.4705
21,0.5003
22,0.4666
23,0.4101
24,0.4874
25,0.5114
26,0.4376
27,0.4498
28,0.5084
29,0.4714
30,0.4934
31,0.5123
32,0.4486
33,0.4933
34,0.4902
35,0.5223
36,0.4833
37,0.5015
38,0.4879
39,0.5022
40,0.5282
41,0.466
42,0.4525
43,0.5215
44,0.5056
45,0.4958
46,0.4641
47,0.5187
48,0.5112
49,0.5225
50,0.5189
51,0.4894
52,0.5169
53,0.5201
54,0.5121
55,0.479
56,0.504
57,0.5136
58,0.5363
59,0.5281
60,0.5179
61,0.4815
62,0.5406
63,0.5131
64,0.5196
65,0.5112
66,0.5436
67,0.5306
68,0.52
69,0.5063
70,0.5271
71,0.5315
72,0.5269
73,0.5204
74,0.531
75,0.5215
76,0.5348
77,0.5367
78,0.4971
79,0.5431
80,0.5316
81,0.5261
82,0.5328
83,0.5332
84,0.5383
85,0.487
86,0.4971
87,0.5325
88,0.5274
89,0.5275
90,0.4878
91,0.5103
92,0.5166
93,0.5157
94,0.5216
95,0.5338
96,0.5431
97,0.5386
98,0.5233
99,0.5022
100,0.5811
101,0.6108
102,0.6276
103,0.6249
104,0.6292
105,0.6235
106,0.6231
107,0.6188
108,0.6122
109,0.5956
110,0.6017
111,0.6119
112,0.6142
113,0.6037
114,0.6046
115,0.6099
116,0.6007
117,0.5794
118,0.6232
119,0.6227
120,0.6175
121,0.6223
122,0.5957
123,0.5972
124,0.5948
125,0.6175
126,0.6129
127,0.6156
128,0.6075
129,0.605
130,0.5942
131,0.6195
132,0.6199
133,0.6213
134,0.6284
135,0.5783
136,0.605
137,0.6087
138,0.6247
139,0.6146
140,0.6221
141,0.5969
142,0.611
143,0.608
144,0.6047
145,0.6058
146,0.6039
147,0.6187
148,0.5885
149,0.6001
150,0.6199
151,0.6221
152,0.6097
153,0.6201
154,0.6214
155,0.6236
156,0.6191
157,0.6273
158,0.609
159,0.6055
160,0.6069
161,0.6039
162,0.6247
163,0.5916
164,0.6243
165,0.6251
166,0.6264
167,0.6153
168,0.6204
169,0.6241
170,0.6157
171,0.624
172,0.6298
173,0.6224
174,0.6163
175,0.6137
176,0.6047
177,0.6136
178,0.5266
179,0.5959
180,0.6204
181,0.6068
182,0.6203
183,0.6315
184,0.6337
185,0.6241
186,0.6223
187,0.6248
188,0.6308
189,0.6111
190,0.6121
191,0.5967
192,0.6223
193,0.618
194,0.6241
195,0.6138
196,0.6218
197,0.6256
198,0.6207
199,0.6165
200,0.6572
201,0.6695
202,0.682
203,0.6813
204,0.6795
205,0.6706
206,0.6701
207,0.6711
208,0.657
209,0.6675
210,0.6728
211,0.6381
212,0.6582
213,0.6672
214,0.6334
215,0.6661
216,0.6654
217,0.6594
218,0.6728
219,0.6642
220,0.6689
221,0.67
222,0.6695
223,0.6658
224,0.6691
225,0.6694
226,0.6671
227,0.6842
228,0.6776
229,0.6823
230,0.6709
231,0.6613
232,0.6672
233,0.6567
234,0.679
235,0.6644
236,0.6629
237,0.6764
238,0.6659
239,0.6747
240,0.6785
241,0.674
242,0.6535
243,0.6733
244,0.6758
245,0.6765
246,0.6125
247,0.673
248,0.6776
249,0.672
250,0.671
251,0.6711
252,0.6533
253,0.6785
254,0.6796
255,0.6769
256,0.6735
257,0.6738
258,0.6801
259,0.6823
260,0.6896
261,0.6844
262,0.6718
263,0.6773
264,0.6799
265,0.652
266,0.6737
267,0.6783
268,0.6596
269,0.6728
270,0.6718
271,0.661
272,0.6724
273,0.6812
274,0.6759
275,0.6737
276,0.6791
277,0.6759
278,0.6751
279,0.681
280,0.6677
281,0.6585
282,0.6783
283,0.6685
284,0.6639
285,0.6758
286,0.6711
287,0.671
288,0.6722
289,0.6644
290,0.6773
291,0.6825
292,0.6837
293,0.6766
294,0.6729
295,0.6863
296,0.6762
297,0.6476
298,0.683
299,0.6787
300,0.692
301,0.7044
302,0.7105
303,0.7004
304,0.7122
305,0.7124
306,0.7142
307,0.713
308,0.7038
309,0.6848
310,0.6974
311,0.6989
312,0.6997
313,0.6978
314,0.6892
315,0.699
316,0.6951
317,0.7029
318,0.6872
319,0.697
320,0.7098
321,0.6916
322,0.696
323,0.7105
324,0.6981
325,0.6937
326,0.6976
327,0.6983
328,0.6884
329,0.7065
330,0.7049
331,0.7005
332,0.6967
333,0.6973
334,0.6996
335,0.7021
336,0.7018
337,0.6903
338,0.6968
339,0.6987
340,0.674
341,0.7041
342,0.7067
343,0.7022
344,0.7008
345,0.7039
346,0.7119
347,0.711
348,0.7084
349,0.7011
350,0.7026
351,0.7025
352,0.7062
353,0.703
354,0.6972
355,0.6929
356,0.6948
357,0.7016
358,0.6975
359,0.6956
360,0.6986
361,0.6935
362,0.6939
363,0.6991
364,0.6877
365,0.6815
366,0.6987
367,0.7007
368,0.7011
369,0.7
370,0.6998
371,0.7044
372,0.6932
373,0.7053
374,0.7057
375,0.6907
376,0.6944
377,0.702
378,0.7054
379,0.7121
380,0.712
381,0.7119
382,0.7092
383,0.7024
384,0.7066
385,0.6995
386,0.7003
387,0.7045
388,0.7065
389,0.7028
390,0.7042
391,0.6989
392,0.6939
393,0.6968
394,0.7051
395,0.7115
396,0.6958
397,0.7046
398,0.704
399,0.7092
400,0.7242
401,0.7268
402,0.7348
403,0.7356
404,0.7365
405,0.7329
406,0.7294
407,0.7322
408,0.7241
409,0.7161
410,0.7171
411,0.7175
412,0.7142
413,0.7211
414,0.721
415,0.7261
416,0.7282
417,0.7259
418,0.7248
419,0.7196
420,0.7344
421,0.7262
422,0.7196
423,0.7218
424,0.721
425,0.7309
426,0.7051
427,0.7249
428,0.7237
429,0.7196
430,0.7203
431,0.7307
432,0.728
433,0.7318
434,0.7279
435,0.7277
436,0.7278
437,0.728
438,0.7229
439,0.7338
440,0.7314
441,0.7345
442,0.7385
443,0.737
444,0.7357
445,0.7305
446,0.7137
447,0.7299
448,0.7216
449,0.7194
450,0.7173
451,0.7247
452,0.7258
453,0.7193
454,0.7199
455,0.7236
456,0.7247
457,0.7371
458,0.7377
459,0.7365
460,0.7362
461,0.7393
462,0.7402
463,0.7412
464,0.7402
465,0.7414
466,0.7418
467,0.7415
468,0.7409
469,0.7337
470,0.7418
471,0.7384
472,0.7394
473,0.7413
474,0.7415
475,0.7397
476,0.7418
477,0.7399
478,0.741
479,0.7415
480,0.742
481,0.7392
482,0.7408
483,0.7412
484,0.7373
485,0.7408
486,0.7415
487,0.7411
488,0.7399
489,0.7414
490,0.7394
491,0.741
492,0.7396
493,0.7401
494,0.7412
495,0.7409
496,0.7394
497,0.7395
498,0.742
499,0.741
500,0.7468
501,0.7459
502,0.7521
503,0.7507
504,0.7507
505,0.7504
506,0.7478
507,0.7434
508,0.7392
509,0.7353
510,0.736
511,0.742
512,0.747
513,0.7436
514,0.7457
515,0.7418
516,0.7421
517,0.7333
518,0.7446
519,0.7463
520,0.7441
521,0.7394
522,0.7407
523,0.7414
524,0.7427
525,0.741
526,0.7377
527,0.7369
528,0.7443
529,0.7473
530,0.7428
531,0.7413
532,0.738
533,0.7466
534,0.747
535,0.7444
536,0.7481
537,0.7401
538,0.743
539,0.7433
540,0.7424
541,0.7464
542,0.7399
543,0.7406
544,0.7409
545,0.7484
546,0.7486
547,0.7464
548,0.7488
549,0.744
550,0.7443
551,0.7453
552,0.738
553,0.7482
554,0.7396
555,0.7441
556,0.7513
557,0.7544
558,0.7452
559,0.7485
560,0.7375
561,0.7492
562,0.7489
563,0.7425
564,0.7551
565,0.7438
566,0.7458
567,0.7508
568,0.7441
569,0.7491
570,0.7522
571,0.7528
572,0.7534
573,0.7403
574,0.7416
575,0.7456
576,0.7483
577,0.7499
578,0.7491
579,0.7463
580,0.7458
581,0.7436
582,0.742
583,0.7461
584,0.7526
585,0.7539
586,0.7532
587,0.7538
588,0.7428
589,0.7477
590,0.7496
591,0.7579
592,0.7559
593,0.7612
594,0.7584
595,0.7559
596,0.7557
597,0.7529
598,0.7513
599,0.747
600,0.762
601,0.7658
602,0.7679
603,0.7692
604,0.7691
605,0.7684
606,0.7667
607,0.767
608,0.7638
609,0.7581
610,0.7522
611,0.7546
612,0.7581
613,0.7587
614,0.7672
615,0.7639
616,0.7578
617,0.7575
618,0.7645
619,0.7538
620,0.7634
621,0.7683
622,0.7674
623,0.7643
624,0.7649
625,0.7604
626,0.7579
627,0.7576
628,0.769
629,0.7566
630,0.7633
631,0.7658
632,0.7709
633,0.766
634,0.7691
635,0.7606
636,0.7552
637,0.7609
638,0.7653
639,0.7642
640,0.7705
641,0.7711
642,0.7584
643,0.7588
644,0.7594
645,0.7634
646,0.7704
647,0.7727
648,0.7682
649,0.768
650,0.7631
651,0.7692
652,0.7663
653,0.7561
654,0.7555
655,0.7645
656,0.7597
657,0.7636
658,0.7594
659,0.7675
660,0.7628
661,0.7624
662,0.7645
663,0.7633
664,0.7711
665,0.7645
666,0.7648
667,0.7592
668,0.7609
669,0.7597
670,0.7696
671,0.7663
672,0.7731
673,0.7743
674,0.7732
675,0.7729
676,0.7748
677,0.7723
678,0.772
679,0.7745
680,0.7738
681,0.7732
682,0.7734
683,0.7743
684,0.7725
685,0.7734
686,0.7736
687,0.7464
688,0.7587
689,0.772
690,0.7733
691,0.7729
692,0.7727
693,0.7749
694,0.7761
695,0.7767
696,0.7777
697,0.777
698,0.778
699,0.7778
700,0.7795
701,0.7791
702,0.7833
703,0.7845
704,0.7829
705,0.7819
706,0.7814
707,0.783
708,0.7817
709,0.7788
710,0.7685
711,0.7703
712,0.7742
713,0.7733
714,0.7765
715,0.7733
716,0.7761
717,0.7758
718,0.7703
719,0.7734
720,0.7742
721,0.7757
722,0.7665
723,0.7748
724,0.7736
725,0.7733
726,0.7665
727,0.7756
728,0.7771
729,0.7769
730,0.7736
731,0.7785
732,0.78
733,0.7713
734,0.7723
735,0.7679
736,0.7777
737,0.7685
738,0.7768
739,0.7683
740,0.7795
741,0.7793
742,0.7783
743,0.7746
744,0.771
745,0.7665
746,0.7726
747,0.7731
748,0.7754
749,0.7775
750,0.774
751,0.7737
752,0.7699
753,0.7772
754,0.7793
755,0.7726
756,0.7703
757,0.7701
758,0.7757
759,0.7808
760,0.7804
761,0.7823
762,0.7749
763,0.7779
764,0.7731
765,0.7789
766,0.7753
767,0.7786
768,0.7783
769,0.7822
770,0.7768
771,0.7796
772,0.7763
773,0.7792
774,0.7793
775,0.7786
776,0.7802
777,0.7802
778,0.776
779,0.7773
780,0.7835
781,0.7797
782,0.7856
783,0.7746
784,0.7703
785,0.7755
786,0.7757
787,0.78
788,0.7829
789,0.7817
790,0.7821
791,0.7835
792,0.7829
793,0.7818
794,0.7825
795,0.7829
796,0.7839
797,0.7839
798,0.7831
799,0.7834
800,0.7873
801,0.7865
802,0.7893
803,0.7912
804,0.7901
805,0.7886
806,0.7884
807,0.7891
808,0.7877
809,0.7893
810,0.7898
811,0.7892
812,0.7716
813,0.7826
814,0.7864
815,0.787
816,0.7888
817,0.7878
818,0.7867
819,0.7833
820,0.7756
821,0.7876
822,0.7861
823,0.7916
824,0.7925
825,0.7938
826,0.7951
827,0.785
828,0.7848
829,0.7896
830,0.7859
831,0.7869
832,0.7887
833,0.7852
834,0.7855
835,0.7839
836,0.7847
837,0.7859
838,0.7809
839,0.7833
840,0.7889
841,0.791
842,0.792
843,0.7924
844,0.7836
845,0.7735
846,0.7902
847,0.7917
848,0.7901
849,0.7813
850,0.7838
851,0.7811
852,0.78
853,0.7873
854,0.7848
855,0.7864
856,0.7814
857,0.7855
858,0.7885
859,0.7879
860,0.7897
861,0.7903
862,0.7916
863,0.791
864,0.7915
865,0.7925
866,0.7925
867,0.792
868,0.7925
869,0.7942
870,0.7935
871,0.7936
872,0.7937
873,0.7937
874,0.7928
875,0.7936
876,0.794
877,0.7936
878,0.7937
879,0.7934
880,0.7932
881,0.7933
882,0.7947
883,0.7939
884,0.7944
885,0.7943
886,0.7944
887,0.7947
888,0.7943
889,0.7941
890,0.7941
891,0.7938
892,0.7682
893,0.786
894,0.7891
895,0.7908
896,0.7919
897,0.7919
898,0.796
899,0.7929
900,0.7968
901,0.7959
902,0.7973
903,0.7998
904,0.7979
905,0.7989
906,0.7963
907,0.7967
908,0.7965
909,0.7983
910,0.7973
911,0.799
912,0.7996
913,0.7983
914,0.8
915,0.8007
916,0.7994
917,0.8003
918,0.7994
919,0.7994
920,0.8008
921,0.7995
922,0.7994
923,0.7994
924,0.7999
925,0.8
926,0.7991
927,0.7996
928,0.7994
929,0.8003
930,0.8011
931,0.7998
932,0.7997
933,0.7993
934,0.8001
935,0.8004
936,0.8021
937,0.799
938,0.7942
939,0.7976
940,0.8017
941,0.807
942,0.8062
943,0.8055
944,0.8054
945,0.8063
946,0.7881
947,0.7901
948,0.7982
949,0.7951
950,0.7929
951,0.7929
952,0.7926
953,0.7921
954,0.7956
955,0.7976
956,0.7912
957,0.7935
958,0.7997
959,0.7936
960,0.7987
961,0.8001
962,0.8026
963,0.8009
964,0.8002
965,0.795
966,0.7948
967,0.7942
968,0.7885
969,0.7986
970,0.795
971,0.7984
972,0.7988
973,0.7965
974,0.7958
975,0.801
976,0.7984
977,0.7986
978,0.7987
979,0.7996
980,0.7989
981,0.7937
982,0.7962
983,0.7934
984,0.7956
985,0.7954
986,0.7983
987,0.7982
988,0.8029
989,0.7987
990,0.7972
991,0.7974
992,0.7947
993,0.799
994,0.7995
995,0.7982
996,0.7952
997,0.797
998,0.8021
999,0.8062
