,accuracy
0,0.1
1,0.1
2,0.1965
3,0.2795
4,0.3412
5,0.3892
6,0.3886
7,0.4266
8,0.4005
9,0.3924
10,0.4486
11,0.353
12,0.3924
13,0.4259
14,0.3965
15,0.4377
16,0.405
17,0.4148
18,0.4166
19,0.4138
20,0.3364
21,0.4065
22,0.3955
23,0.4148
24,0.4053
25,0.4282
26,0.4286
27,0.3993
28,0.4207
29,0.4016
30,0.3806
31,0.4049
32,0.4112
33,0.4026
34,0.3932
35,0.4059
36,0.4185
37,0.4205
38,0.42
39,0.4107
40,0.4178
41,0.3852
42,0.4193
43,0.2284
44,0.3041
45,0.4311
46,0.4199
47,0.4168
48,0.4331
49,0.4359
50,0.4369
51,0.4355
52,0.4152
53,0.4033
54,0.4186
55,0.3769
56,0.419
57,0.4084
58,0.4138
59,0.4213
60,0.4303
61,0.4221
62,0.4247
63,0.4322
64,0.4309
65,0.4294
66,0.4368
67,0.4128
68,0.415
69,0.4227
70,0.4259
71,0.4354
72,0.4106
73,0.439
74,0.4332
75,0.4385
76,0.4164
77,0.4266
78,0.4399
79,0.4197
80,0.4106
81,0.4373
82,0.4203
83,0.4382
84,0.4393
85,0.4414
86,0.1149
87,0.3404
88,0.3513
89,0.4366
90,0.4368
91,0.4116
92,0.443
93,0.4474
94,0.4183
95,0.4261
96,0.4449
97,0.451
98,0.4481
99,0.4262
100,0.4489
101,0.4543
102,0.4661
103,0.4686
104,0.4673
105,0.4668
106,0.4574
107,0.4638
108,0.4608
109,0.4603
110,0.4553
111,0.4626
112,0.4652
113,0.4552
114,0.1657
115,0.3609
116,0.4419
117,0.4687
118,0.4724
119,0.4826
120,0.4669
121,0.4796
122,0.4592
123,0.4806
124,0.4796
125,0.4801
126,0.4786
127,0.478
128,0.4769
129,0.4812
130,0.4791
131,0.4849
132,0.4922
133,0.4896
134,0.4769
135,0.4852
136,0.3075
137,0.3768
138,0.4406
139,0.4689
140,0.4699
141,0.4761
142,0.4743
143,0.4743
144,0.4902
145,0.4791
146,0.4759
147,0.4721
148,0.4754
149,0.486
150,0.4866
151,0.4684
152,0.4791
153,0.4763
154,0.4847
155,0.4836
156,0.4967
157,0.097
158,0.3566
159,0.4354
160,0.4631
161,0.4585
162,0.4766
163,0.4904
164,0.4911
165,0.4965
166,0.4812
167,0.4878
168,0.4765
169,0.4773
170,0.4847
171,0.4918
172,0.4885
173,0.4932
174,0.4946
175,0.4811
176,0.4761
177,0.4865
178,0.4823
179,0.2676
180,0.3903
181,0.4483
182,0.4781
183,0.4937
184,0.4915
185,0.4686
186,0.4896
187,0.4813
188,0.4727
189,0.4971
190,0.4803
191,0.4955
192,0.4854
193,0.4784
194,0.4933
195,0.4945
196,0.4854
197,0.4861
198,0.4898
199,0.4983
200,0.2516
201,0.3777
202,0.4007
203,0.4205
204,0.4377
205,0.4489
206,0.4546
207,0.4617
208,0.4601
209,0.4707
210,0.4698
211,0.4743
212,0.4601
213,0.4644
214,0.4739
215,0.404
216,0.4839
217,0.52
218,0.5329
219,0.5319
220,0.5422
221,0.5453
222,0.5458
223,0.5363
224,0.5326
225,0.5297
226,0.5315
227,0.5405
228,0.548
229,0.5356
230,0.4248
231,0.4921
232,0.5526
233,0.5571
234,0.5479
235,0.5456
236,0.5561
237,0.5511
238,0.546
239,0.5469
240,0.5471
241,0.5481
242,0.5512
243,0.5519
244,0.3036
245,0.512
246,0.5265
247,0.5393
248,0.5618
249,0.548
250,0.5637
251,0.5693
252,0.562
253,0.5707
254,0.5678
255,0.568
256,0.5623
257,0.5682
258,0.5614
259,0.439
260,0.5381
261,0.5722
262,0.564
263,0.5771
264,0.5771
265,0.5674
266,0.5654
267,0.5654
268,0.5663
269,0.5666
270,0.5731
271,0.5741
272,0.5556
273,0.5676
274,0.5103
275,0.5703
276,0.582
277,0.5764
278,0.5866
279,0.5848
280,0.5807
281,0.5853
282,0.5812
283,0.5692
284,0.5869
285,0.5795
286,0.5903
287,0.5823
288,0.4051
289,0.5437
290,0.575
291,0.5843
292,0.575
293,0.5813
294,0.5913
295,0.5906
296,0.5935
297,0.5864
298,0.5898
299,0.589
300,0.5996
301,0.5971
302,0.5271
303,0.5518
304,0.5715
305,0.5826
306,0.5874
307,0.5762
308,0.5807
309,0.5833
310,0.5896
311,0.5943
312,0.5942
313,0.5172
314,0.6032
315,0.6065
316,0.6161
317,0.6206
318,0.6122
319,0.6148
320,0.6185
321,0.6102
322,0.6178
323,0.6212
324,0.5528
325,0.609
326,0.6149
327,0.6176
328,0.6235
329,0.6214
330,0.6259
331,0.6257
332,0.6101
333,0.624
334,0.6186
335,0.5349
336,0.597
337,0.6273
338,0.62
339,0.6275
340,0.6245
341,0.6275
342,0.6288
343,0.6186
344,0.634
345,0.6326
346,0.5558
347,0.6209
348,0.6308
349,0.6415
350,0.6397
351,0.6379
352,0.643
353,0.6372
354,0.642
355,0.641
356,0.6426
357,0.5898
358,0.6349
359,0.6204
360,0.6505
361,0.6445
362,0.6482
