,accuracy
464,0.7361
465,0.7387
466,0.736
467,0.7344
468,0.7307
469,0.7323
470,0.7405
471,0.7353
472,0.7306
473,0.7367
474,0.7348
475,0.7319
476,0.7355
477,0.7461
478,0.7416
479,0.7384
480,0.7374
481,0.7413
482,0.7437
483,0.7373
484,0.7388
485,0.7375
486,0.733
487,0.7406
488,0.7423
489,0.733
490,0.7414
491,0.7327
492,0.7392
493,0.7383
494,0.7391
495,0.7295
496,0.7375
497,0.739
498,0.7397
499,0.7366
500,0.7402
501,0.7432
502,0.753
503,0.7504
504,0.7484
505,0.7504
506,0.754
507,0.7486
508,0.7425
509,0.7394
510,0.7393
511,0.7462
512,0.7433
513,0.7466
514,0.7498
515,0.7437
516,0.7543
517,0.7535
518,0.7504
519,0.7546
520,0.7459
521,0.7488
522,0.7492
523,0.7478
524,0.7494
525,0.7546
526,0.7601
527,0.7552
528,0.7488
529,0.7454
530,0.7467
531,0.7535
532,0.7536
533,0.7536
534,0.7549
535,0.7419
536,0.7514
537,0.7558
538,0.7496
539,0.7493
540,0.7539
541,0.7547
542,0.7514
543,0.7521
544,0.7494
545,0.7481
546,0.7508
547,0.7519
548,0.758
549,0.7602
550,0.75
551,0.7525
552,0.7503
553,0.7562
554,0.7547
555,0.7505
556,0.757
557,0.76
558,0.7603
559,0.7586
560,0.7615
561,0.7542
562,0.7578
563,0.7515
564,0.7497
565,0.7619
566,0.7593
567,0.7622
568,0.7589
569,0.7588
570,0.7553
571,0.7512
572,0.7567
573,0.7582
574,0.7578
575,0.7596
576,0.7547
577,0.7542
578,0.7572
579,0.7597
580,0.7614
581,0.7578
582,0.7616
583,0.7547
584,0.7543
585,0.7562
586,0.7658
587,0.7608
588,0.764
589,0.7558
590,0.7559
591,0.7585
592,0.7585
593,0.7641
594,0.7586
595,0.7512
596,0.7601
597,0.7647
598,0.7623
599,0.7602
600,0.7639
601,0.766
602,0.7728
603,0.7733
604,0.7744
605,0.7763
606,0.7724
607,0.77
608,0.771
609,0.7653
610,0.7664
611,0.762
612,0.7677
613,0.7643
614,0.7642
615,0.7676
616,0.7678
617,0.7623
618,0.7639
619,0.7711
620,0.7664
621,0.768
622,0.7706
623,0.7711
624,0.7663
625,0.7749
626,0.7739
627,0.7779
628,0.7657
629,0.7657
630,0.7701
631,0.7732
632,0.7722
633,0.7749
634,0.776
635,0.7736
636,0.7734
637,0.777
638,0.7767
639,0.7723
640,0.7652
641,0.7678
642,0.7633
643,0.7714
644,0.7671
645,0.7657
646,0.7704
647,0.7748
648,0.7754
649,0.7787
650,0.7721
651,0.7741
652,0.7705
653,0.77
654,0.7693
655,0.7764
656,0.7727
657,0.7756
658,0.7759
659,0.7744
660,0.772
661,0.7706
662,0.7726
663,0.7761
664,0.7741
665,0.776
666,0.7759
667,0.78
668,0.7747
669,0.7614
670,0.7665
671,0.7711
672,0.7716
673,0.7774
674,0.7768
675,0.7727
676,0.7687
677,0.7743
678,0.7652
679,0.7713
680,0.7704
681,0.77
682,0.7619
683,0.7663
684,0.7712
685,0.7747
686,0.7739
687,0.772
688,0.7727
689,0.7699
690,0.7682
691,0.7704
692,0.7655
693,0.773
694,0.7738
695,0.7745
696,0.7795
697,0.7743
698,0.7746
699,0.7739
700,0.7767
701,0.7796
702,0.7841
703,0.7845
704,0.7862
705,0.7849
706,0.7835
707,0.784
708,0.7825
709,0.7778
710,0.7761
711,0.7773
712,0.7766
713,0.7762
714,0.7799
715,0.7811
716,0.7844
717,0.7779
718,0.7784
719,0.7761
720,0.7718
721,0.7818
722,0.7788
723,0.7821
724,0.7831
725,0.782
726,0.7757
727,0.7783
728,0.7779
729,0.7771
730,0.7832
731,0.7784
732,0.7828
733,0.7807
734,0.782
735,0.7806
736,0.7766
737,0.7831
738,0.7726
739,0.7779
740,0.7796
741,0.7815
742,0.7799
743,0.7792
744,0.7817
745,0.7825
746,0.7811
747,0.7865
748,0.7811
749,0.7797
750,0.78
751,0.7745
752,0.7763
753,0.7844
754,0.785
755,0.7794
756,0.7835
757,0.7793
758,0.7802
759,0.7765
760,0.776
761,0.7784
762,0.7811
763,0.7843
764,0.7874
765,0.7837
766,0.7812
767,0.7847
768,0.7856
769,0.7832
770,0.764
771,0.7814
772,0.7802
773,0.7835
774,0.7872
775,0.7866
776,0.7885
777,0.7836
778,0.7802
779,0.7766
780,0.7779
781,0.7835
782,0.7874
783,0.7821
784,0.7838
785,0.784
786,0.7865
787,0.7774
788,0.7877
789,0.7834
790,0.7799
791,0.7723
792,0.7817
793,0.7826
794,0.7841
795,0.79
796,0.7857
797,0.7877
798,0.7915
799,0.79
800,0.7913
801,0.7925
802,0.7951
803,0.7941
804,0.7956
805,0.7917
806,0.7939
807,0.7919
808,0.7932
809,0.7958
810,0.7954
811,0.7944
812,0.7932
813,0.7863
814,0.7627
815,0.7879
816,0.7882
817,0.7927
818,0.7877
819,0.7917
820,0.7961
821,0.7885
822,0.7791
823,0.7901
824,0.791
825,0.7892
826,0.7913
827,0.7881
828,0.7937
829,0.7924
830,0.7949
831,0.7976
832,0.7923
833,0.7905
834,0.792
835,0.7864
836,0.7906
837,0.7865
838,0.7915
839,0.7896
840,0.7947
841,0.7972
842,0.7948
843,0.7915
844,0.7918
845,0.7831
846,0.7894
847,0.7902
848,0.7945
849,0.7925
850,0.7945
851,0.7961
852,0.7973
853,0.7967
854,0.7969
855,0.7941
856,0.7958
857,0.7957
858,0.7959
859,0.7956
860,0.7963
861,0.7943
862,0.7952
863,0.7949
864,0.7947
865,0.7947
866,0.7956
867,0.7968
868,0.7957
869,0.7956
870,0.796
871,0.7956
872,0.7963
873,0.7833
874,0.7913
875,0.7974
876,0.7904
877,0.7969
878,0.7941
879,0.7914
880,0.7928
881,0.7958
882,0.7943
883,0.7949
884,0.7931
885,0.8001
886,0.7991
887,0.7958
888,0.7964
889,0.7859
890,0.7928
891,0.7946
892,0.795
893,0.796
894,0.7988
895,0.7972
896,0.8
897,0.8019
898,0.8005
899,0.8002
900,0.8008
901,0.7991
902,0.7997
903,0.8036
904,0.8007
905,0.8018
906,0.8031
907,0.8009
908,0.7975
909,0.8002
910,0.7994
911,0.7969
912,0.8009
913,0.8015
914,0.8007
915,0.8012
916,0.8024
917,0.8036
918,0.8028
919,0.8015
920,0.7991
921,0.7955
922,0.7929
923,0.7997
924,0.8055
925,0.8007
926,0.7992
927,0.8012
928,0.7992
929,0.8014
930,0.7891
931,0.799
932,0.8011
933,0.7989
934,0.8005
935,0.8034
936,0.8046
937,0.8027
938,0.802
939,0.7995
940,0.7876
941,0.7933
942,0.7965
943,0.7976
944,0.8042
945,0.8027
946,0.7984
947,0.8018
948,0.8004
949,0.8003
950,0.7915
951,0.7965
952,0.7966
953,0.8021
954,0.8037
955,0.8033
956,0.8033
957,0.8047
958,0.8038
959,0.8
960,0.7813
961,0.7962
962,0.7995
963,0.8023
964,0.8023
965,0.8032
966,0.7989
967,0.8013
968,0.7967
969,0.7883
970,0.8004
971,0.7966
972,0.7994
973,0.7906
974,0.7993
975,0.7988
976,0.8005
977,0.7998
978,0.7919
979,0.8014
980,0.7947
981,0.7964
982,0.7981
983,0.7931
984,0.8018
985,0.8019
986,0.8044
987,0.8024
988,0.8006
989,0.792
990,0.7987
991,0.7996
992,0.8014
993,0.8017
994,0.8007
995,0.8018
996,0.8023
997,0.8019
998,0.8021
999,0.8027
