,accuracy
0,0.1068
1,0.1615
2,0.2811
3,0.4088
4,0.2933
5,0.4093
6,0.3953
7,0.3835
8,0.1642
9,0.3879
10,0.4372
11,0.455
12,0.1051
13,0.3375
14,0.4745
15,0.4762
16,0.5224
17,0.2664
18,0.5223
19,0.5362
20,0.5245
21,0.2251
22,0.4544
23,0.5331
24,0.5724
25,0.1508
26,0.3752
27,0.5078
28,0.564
29,0.514
30,0.3927
31,0.5463
32,0.5864
33,0.5723
34,0.3301
35,0.497
36,0.5694
37,0.5741
38,0.115
39,0.4996
40,0.573
41,0.5
42,0.1573
43,0.3675
44,0.4934
45,0.559
46,0.5727
47,0.4512
48,0.5505
49,0.5844
50,0.5667
51,0.2851
52,0.4814
53,0.5435
54,0.6163
55,0.2179
56,0.3698
57,0.5794
58,0.5545
59,0.5135
60,0.3177
61,0.5218
62,0.5826
63,0.5975
64,0.2546
65,0.5336
66,0.5642
67,0.5805
68,0.1798
69,0.5529
70,0.6109
71,0.5696
72,0.5978
73,0.3647
74,0.5995
75,0.5958
76,0.6187
77,0.4465
78,0.554
79,0.5798
80,0.5956
81,0.2451
82,0.5072
83,0.6154
84,0.5762
85,0.1517
86,0.4539
87,0.5851
88,0.5722
89,0.6252
90,0.3366
91,0.5505
92,0.6075
93,0.594
94,0.2869
95,0.5664
96,0.5993
97,0.6314
98,0.1924
99,0.5007
100,0.6439
101,0.5322
102,0.6667
103,0.4096
104,0.6742
105,0.4237
106,0.6426
107,0.6785
108,0.661
109,0.652
110,0.6227
111,0.6631
112,0.6404
113,0.6289
114,0.5589
115,0.6578
116,0.5809
117,0.6569
118,0.4075
119,0.6569
120,0.3276
121,0.6582
122,0.6531
123,0.6264
124,0.6684
125,0.5759
126,0.6833
127,0.5309
128,0.6679
129,0.5512
130,0.6644
131,0.3458
132,0.5903
133,0.2437
134,0.6303
135,0.1004
136,0.6456
137,0.6672
138,0.6207
139,0.6663
140,0.6314
141,0.6663
142,0.5587
143,0.6609
144,0.6076
145,0.6702
146,0.5262
147,0.6666
148,0.1881
149,0.6438
150,0.6831
151,0.6769
152,0.6777
153,0.6306
154,0.6505
155,0.5576
156,0.6499
157,0.5728
158,0.6736
159,0.5334
160,0.6785
161,0.5092
162,0.6769
163,0.2945
164,0.6658
165,0.6821
166,0.6584
167,0.6819
168,0.6648
169,0.6753
170,0.6523
171,0.6835
172,0.6144
173,0.6779
174,0.4748
175,0.6804
176,0.2612
177,0.6731
178,0.191
179,0.6632
180,0.6843
181,0.6467
182,0.6799
183,0.6288
184,0.675
185,0.5534
186,0.6864
187,0.4257
188,0.6889
189,0.39
190,0.6743
191,0.1745
192,0.6803
193,0.6909
194,0.6788
195,0.6878
196,0.6387
197,0.6805
198,0.6552
199,0.6934
200,0.6926
201,0.676
202,0.715
203,0.7199
204,0.6984
205,0.7316
206,0.7239
207,0.706
208,0.7248
209,0.7177
210,0.6957
211,0.259
212,0.718
213,0.7098
214,0.4341
215,0.7208
216,0.71
217,0.638
218,0.721
219,0.7133
220,0.6641
221,0.7225
222,0.7057
223,0.6463
224,0.7193
225,0.7157
226,0.6799
227,0.7219
228,0.7102
229,0.6942
230,0.5635
231,0.7173
232,0.676
233,0.514
234,0.7181
235,0.7221
236,0.6592
237,0.7191
238,0.7012
239,0.6768
240,0.7187
241,0.7109
242,0.6603
243,0.7075
244,0.7181
245,0.6887
246,0.2816
247,0.7126
248,0.7121
