,accuracy
0,0.102
1,0.2949
2,0.3678
3,0.4386
4,0.1738
5,0.4008
6,0.4081
7,0.3316
8,0.1462
9,0.3346
10,0.4505
11,0.362
12,0.2462
13,0.3636
14,0.4332
15,0.4737
16,0.5171
17,0.226
18,0.474
19,0.5005
20,0.4115
21,0.4178
22,0.3528
23,0.4133
24,0.4282
25,0.3766
26,0.4324
27,0.5274
28,0.5023
29,0.5062
30,0.2691
31,0.5092
32,0.5153
33,0.5332
34,0.448
35,0.4373
36,0.5117
37,0.5069
38,0.4237
39,0.5161
40,0.4994
41,0.4946
42,0.2131
43,0.4549
44,0.4782
45,0.4464
46,0.4902
47,0.4048
48,0.5251
49,0.5044
50,0.5089
51,0.4728
52,0.4795
53,0.5396
54,0.559
55,0.3499
56,0.4938
57,0.5201
58,0.5186
59,0.5059
60,0.5241
61,0.5324
62,0.5583
63,0.5533
64,0.4634
65,0.4871
66,0.5145
67,0.5477
68,0.3366
69,0.4686
70,0.5133
71,0.5227
72,0.5471
73,0.4263
74,0.519
75,0.5343
76,0.4858
77,0.4226
78,0.5411
79,0.5434
80,0.5496
81,0.4253
82,0.5263
83,0.5236
84,0.5482
85,0.249
86,0.4638
87,0.5055
88,0.5682
89,0.5413
90,0.5182
91,0.4766
92,0.5547
93,0.5648
94,0.3702
95,0.4743
96,0.5362
97,0.5296
98,0.3226
99,0.5041
100,0.5893
101,0.5864
102,0.638
103,0.5863
104,0.6375
105,0.4333
106,0.6346
107,0.6182
108,0.6194
109,0.6086
110,0.5727
111,0.6298
112,0.599
113,0.6091
114,0.563
115,0.6117
116,0.5405
117,0.6158
118,0.4934
119,0.6174
120,0.1368
121,0.6008
122,0.6227
123,0.6225
124,0.6124
125,0.5993
126,0.6307
127,0.5844
128,0.6225
129,0.5767
130,0.6295
131,0.5827
132,0.6317
133,0.39
134,0.6241
135,0.1289
136,0.6005
137,0.6268
138,0.6041
139,0.6258
140,0.6132
141,0.5937
142,0.6149
143,0.5935
144,0.5883
145,0.6173
146,0.5923
147,0.6189
148,0.5481
149,0.6383
150,0.6314
151,0.6281
152,0.6354
153,0.5803
154,0.628
155,0.6049
156,0.6212
157,0.5898
158,0.6216
159,0.6048
160,0.6287
161,0.4945
162,0.6379
163,0.2443
164,0.6424
165,0.6409
166,0.6321
167,0.6338
168,0.6252
169,0.64
170,0.5882
171,0.625
172,0.5492
173,0.629
174,0.5785
175,0.6075
176,0.4518
177,0.5968
178,0.1002
179,0.6233
180,0.6315
181,0.6191
182,0.6378
183,0.6176
184,0.6253
185,0.6161
186,0.6309
187,0.5406
188,0.642
189,0.5459
190,0.6282
191,0.3756
192,0.6437
193,0.6175
194,0.5943
195,0.6173
196,0.6261
197,0.6423
198,0.6268
199,0.6541
200,0.6671
201,0.5728
202,0.6942
203,0.6958
204,0.668
205,0.6908
206,0.6843
207,0.6835
208,0.6852
209,0.6841
210,0.6746
211,0.2588
212,0.677
213,0.6642
214,0.5784
215,0.6748
216,0.6741
217,0.6407
218,0.6889
219,0.6791
220,0.6732
221,0.6789
222,0.6825
223,0.6398
224,0.6824
225,0.6842
226,0.6695
227,0.6796
228,0.6742
229,0.6785
230,0.4255
231,0.6754
232,0.6799
233,0.5878
234,0.688
235,0.6833
236,0.6352
