,accuracy
0,0.1
1,0.1008
2,0.1989
3,0.3012
4,0.3525
5,0.3914
6,0.4048
7,0.422
8,0.4154
9,0.4315
10,0.439
11,0.4284
12,0.4197
13,0.4081
14,0.4077
15,0.4175
16,0.3783
17,0.4165
18,0.4144
19,0.382
20,0.4314
21,0.4443
22,0.4156
23,0.4361
24,0.411
25,0.4251
26,0.4345
27,0.4226
28,0.365
29,0.4121
30,0.4036
31,0.4009
32,0.4394
33,0.42
34,0.4088
35,0.4219
36,0.4283
37,0.426
38,0.4258
39,0.4107
40,0.4436
41,0.4413
42,0.4584
43,0.3976
44,0.4215
45,0.4535
46,0.38
47,0.4606
48,0.4201
49,0.4217
50,0.4359
51,0.4467
52,0.429
53,0.4295
54,0.4617
55,0.4555
56,0.4642
57,0.4521
58,0.454
59,0.4446
60,0.4591
61,0.452
62,0.4465
63,0.4506
64,0.4484
65,0.4573
66,0.4276
67,0.4603
68,0.4388
69,0.4082
70,0.4205
71,0.4566
72,0.4386
73,0.4584
74,0.4474
75,0.4452
76,0.4453
77,0.4381
78,0.4544
79,0.4472
80,0.4525
81,0.4475
82,0.4657
83,0.4547
84,0.4548
85,0.4218
86,0.4208
87,0.4136
88,0.4468
89,0.4656
90,0.4341
91,0.4678
92,0.4636
93,0.4403
94,0.442
95,0.478
96,0.4681
97,0.4238
98,0.4534
99,0.4567
100,0.486
101,0.4801
102,0.486
103,0.4938
104,0.4926
105,0.4844
106,0.4876
107,0.466
108,0.4745
109,0.4894
110,0.4805
111,0.485
112,0.4867
113,0.4756
114,0.3349
115,0.4265
116,0.4702
117,0.49
118,0.4655
119,0.4889
120,0.4943
121,0.4687
122,0.4806
123,0.4854
124,0.4872
125,0.4971
126,0.4772
127,0.4892
128,0.5147
129,0.4931
130,0.5097
131,0.4959
132,0.4898
133,0.4937
134,0.4943
135,0.4921
136,0.4729
137,0.4824
138,0.4665
139,0.5082
140,0.4914
141,0.5199
142,0.5181
143,0.5142
144,0.5204
145,0.5017
146,0.5262
147,0.4928
148,0.5204
149,0.5255
150,0.5089
151,0.5041
152,0.5166
153,0.5238
154,0.5184
155,0.5125
156,0.4887
157,0.4658
158,0.46
159,0.5172
160,0.5099
161,0.5228
162,0.4965
163,0.5145
164,0.52
165,0.5177
166,0.4874
167,0.5264
168,0.5192
169,0.5248
170,0.4911
171,0.5156
172,0.5306
173,0.5212
174,0.5197
175,0.5102
176,0.5104
177,0.5315
178,0.5289
179,0.4694
180,0.5126
181,0.5161
182,0.5165
183,0.5113
184,0.5213
185,0.5169
186,0.5309
187,0.5246
188,0.5193
189,0.5233
190,0.5359
191,0.5153
192,0.5242
193,0.5366
194,0.5198
195,0.5252
196,0.5255
197,0.5301
198,0.5252
199,0.5339
200,0.535
201,0.5431
202,0.5487
203,0.5403
204,0.5455
205,0.5458
206,0.546
207,0.536
208,0.533
209,0.5382
210,0.5375
211,0.532
212,0.5467
213,0.5439
214,0.5497
215,0.5277
216,0.5435
217,0.5459
218,0.5579
219,0.5565
220,0.5547
221,0.5543
222,0.5475
223,0.5427
224,0.556
225,0.5702
226,0.5423
227,0.5541
228,0.5488
229,0.5722
230,0.5225
231,0.5477
232,0.5569
233,0.5624
234,0.5708
235,0.5558
236,0.5731
237,0.5658
238,0.5616
239,0.5648
240,0.5571
241,0.5693
242,0.5501
243,0.5742
244,0.5435
245,0.5632
246,0.5606
247,0.5733
248,0.5735
249,0.5542
250,0.5726
251,0.5627
252,0.5702
253,0.5791
254,0.5696
255,0.5831
256,0.5526
257,0.58
258,0.5756
259,0.5546
260,0.5758
261,0.5602
262,0.5861
263,0.5756
264,0.5712
265,0.5764
266,0.5853
267,0.5763
