,accuracy
0,0.1202
1,0.3704
2,0.4169
3,0.355
4,0.3487
5,0.31
6,0.3085
7,0.406
8,0.4061
9,0.4804
10,0.3453
11,0.3867
12,0.4042
13,0.4305
14,0.4133
15,0.4268
16,0.432
17,0.4592
18,0.4668
19,0.455
20,0.4405
21,0.4591
22,0.4721
23,0.4307
24,0.507
25,0.512
26,0.499
27,0.4846
28,0.4955
29,0.4731
30,0.4645
31,0.4617
32,0.4982
33,0.5072
34,0.4914
35,0.4716
36,0.4997
37,0.5063
38,0.5303
39,0.4633
40,0.4945
41,0.5079
42,0.4857
43,0.4867
44,0.473
45,0.4987
46,0.475
47,0.4829
48,0.5117
49,0.5309
50,0.5139
51,0.5289
52,0.5275
53,0.5449
54,0.5374
55,0.5264
56,0.49
57,0.4862
58,0.4915
59,0.5252
60,0.5312
61,0.4932
62,0.5081
63,0.5188
64,0.4944
65,0.5171
66,0.5167
67,0.5005
68,0.5285
69,0.5295
70,0.5356
71,0.5238
72,0.5102
73,0.5219
74,0.5344
75,0.5413
76,0.5302
77,0.5452
78,0.5392
79,0.5384
80,0.5358
81,0.5217
82,0.5274
83,0.5407
84,0.5099
85,0.536
86,0.5497
87,0.507
88,0.5441
89,0.5316
90,0.5019
91,0.5292
92,0.5443
93,0.5219
94,0.5268
95,0.5213
96,0.5349
97,0.5591
98,0.5168
99,0.5316
100,0.5836
101,0.6139
102,0.6285
103,0.6238
104,0.626
105,0.6201
106,0.5718
107,0.6123
108,0.6153
109,0.6115
110,0.5884
111,0.5803
112,0.5932
113,0.5993
114,0.6011
115,0.6021
116,0.5786
117,0.6173
118,0.5987
119,0.6014
120,0.5977
121,0.5798
122,0.6193
123,0.6243
124,0.5971
125,0.6197
126,0.5991
127,0.6271
128,0.6011
129,0.6199
130,0.6157
131,0.6117
132,0.6289
133,0.6085
134,0.6216
135,0.6198
136,0.5968
137,0.6181
138,0.6228
139,0.6303
140,0.6146
141,0.599
142,0.6191
143,0.6134
144,0.6244
145,0.6199
146,0.6118
147,0.607
148,0.6062
149,0.6205
150,0.6281
151,0.6039
152,0.6263
153,0.6293
154,0.6207
155,0.6104
156,0.6115
157,0.6173
158,0.6107
159,0.6232
160,0.6302
161,0.6181
162,0.6209
163,0.6181
164,0.6263
165,0.6179
166,0.6375
167,0.6017
168,0.6249
169,0.6311
170,0.6287
171,0.6398
172,0.6238
173,0.6205
174,0.6277
175,0.6338
176,0.6285
177,0.6364
178,0.6387
179,0.6339
180,0.6149
181,0.6377
182,0.6298
183,0.6194
184,0.6437
185,0.6227
186,0.6299
187,0.6203
188,0.6091
189,0.622
190,0.6308
191,0.6372
192,0.6292
193,0.617
194,0.6382
195,0.6169
196,0.6364
197,0.639
198,0.6396
199,0.6365
200,0.6591
201,0.6736
202,0.6871
203,0.6881
204,0.6916
205,0.6823
206,0.6809
207,0.6666
208,0.6623
209,0.6647
210,0.6681
211,0.6763
212,0.6666
213,0.6654
214,0.6647
215,0.6691
216,0.6669
217,0.6765
218,0.6639
219,0.6736
220,0.6693
221,0.6457
222,0.674
223,0.6791
224,0.6705
225,0.6599
226,0.6803
227,0.6829
228,0.6754
229,0.6837
230,0.6729
231,0.6786
232,0.6676
233,0.6804
234,0.6677
235,0.6761
236,0.6714
237,0.6672
238,0.6826
239,0.6761
240,0.6701
241,0.6699
242,0.6805
243,0.6784
244,0.6769
245,0.6804
246,0.6771
247,0.675
248,0.6726
249,0.663
250,0.6786
251,0.6684
252,0.6653
253,0.678
254,0.6706
255,0.6728
256,0.6828
257,0.6699
258,0.6705
259,0.6688
260,0.675
261,0.6727
262,0.6726
263,0.6694
