wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run umjzzyrw
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260629_220331-umjzzyrw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.9_pruning_ratio_0.3_delta_t_864
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/umjzzyrw
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.9
num_mask_updates: 100
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.9 | total_steps=108000 | t_end=86400 | delta_t=864

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:10<03:53,  2.43s/it, acc=0.522, lr=0.0004, test_acc=0.394]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:53,  2.43s/it, acc=0.651, lr=0.0005, test_acc=0.415]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:46,  2.39s/it, acc=0.651, lr=0.0005, test_acc=0.415]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:46,  2.39s/it, acc=0.651, lr=0.0005, test_acc=0.415]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:46,  2.39s/it, acc=0.807, lr=0.0006, test_acc=0.416]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:41,  2.36s/it, acc=0.807, lr=0.0006, test_acc=0.416]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:41,  2.36s/it, acc=0.807, lr=0.0006, test_acc=0.416]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:17<03:41,  2.36s/it, acc=0.895, lr=0.0007, test_acc=0.424]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:17<03:38,  2.35s/it, acc=0.895, lr=0.0007, test_acc=0.424]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:17<03:38,  2.35s/it, acc=0.895, lr=0.0007, test_acc=0.424]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<03:38,  2.35s/it, acc=0.921, lr=0.0008, test_acc=0.328]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:19<03:34,  2.33s/it, acc=0.921, lr=0.0008, test_acc=0.328]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:19<03:34,  2.33s/it, acc=0.921, lr=0.0008, test_acc=0.328]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:34,  2.33s/it, acc=0.89, lr=0.0009, test_acc=0.389] 
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:32,  2.33s/it, acc=0.89, lr=0.0009, test_acc=0.389]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:32,  2.33s/it, acc=0.89, lr=0.0009, test_acc=0.389]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:32,  2.33s/it, acc=0.865, lr=0.001, test_acc=0.335]
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:29,  2.32s/it, acc=0.865, lr=0.001, test_acc=0.335]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:29,  2.32s/it, acc=0.865, lr=0.001, test_acc=0.335]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:26<03:29,  2.32s/it, acc=0.863, lr=0.001, test_acc=0.362]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:26<03:26,  2.32s/it, acc=0.863, lr=0.001, test_acc=0.362]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:26<03:26,  2.32s/it, acc=0.863, lr=0.001, test_acc=0.362]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:26,  2.32s/it, acc=0.895, lr=0.001, test_acc=0.364]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:28<03:23,  2.32s/it, acc=0.895, lr=0.001, test_acc=0.364]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:28<03:23,  2.32s/it, acc=0.895, lr=0.001, test_acc=0.364]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:23,  2.32s/it, acc=0.918, lr=0.001, test_acc=0.395]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:21,  2.31s/it, acc=0.918, lr=0.001, test_acc=0.395]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:21,  2.31s/it, acc=0.918, lr=0.001, test_acc=0.395]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:33<03:21,  2.31s/it, acc=0.917, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:33<03:18,  2.31s/it, acc=0.917, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:33<03:18,  2.31s/it, acc=0.917, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:18,  2.31s/it, acc=0.938, lr=0.001, test_acc=0.37] 
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:35<03:16,  2.31s/it, acc=0.938, lr=0.001, test_acc=0.37]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:35<03:16,  2.31s/it, acc=0.938, lr=0.001, test_acc=0.37]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:16,  2.31s/it, acc=0.941, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:37<03:14,  2.31s/it, acc=0.941, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:37<03:14,  2.31s/it, acc=0.941, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:40<03:14,  2.31s/it, acc=0.937, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:40<03:11,  2.31s/it, acc=0.937, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:40<03:11,  2.31s/it, acc=0.937, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:42<03:11,  2.31s/it, acc=0.941, lr=0.001, test_acc=0.412]
