wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 9oqhpd7k
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260710_201931-9oqhpd7k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.95_pruning_ratio_0.3_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/9oqhpd7k
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.95
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.95 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [02:21<03:41,  3.63s/it, acc=0.965, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [02:25<03:41,  3.63s/it, acc=0.968, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 39:  40%|████      | 40/100 [02:25<03:37,  3.62s/it, acc=0.968, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 40:  40%|████      | 40/100 [02:25<03:37,  3.62s/it, acc=0.968, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 40:  40%|████      | 40/100 [02:29<03:37,  3.62s/it, acc=0.966, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 40:  41%|████      | 41/100 [02:29<03:33,  3.62s/it, acc=0.966, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 41:  41%|████      | 41/100 [02:29<03:33,  3.62s/it, acc=0.966, lr=0.001, test_acc=0.472]
Iter 0 | Epoch 41:  41%|████      | 41/100 [02:32<03:33,  3.62s/it, acc=0.978, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 41:  42%|████▏     | 42/100 [02:32<03:30,  3.62s/it, acc=0.978, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 42:  42%|████▏     | 42/100 [02:32<03:30,  3.62s/it, acc=0.978, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 42:  42%|████▏     | 42/100 [02:36<03:30,  3.62s/it, acc=0.968, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 42:  43%|████▎     | 43/100 [02:36<03:26,  3.62s/it, acc=0.968, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 43:  43%|████▎     | 43/100 [02:36<03:26,  3.62s/it, acc=0.968, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 43:  43%|████▎     | 43/100 [02:39<03:26,  3.62s/it, acc=0.967, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 43:  44%|████▍     | 44/100 [02:39<03:22,  3.62s/it, acc=0.967, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 44:  44%|████▍     | 44/100 [02:39<03:22,  3.62s/it, acc=0.967, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 44:  44%|████▍     | 44/100 [02:43<03:22,  3.62s/it, acc=0.971, lr=0.001, test_acc=0.485]
Iter 0 | Epoch 44:  45%|████▌     | 45/100 [02:43<03:19,  3.62s/it, acc=0.971, lr=0.001, test_acc=0.485]
Iter 0 | Epoch 45:  45%|████▌     | 45/100 [02:43<03:19,  3.62s/it, acc=0.971, lr=0.001, test_acc=0.485]
Iter 0 | Epoch 45:  45%|████▌     | 45/100 [02:47<03:19,  3.62s/it, acc=0.967, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 45:  46%|████▌     | 46/100 [02:47<03:15,  3.62s/it, acc=0.967, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 46:  46%|████▌     | 46/100 [02:47<03:15,  3.62s/it, acc=0.967, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 46:  46%|████▌     | 46/100 [02:50<03:15,  3.62s/it, acc=0.975, lr=0.001, test_acc=0.527]
Iter 0 | Epoch 46:  47%|████▋     | 47/100 [02:50<03:11,  3.62s/it, acc=0.975, lr=0.001, test_acc=0.527]
Iter 0 | Epoch 47:  47%|████▋     | 47/100 [02:50<03:11,  3.62s/it, acc=0.975, lr=0.001, test_acc=0.527]
Iter 0 | Epoch 47:  47%|████▋     | 47/100 [02:54<03:11,  3.62s/it, acc=0.976, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 47:  48%|████▊     | 48/100 [02:54<03:08,  3.62s/it, acc=0.976, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 48:  48%|████▊     | 48/100 [02:54<03:08,  3.62s/it, acc=0.976, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 48:  48%|████▊     | 48/100 [02:57<03:08,  3.62s/it, acc=0.975, lr=0.001, test_acc=0.52] 
Iter 0 | Epoch 48:  49%|████▉     | 49/100 [02:57<03:04,  3.62s/it, acc=0.975, lr=0.001, test_acc=0.52]
