wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run bwnptjto
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260710_203540-bwnptjto
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.99_pruning_ratio_0.3_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/bwnptjto
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.99
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.99 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [02:20<03:39,  3.59s/it, acc=0.745, lr=0.001, test_acc=0.188]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [02:24<03:39,  3.59s/it, acc=0.75, lr=0.001, test_acc=0.115] 
Iter 0 | Epoch 39:  40%|████      | 40/100 [02:24<03:35,  3.59s/it, acc=0.75, lr=0.001, test_acc=0.115]
Iter 0 | Epoch 40:  40%|████      | 40/100 [02:24<03:35,  3.59s/it, acc=0.75, lr=0.001, test_acc=0.115]
Iter 0 | Epoch 40:  40%|████      | 40/100 [02:28<03:35,  3.59s/it, acc=0.76, lr=0.001, test_acc=0.259]
Iter 0 | Epoch 40:  41%|████      | 41/100 [02:28<03:31,  3.59s/it, acc=0.76, lr=0.001, test_acc=0.259]
Iter 0 | Epoch 41:  41%|████      | 41/100 [02:28<03:31,  3.59s/it, acc=0.76, lr=0.001, test_acc=0.259]
Iter 0 | Epoch 41:  41%|████      | 41/100 [02:31<03:31,  3.59s/it, acc=0.772, lr=0.001, test_acc=0.2] 
Iter 0 | Epoch 41:  42%|████▏     | 42/100 [02:31<03:28,  3.59s/it, acc=0.772, lr=0.001, test_acc=0.2]
Iter 0 | Epoch 42:  42%|████▏     | 42/100 [02:31<03:28,  3.59s/it, acc=0.772, lr=0.001, test_acc=0.2]
Iter 0 | Epoch 42:  42%|████▏     | 42/100 [02:35<03:28,  3.59s/it, acc=0.79, lr=0.001, test_acc=0.187]
Iter 0 | Epoch 42:  43%|████▎     | 43/100 [02:35<03:24,  3.60s/it, acc=0.79, lr=0.001, test_acc=0.187]
Iter 0 | Epoch 43:  43%|████▎     | 43/100 [02:35<03:24,  3.60s/it, acc=0.79, lr=0.001, test_acc=0.187]
Iter 0 | Epoch 43:  43%|████▎     | 43/100 [02:38<03:24,  3.60s/it, acc=0.79, lr=0.001, test_acc=0.182]
Iter 0 | Epoch 43:  44%|████▍     | 44/100 [02:38<03:21,  3.59s/it, acc=0.79, lr=0.001, test_acc=0.182]
Iter 0 | Epoch 44:  44%|████▍     | 44/100 [02:38<03:21,  3.59s/it, acc=0.79, lr=0.001, test_acc=0.182]
Iter 0 | Epoch 44:  44%|████▍     | 44/100 [02:42<03:21,  3.59s/it, acc=0.798, lr=0.001, test_acc=0.314]
Iter 0 | Epoch 44:  45%|████▌     | 45/100 [02:42<03:17,  3.59s/it, acc=0.798, lr=0.001, test_acc=0.314]
Iter 0 | Epoch 45:  45%|████▌     | 45/100 [02:42<03:17,  3.59s/it, acc=0.798, lr=0.001, test_acc=0.314]
Iter 0 | Epoch 45:  45%|████▌     | 45/100 [02:46<03:17,  3.59s/it, acc=0.808, lr=0.001, test_acc=0.294]
Iter 0 | Epoch 45:  46%|████▌     | 46/100 [02:46<03:14,  3.59s/it, acc=0.808, lr=0.001, test_acc=0.294]
Iter 0 | Epoch 46:  46%|████▌     | 46/100 [02:46<03:14,  3.59s/it, acc=0.808, lr=0.001, test_acc=0.294]
Iter 0 | Epoch 46:  46%|████▌     | 46/100 [02:49<03:14,  3.59s/it, acc=0.825, lr=0.001, test_acc=0.187]
Iter 0 | Epoch 46:  47%|████▋     | 47/100 [02:49<03:10,  3.59s/it, acc=0.825, lr=0.001, test_acc=0.187]
Iter 0 | Epoch 47:  47%|████▋     | 47/100 [02:49<03:10,  3.59s/it, acc=0.825, lr=0.001, test_acc=0.187]
Iter 0 | Epoch 47:  47%|████▋     | 47/100 [02:53<03:10,  3.59s/it, acc=0.831, lr=0.001, test_acc=0.193]
Iter 0 | Epoch 47:  48%|████▊     | 48/100 [02:53<03:06,  3.59s/it, acc=0.831, lr=0.001, test_acc=0.193]
Iter 0 | Epoch 48:  48%|████▊     | 48/100 [02:53<03:06,  3.59s/it, acc=0.831, lr=0.001, test_acc=0.193]
Iter 0 | Epoch 48:  48%|████▊     | 48/100 [02:56<03:06,  3.59s/it, acc=0.851, lr=0.001, test_acc=0.317]
Iter 0 | Epoch 48:  49%|████▉     | 49/100 [02:56<03:03,  3.59s/it, acc=0.851, lr=0.001, test_acc=0.317]
