wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 89sk39hu
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260708_030509-89sk39hu
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.9_pruning_ratio_0.9_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/89sk39hu
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.9
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.9
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.9 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 1 | Epoch 61:  61%|██████    | 61/100 [03:39<02:18,  3.56s/it, acc=0.978, lr=0.001, test_acc=0.107]
Iter 1 | Epoch 61:  62%|██████▏   | 62/100 [03:39<02:15,  3.55s/it, acc=0.978, lr=0.001, test_acc=0.107]
Iter 1 | Epoch 62:  62%|██████▏   | 62/100 [03:39<02:15,  3.55s/it, acc=0.978, lr=0.001, test_acc=0.107]
Iter 1 | Epoch 62:  62%|██████▏   | 62/100 [03:42<02:15,  3.55s/it, acc=0.977, lr=0.001, test_acc=0.106]
Iter 1 | Epoch 62:  63%|██████▎   | 63/100 [03:42<02:11,  3.55s/it, acc=0.977, lr=0.001, test_acc=0.106]
Iter 1 | Epoch 63:  63%|██████▎   | 63/100 [03:42<02:11,  3.55s/it, acc=0.977, lr=0.001, test_acc=0.106]
Iter 1 | Epoch 63:  63%|██████▎   | 63/100 [03:46<02:11,  3.55s/it, acc=0.98, lr=0.001, test_acc=0.172] 
Iter 1 | Epoch 63:  64%|██████▍   | 64/100 [03:46<02:08,  3.56s/it, acc=0.98, lr=0.001, test_acc=0.172]
Iter 1 | Epoch 64:  64%|██████▍   | 64/100 [03:46<02:08,  3.56s/it, acc=0.98, lr=0.001, test_acc=0.172]
Iter 1 | Epoch 64:  64%|██████▍   | 64/100 [03:49<02:08,  3.56s/it, acc=0.98, lr=0.001, test_acc=0.268]
Iter 1 | Epoch 64:  65%|██████▌   | 65/100 [03:49<02:04,  3.55s/it, acc=0.98, lr=0.001, test_acc=0.268]
Iter 1 | Epoch 65:  65%|██████▌   | 65/100 [03:49<02:04,  3.55s/it, acc=0.98, lr=0.001, test_acc=0.268]
Iter 1 | Epoch 65:  65%|██████▌   | 65/100 [03:53<02:04,  3.55s/it, acc=0.978, lr=0.001, test_acc=0.126]
Iter 1 | Epoch 65:  66%|██████▌   | 66/100 [03:53<02:00,  3.54s/it, acc=0.978, lr=0.001, test_acc=0.126]
Iter 1 | Epoch 66:  66%|██████▌   | 66/100 [03:53<02:00,  3.54s/it, acc=0.978, lr=0.001, test_acc=0.126]
Iter 1 | Epoch 66:  66%|██████▌   | 66/100 [03:56<02:00,  3.54s/it, acc=0.98, lr=0.001, test_acc=0.11]  
Iter 1 | Epoch 66:  67%|██████▋   | 67/100 [03:56<01:56,  3.54s/it, acc=0.98, lr=0.001, test_acc=0.11]
Iter 1 | Epoch 67:  67%|██████▋   | 67/100 [03:56<01:56,  3.54s/it, acc=0.98, lr=0.001, test_acc=0.11]
Iter 1 | Epoch 67:  67%|██████▋   | 67/100 [04:00<01:56,  3.54s/it, acc=0.981, lr=0.001, test_acc=0.356]
Iter 1 | Epoch 67:  68%|██████▊   | 68/100 [04:00<01:53,  3.54s/it, acc=0.981, lr=0.001, test_acc=0.356]
Iter 1 | Epoch 68:  68%|██████▊   | 68/100 [04:00<01:53,  3.54s/it, acc=0.981, lr=0.001, test_acc=0.356]
Iter 1 | Epoch 68:  68%|██████▊   | 68/100 [04:04<01:53,  3.54s/it, acc=0.98, lr=0.001, test_acc=0.16]  
Iter 1 | Epoch 68:  69%|██████▉   | 69/100 [04:04<01:49,  3.54s/it, acc=0.98, lr=0.001, test_acc=0.16]
Iter 1 | Epoch 69:  69%|██████▉   | 69/100 [04:04<01:49,  3.54s/it, acc=0.98, lr=0.001, test_acc=0.16]
Iter 1 | Epoch 69:  69%|██████▉   | 69/100 [04:07<01:49,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.103]
Iter 1 | Epoch 69:  70%|███████   | 70/100 [04:07<01:46,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.103]
Iter 1 | Epoch 70:  70%|███████   | 70/100 [04:07<01:46,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.103]
Iter 1 | Epoch 70:  70%|███████   | 70/100 [04:11<01:46,  3.54s/it, acc=0.981, lr=0.001, test_acc=0.379]
Iter 1 | Epoch 70:  71%|███████   | 71/100 [04:11<01:42,  3.54s/it, acc=0.981, lr=0.001, test_acc=0.379]
Iter 1 | Epoch 71:  71%|███████   | 71/100 [04:11<01:42,  3.54s/it, acc=0.981, lr=0.001, test_acc=0.379]
Iter 1 | Epoch 71:  71%|███████   | 71/100 [04:14<01:42,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.377]
Iter 1 | Epoch 71:  72%|███████▏  | 72/100 [04:14<01:39,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.377]
Iter 1 | Epoch 72:  72%|███████▏  | 72/100 [04:14<01:39,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.377]
Iter 1 | Epoch 72:  72%|███████▏  | 72/100 [04:18<01:39,  3.54s/it, acc=0.979, lr=0.001, test_acc=0.406]
Iter 1 | Epoch 72:  73%|███████▎  | 73/100 [04:18<01:35,  3.54s/it, acc=0.979, lr=0.001, test_acc=0.406]
Iter 1 | Epoch 73:  73%|███████▎  | 73/100 [04:18<01:35,  3.54s/it, acc=0.979, lr=0.001, test_acc=0.406]
Iter 1 | Epoch 73:  73%|███████▎  | 73/100 [04:21<01:35,  3.54s/it, acc=0.98, lr=0.001, test_acc=0.38]  
Iter 1 | Epoch 73:  74%|███████▍  | 74/100 [04:21<01:31,  3.53s/it, acc=0.98, lr=0.001, test_acc=0.38]
Iter 1 | Epoch 74:  74%|███████▍  | 74/100 [04:21<01:31,  3.53s/it, acc=0.98, lr=0.001, test_acc=0.38]
Iter 1 | Epoch 74:  74%|███████▍  | 74/100 [04:25<01:31,  3.53s/it, acc=0.982, lr=0.001, test_acc=0.462]
Iter 1 | Epoch 74:  75%|███████▌  | 75/100 [04:25<01:28,  3.53s/it, acc=0.982, lr=0.001, test_acc=0.462]
Iter 1 | Epoch 75:  75%|███████▌  | 75/100 [04:25<01:28,  3.53s/it, acc=0.982, lr=0.001, test_acc=0.462]
Iter 1 | Epoch 75:  75%|███████▌  | 75/100 [04:28<01:28,  3.53s/it, acc=0.982, lr=0.001, test_acc=0.283]
Iter 1 | Epoch 75:  76%|███████▌  | 76/100 [04:28<01:24,  3.53s/it, acc=0.982, lr=0.001, test_acc=0.283]
Iter 1 | Epoch 76:  76%|███████▌  | 76/100 [04:28<01:24,  3.53s/it, acc=0.982, lr=0.001, test_acc=0.283]
Iter 1 | Epoch 76:  76%|███████▌  | 76/100 [04:32<01:24,  3.53s/it, acc=0.983, lr=0.001, test_acc=0.145]
Iter 1 | Epoch 76:  77%|███████▋  | 77/100 [04:32<01:21,  3.53s/it, acc=0.983, lr=0.001, test_acc=0.145]
Iter 1 | Epoch 77:  77%|███████▋  | 77/100 [04:32<01:21,  3.53s/it, acc=0.983, lr=0.001, test_acc=0.145]
Iter 1 | Epoch 77:  77%|███████▋  | 77/100 [04:35<01:21,  3.53s/it, acc=0.983, lr=0.001, test_acc=0.262]
Iter 1 | Epoch 77:  78%|███████▊  | 78/100 [04:35<01:17,  3.54s/it, acc=0.983, lr=0.001, test_acc=0.262]
Iter 1 | Epoch 78:  78%|███████▊  | 78/100 [04:35<01:17,  3.54s/it, acc=0.983, lr=0.001, test_acc=0.262]
Iter 1 | Epoch 78:  78%|███████▊  | 78/100 [04:39<01:17,  3.54s/it, acc=0.984, lr=0.001, test_acc=0.147]
Iter 1 | Epoch 78:  79%|███████▉  | 79/100 [04:39<01:14,  3.53s/it, acc=0.984, lr=0.001, test_acc=0.147]
Iter 1 | Epoch 79:  79%|███████▉  | 79/100 [04:39<01:14,  3.53s/it, acc=0.984, lr=0.001, test_acc=0.147]
Iter 1 | Epoch 79:  79%|███████▉  | 79/100 [04:42<01:14,  3.53s/it, acc=0.98, lr=0.001, test_acc=0.18]  
Iter 1 | Epoch 79:  80%|████████  | 80/100 [04:42<01:10,  3.53s/it, acc=0.98, lr=0.001, test_acc=0.18]
Iter 1 | Epoch 80:  80%|████████  | 80/100 [04:42<01:10,  3.53s/it, acc=0.98, lr=0.001, test_acc=0.18]
Iter 1 | Epoch 80:  80%|████████  | 80/100 [04:46<01:10,  3.53s/it, acc=0.982, lr=0.001, test_acc=0.3]
Iter 1 | Epoch 80:  81%|████████  | 81/100 [04:46<01:07,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.3]
Iter 1 | Epoch 81:  81%|████████  | 81/100 [04:46<01:07,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.3]
Iter 1 | Epoch 81:  81%|████████  | 81/100 [04:50<01:07,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.1]
Iter 1 | Epoch 81:  82%|████████▏ | 82/100 [04:50<01:03,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.1]
Iter 1 | Epoch 82:  82%|████████▏ | 82/100 [04:50<01:03,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.1]
Iter 1 | Epoch 82:  82%|████████▏ | 82/100 [04:53<01:03,  3.54s/it, acc=0.983, lr=0.001, test_acc=0.102]
Iter 1 | Epoch 82:  83%|████████▎ | 83/100 [04:53<01:00,  3.54s/it, acc=0.983, lr=0.001, test_acc=0.102]
Iter 1 | Epoch 83:  83%|████████▎ | 83/100 [04:53<01:00,  3.54s/it, acc=0.983, lr=0.001, test_acc=0.102]
Iter 1 | Epoch 83:  83%|████████▎ | 83/100 [04:57<01:00,  3.54s/it, acc=0.983, lr=0.001, test_acc=0.37] 
Iter 1 | Epoch 83:  84%|████████▍ | 84/100 [04:57<00:56,  3.54s/it, acc=0.983, lr=0.001, test_acc=0.37]
Iter 1 | Epoch 84:  84%|████████▍ | 84/100 [04:57<00:56,  3.54s/it, acc=0.983, lr=0.001, test_acc=0.37]
Iter 1 | Epoch 84:  84%|████████▍ | 84/100 [05:00<00:56,  3.54s/it, acc=0.982, lr=0.001, test_acc=0.21]
Iter 1 | Epoch 84:  85%|████████▌ | 85/100 [05:00<00:53,  3.55s/it, acc=0.982, lr=0.001, test_acc=0.21]
Iter 1 | Epoch 85:  85%|████████▌ | 85/100 [05:00<00:53,  3.55s/it, acc=0.982, lr=0.001, test_acc=0.21]
Iter 1 | Epoch 85:  85%|████████▌ | 85/100 [05:04<00:53,  3.55s/it, acc=0.986, lr=0.001, test_acc=0.213]
Iter 1 | Epoch 85:  86%|████████▌ | 86/100 [05:04<00:49,  3.55s/it, acc=0.986, lr=0.001, test_acc=0.213]
Iter 1 | Epoch 86:  86%|████████▌ | 86/100 [05:04<00:49,  3.55s/it, acc=0.986, lr=0.001, test_acc=0.213]
Iter 1 | Epoch 86:  86%|████████▌ | 86/100 [05:07<00:49,  3.55s/it, acc=0.984, lr=0.001, test_acc=0.254]
Iter 1 | Epoch 86:  87%|████████▋ | 87/100 [05:07<00:46,  3.55s/it, acc=0.984, lr=0.001, test_acc=0.254]
Iter 1 | Epoch 87:  87%|████████▋ | 87/100 [05:07<00:46,  3.55s/it, acc=0.984, lr=0.001, test_acc=0.254]
Iter 1 | Epoch 87:  87%|████████▋ | 87/100 [05:11<00:46,  3.55s/it, acc=0.985, lr=0.001, test_acc=0.263]
Iter 1 | Epoch 87:  88%|████████▊ | 88/100 [05:11<00:42,  3.55s/it, acc=0.985, lr=0.001, test_acc=0.263]
Iter 1 | Epoch 88:  88%|████████▊ | 88/100 [05:11<00:42,  3.55s/it, acc=0.985, lr=0.001, test_acc=0.263]
Iter 1 | Epoch 88:  88%|████████▊ | 88/100 [05:14<00:42,  3.55s/it, acc=0.984, lr=0.001, test_acc=0.19] 
Iter 1 | Epoch 88:  89%|████████▉ | 89/100 [05:14<00:39,  3.55s/it, acc=0.984, lr=0.001, test_acc=0.19]
Iter 1 | Epoch 89:  89%|████████▉ | 89/100 [05:14<00:39,  3.55s/it, acc=0.984, lr=0.001, test_acc=0.19]
Iter 1 | Epoch 89:  89%|████████▉ | 89/100 [05:18<00:39,  3.55s/it, acc=0.984, lr=0.001, test_acc=0.296]
Iter 1 | Epoch 89:  90%|█████████ | 90/100 [05:18<00:35,  3.55s/it, acc=0.984, lr=0.001, test_acc=0.296]
Iter 1 | Epoch 90:  90%|█████████ | 90/100 [05:18<00:35,  3.55s/it, acc=0.984, lr=0.001, test_acc=0.296]
Iter 1 | Epoch 90:  90%|█████████ | 90/100 [05:21<00:35,  3.55s/it, acc=0.985, lr=0.001, test_acc=0.162]
Iter 1 | Epoch 90:  91%|█████████ | 91/100 [05:21<00:31,  3.55s/it, acc=0.985, lr=0.001, test_acc=0.162]
Iter 1 | Epoch 91:  91%|█████████ | 91/100 [05:21<00:31,  3.55s/it, acc=0.985, lr=0.001, test_acc=0.162]
Iter 1 | Epoch 91:  91%|█████████ | 91/100 [05:25<00:31,  3.55s/it, acc=0.988, lr=0.001, test_acc=0.172]
Iter 1 | Epoch 91:  92%|█████████▏| 92/100 [05:25<00:28,  3.54s/it, acc=0.988, lr=0.001, test_acc=0.172]
Iter 1 | Epoch 92:  92%|█████████▏| 92/100 [05:25<00:28,  3.54s/it, acc=0.988, lr=0.001, test_acc=0.172]
Iter 1 | Epoch 92:  92%|█████████▏| 92/100 [05:29<00:28,  3.54s/it, acc=0.985, lr=0.001, test_acc=0.353]
Iter 1 | Epoch 92:  93%|█████████▎| 93/100 [05:29<00:24,  3.54s/it, acc=0.985, lr=0.001, test_acc=0.353]
Iter 1 | Epoch 93:  93%|█████████▎| 93/100 [05:29<00:24,  3.54s/it, acc=0.985, lr=0.001, test_acc=0.353]
Iter 1 | Epoch 93:  93%|█████████▎| 93/100 [05:32<00:24,  3.54s/it, acc=0.983, lr=0.001, test_acc=0.215]
Iter 1 | Epoch 93:  94%|█████████▍| 94/100 [05:32<00:21,  3.53s/it, acc=0.983, lr=0.001, test_acc=0.215]
Iter 1 | Epoch 94:  94%|█████████▍| 94/100 [05:32<00:21,  3.53s/it, acc=0.983, lr=0.001, test_acc=0.215]
Iter 1 | Epoch 94:  94%|█████████▍| 94/100 [05:36<00:21,  3.53s/it, acc=0.983, lr=0.001, test_acc=0.254]
Iter 1 | Epoch 94:  95%|█████████▌| 95/100 [05:36<00:17,  3.53s/it, acc=0.983, lr=0.001, test_acc=0.254]
Iter 1 | Epoch 95:  95%|█████████▌| 95/100 [05:36<00:17,  3.53s/it, acc=0.983, lr=0.001, test_acc=0.254]
Iter 1 | Epoch 95:  95%|█████████▌| 95/100 [05:39<00:17,  3.53s/it, acc=0.986, lr=0.001, test_acc=0.289]
Iter 1 | Epoch 95:  96%|█████████▌| 96/100 [05:39<00:14,  3.53s/it, acc=0.986, lr=0.001, test_acc=0.289]
Iter 1 | Epoch 96:  96%|█████████▌| 96/100 [05:39<00:14,  3.53s/it, acc=0.986, lr=0.001, test_acc=0.289]
Iter 1 | Epoch 96:  96%|█████████▌| 96/100 [05:43<00:14,  3.53s/it, acc=0.986, lr=0.001, test_acc=0.347]
Iter 1 | Epoch 96:  97%|█████████▋| 97/100 [05:43<00:10,  3.53s/it, acc=0.986, lr=0.001, test_acc=0.347]
Iter 1 | Epoch 97:  97%|█████████▋| 97/100 [05:43<00:10,  3.53s/it, acc=0.986, lr=0.001, test_acc=0.347]
Iter 1 | Epoch 97:  97%|█████████▋| 97/100 [05:46<00:10,  3.53s/it, acc=0.986, lr=0.001, test_acc=0.182]
Iter 1 | Epoch 97:  98%|█████████▊| 98/100 [05:46<00:07,  3.53s/it, acc=0.986, lr=0.001, test_acc=0.182]
Iter 1 | Epoch 98:  98%|█████████▊| 98/100 [05:46<00:07,  3.53s/it, acc=0.986, lr=0.001, test_acc=0.182]
Iter 1 | Epoch 98:  98%|█████████▊| 98/100 [05:50<00:07,  3.53s/it, acc=0.987, lr=0.001, test_acc=0.162]
Iter 1 | Epoch 98:  99%|█████████▉| 99/100 [05:50<00:03,  3.53s/it, acc=0.987, lr=0.001, test_acc=0.162]
Iter 1 | Epoch 99:  99%|█████████▉| 99/100 [05:50<00:03,  3.53s/it, acc=0.987, lr=0.001, test_acc=0.162]
Iter 1 | Epoch 99:  99%|█████████▉| 99/100 [05:53<00:03,  3.53s/it, acc=0.987, lr=0.001, test_acc=0.253]
Iter 1 | Epoch 99: 100%|██████████| 100/100 [05:53<00:00,  3.52s/it, acc=0.987, lr=0.001, test_acc=0.253]
Iter 1 | Epoch 99: 100%|██████████| 100/100 [05:53<00:00,  3.54s/it, acc=0.987, lr=0.001, test_acc=0.253]

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 2 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 2 | Epoch 0:   0%|          | 0/100 [00:04<?, ?it/s, acc=0.887, lr=0.0001, test_acc=0.399]
Iter 2 | Epoch 0:   1%|          | 1/100 [00:04<07:33,  4.58s/it, acc=0.887, lr=0.0001, test_acc=0.399]
Iter 2 | Epoch 1:   1%|          | 1/100 [00:04<07:33,  4.58s/it, acc=0.887, lr=0.0001, test_acc=0.399]
Iter 2 | Epoch 1:   1%|          | 1/100 [00:09<07:33,  4.58s/it, acc=0.895, lr=0.0002, test_acc=0.585]
Iter 2 | Epoch 1:   2%|▏         | 2/100 [00:09<07:27,  4.57s/it, acc=0.895, lr=0.0002, test_acc=0.585]
Iter 2 | Epoch 2:   2%|▏         | 2/100 [00:09<07:27,  4.57s/it, acc=0.895, lr=0.0002, test_acc=0.585]
Iter 2 | Epoch 2:   2%|▏         | 2/100 [00:13<07:27,  4.57s/it, acc=0.899, lr=0.0003, test_acc=0.556]
Iter 2 | Epoch 2:   3%|▎         | 3/100 [00:13<07:26,  4.60s/it, acc=0.899, lr=0.0003, test_acc=0.556]
Iter 2 | Epoch 3:   3%|▎         | 3/100 [00:13<07:26,  4.60s/it, acc=0.899, lr=0.0003, test_acc=0.556]
Iter 2 | Epoch 3:   3%|▎         | 3/100 [00:18<07:26,  4.60s/it, acc=0.908, lr=0.0004, test_acc=0.612]
Iter 2 | Epoch 3:   4%|▍         | 4/100 [00:18<07:20,  4.59s/it, acc=0.908, lr=0.0004, test_acc=0.612]
Iter 2 | Epoch 4:   4%|▍         | 4/100 [00:18<07:20,  4.59s/it, acc=0.908, lr=0.0004, test_acc=0.612]
Iter 2 | Epoch 4:   4%|▍         | 4/100 [00:22<07:20,  4.59s/it, acc=0.912, lr=0.0005, test_acc=0.642]
Iter 2 | Epoch 4:   5%|▌         | 5/100 [00:22<07:15,  4.59s/it, acc=0.912, lr=0.0005, test_acc=0.642]
Iter 2 | Epoch 5:   5%|▌         | 5/100 [00:22<07:15,  4.59s/it, acc=0.912, lr=0.0005, test_acc=0.642]
Iter 2 | Epoch 5:   5%|▌         | 5/100 [00:27<07:15,  4.59s/it, acc=0.922, lr=0.0006, test_acc=0.495]
Iter 2 | Epoch 5:   6%|▌         | 6/100 [00:27<07:12,  4.60s/it, acc=0.922, lr=0.0006, test_acc=0.495]
Iter 2 | Epoch 6:   6%|▌         | 6/100 [00:27<07:12,  4.60s/it, acc=0.922, lr=0.0006, test_acc=0.495]
Iter 2 | Epoch 6:   6%|▌         | 6/100 [00:32<07:12,  4.60s/it, acc=0.928, lr=0.0007, test_acc=0.64] 
Iter 2 | Epoch 6:   7%|▋         | 7/100 [00:32<07:07,  4.59s/it, acc=0.928, lr=0.0007, test_acc=0.64]
Iter 2 | Epoch 7:   7%|▋         | 7/100 [00:32<07:07,  4.59s/it, acc=0.928, lr=0.0007, test_acc=0.64]
Iter 2 | Epoch 7:   7%|▋         | 7/100 [00:36<07:07,  4.59s/it, acc=0.937, lr=0.0008, test_acc=0.601]
Iter 2 | Epoch 7:   8%|▊         | 8/100 [00:36<07:03,  4.60s/it, acc=0.937, lr=0.0008, test_acc=0.601]
Iter 2 | Epoch 8:   8%|▊         | 8/100 [00:36<07:03,  4.60s/it, acc=0.937, lr=0.0008, test_acc=0.601]
Iter 2 | Epoch 8:   8%|▊         | 8/100 [00:41<07:03,  4.60s/it, acc=0.941, lr=0.0009, test_acc=0.62] 
Iter 2 | Epoch 8:   9%|▉         | 9/100 [00:41<06:57,  4.59s/it, acc=0.941, lr=0.0009, test_acc=0.62]
Iter 2 | Epoch 9:   9%|▉         | 9/100 [00:41<06:57,  4.59s/it, acc=0.941, lr=0.0009, test_acc=0.62]
Iter 2 | Epoch 9:   9%|▉         | 9/100 [00:45<06:57,  4.59s/it, acc=0.948, lr=0.001, test_acc=0.599]
Iter 2 | Epoch 9:  10%|█         | 10/100 [00:45<06:52,  4.58s/it, acc=0.948, lr=0.001, test_acc=0.599]
Iter 2 | Epoch 10:  10%|█         | 10/100 [00:45<06:52,  4.58s/it, acc=0.948, lr=0.001, test_acc=0.599]
Iter 2 | Epoch 10:  10%|█         | 10/100 [00:50<06:52,  4.58s/it, acc=0.956, lr=0.001, test_acc=0.35] 
Iter 2 | Epoch 10:  11%|█         | 11/100 [00:50<06:49,  4.60s/it, acc=0.956, lr=0.001, test_acc=0.35]
Iter 2 | Epoch 11:  11%|█         | 11/100 [00:50<06:49,  4.60s/it, acc=0.956, lr=0.001, test_acc=0.35]
Iter 2 | Epoch 11:  11%|█         | 11/100 [00:55<06:49,  4.60s/it, acc=0.959, lr=0.001, test_acc=0.488]
Iter 2 | Epoch 11:  12%|█▏        | 12/100 [00:55<06:43,  4.59s/it, acc=0.959, lr=0.001, test_acc=0.488]
Iter 2 | Epoch 12:  12%|█▏        | 12/100 [00:55<06:43,  4.59s/it, acc=0.959, lr=0.001, test_acc=0.488]
Iter 2 | Epoch 12:  12%|█▏        | 12/100 [00:59<06:43,  4.59s/it, acc=0.959, lr=0.001, test_acc=0.614]
Iter 2 | Epoch 12:  13%|█▎        | 13/100 [00:59<06:38,  4.58s/it, acc=0.959, lr=0.001, test_acc=0.614]
Iter 2 | Epoch 13:  13%|█▎        | 13/100 [00:59<06:38,  4.58s/it, acc=0.959, lr=0.001, test_acc=0.614]
Iter 2 | Epoch 13:  13%|█▎        | 13/100 [01:04<06:38,  4.58s/it, acc=0.965, lr=0.001, test_acc=0.439]
Iter 2 | Epoch 13:  14%|█▍        | 14/100 [01:04<06:35,  4.59s/it, acc=0.965, lr=0.001, test_acc=0.439]
Iter 2 | Epoch 14:  14%|█▍        | 14/100 [01:04<06:35,  4.59s/it, acc=0.965, lr=0.001, test_acc=0.439]
Iter 2 | Epoch 14:  14%|█▍        | 14/100 [01:08<06:35,  4.59s/it, acc=0.965, lr=0.001, test_acc=0.625]
Iter 2 | Epoch 14:  15%|█▌        | 15/100 [01:08<06:29,  4.58s/it, acc=0.965, lr=0.001, test_acc=0.625]
Iter 2 | Epoch 15:  15%|█▌        | 15/100 [01:08<06:29,  4.58s/it, acc=0.965, lr=0.001, test_acc=0.625]
Iter 2 | Epoch 15:  15%|█▌        | 15/100 [01:13<06:29,  4.58s/it, acc=0.971, lr=0.001, test_acc=0.348]
Iter 2 | Epoch 15:  16%|█▌        | 16/100 [01:13<06:25,  4.59s/it, acc=0.971, lr=0.001, test_acc=0.348]
Iter 2 | Epoch 16:  16%|█▌        | 16/100 [01:13<06:25,  4.59s/it, acc=0.971, lr=0.001, test_acc=0.348]
Iter 2 | Epoch 16:  16%|█▌        | 16/100 [01:18<06:25,  4.59s/it, acc=0.973, lr=0.001, test_acc=0.498]
Iter 2 | Epoch 16:  17%|█▋        | 17/100 [01:18<06:20,  4.59s/it, acc=0.973, lr=0.001, test_acc=0.498]
Iter 2 | Epoch 17:  17%|█▋        | 17/100 [01:18<06:20,  4.59s/it, acc=0.973, lr=0.001, test_acc=0.498]
Iter 2 | Epoch 17:  17%|█▋        | 17/100 [01:22<06:20,  4.59s/it, acc=0.971, lr=0.001, test_acc=0.574]
Iter 2 | Epoch 17:  18%|█▊        | 18/100 [01:22<06:15,  4.58s/it, acc=0.971, lr=0.001, test_acc=0.574]
Iter 2 | Epoch 18:  18%|█▊        | 18/100 [01:22<06:15,  4.58s/it, acc=0.971, lr=0.001, test_acc=0.574]
Iter 2 | Epoch 18:  18%|█▊        | 18/100 [01:27<06:15,  4.58s/it, acc=0.976, lr=0.001, test_acc=0.567]
Iter 2 | Epoch 18:  19%|█▉        | 19/100 [01:27<06:12,  4.60s/it, acc=0.976, lr=0.001, test_acc=0.567]
Iter 2 | Epoch 19:  19%|█▉        | 19/100 [01:27<06:12,  4.60s/it, acc=0.976, lr=0.001, test_acc=0.567]
Iter 2 | Epoch 19:  19%|█▉        | 19/100 [01:31<06:12,  4.60s/it, acc=0.975, lr=0.001, test_acc=0.649]
Iter 2 | Epoch 19:  20%|██        | 20/100 [01:31<06:07,  4.59s/it, acc=0.975, lr=0.001, test_acc=0.649]
Iter 2 | Epoch 20:  20%|██        | 20/100 [01:31<06:07,  4.59s/it, acc=0.975, lr=0.001, test_acc=0.649]
Iter 2 | Epoch 20:  20%|██        | 20/100 [01:36<06:07,  4.59s/it, acc=0.976, lr=0.001, test_acc=0.654]
Iter 2 | Epoch 20:  21%|██        | 21/100 [01:36<06:02,  4.59s/it, acc=0.976, lr=0.001, test_acc=0.654]
Iter 2 | Epoch 21:  21%|██        | 21/100 [01:36<06:02,  4.59s/it, acc=0.976, lr=0.001, test_acc=0.654]
Iter 2 | Epoch 21:  21%|██        | 21/100 [01:41<06:02,  4.59s/it, acc=0.976, lr=0.001, test_acc=0.589]
Iter 2 | Epoch 21:  22%|██▏       | 22/100 [01:41<05:59,  4.61s/it, acc=0.976, lr=0.001, test_acc=0.589]
Iter 2 | Epoch 22:  22%|██▏       | 22/100 [01:41<05:59,  4.61s/it, acc=0.976, lr=0.001, test_acc=0.589]
Iter 2 | Epoch 22:  22%|██▏       | 22/100 [01:45<05:59,  4.61s/it, acc=0.978, lr=0.001, test_acc=0.609]
Iter 2 | Epoch 22:  23%|██▎       | 23/100 [01:45<05:54,  4.60s/it, acc=0.978, lr=0.001, test_acc=0.609]
Iter 2 | Epoch 23:  23%|██▎       | 23/100 [01:45<05:54,  4.60s/it, acc=0.978, lr=0.001, test_acc=0.609]
Iter 2 | Epoch 23:  23%|██▎       | 23/100 [01:50<05:54,  4.60s/it, acc=0.978, lr=0.001, test_acc=0.359]
Iter 2 | Epoch 23:  24%|██▍       | 24/100 [01:50<05:50,  4.61s/it, acc=0.978, lr=0.001, test_acc=0.359]
Iter 2 | Epoch 24:  24%|██▍       | 24/100 [01:50<05:50,  4.61s/it, acc=0.978, lr=0.001, test_acc=0.359]
