wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run b81jumrz
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260619_090340-b81jumrz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.99_pruning_ratio_0.3_delta_t_86
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/b81jumrz
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.99
num_mask_updates: 1000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.99 | total_steps=108000 | t_end=86400 | delta_t=86

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:05<?, ?it/s, acc=0.119, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:05<09:02,  5.48s/it, acc=0.119, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<09:02,  5.48s/it, acc=0.119, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:07<09:02,  5.48s/it, acc=0.229, lr=0.0002, test_acc=0.101]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:07<05:51,  3.59s/it, acc=0.229, lr=0.0002, test_acc=0.101]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<05:51,  3.59s/it, acc=0.229, lr=0.0002, test_acc=0.101]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:10<05:51,  3.59s/it, acc=0.267, lr=0.0003, test_acc=0.198]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:10<04:49,  2.98s/it, acc=0.267, lr=0.0003, test_acc=0.198]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<04:49,  2.98s/it, acc=0.267, lr=0.0003, test_acc=0.198]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:12<04:49,  2.98s/it, acc=0.319, lr=0.0004, test_acc=0.301]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:12<04:19,  2.70s/it, acc=0.319, lr=0.0004, test_acc=0.301]
