,accuracy
0,0.1007
1,0.2763
2,0.411
3,0.377
4,0.3273
5,0.4263
6,0.3289
7,0.3673
8,0.3423
9,0.2921
10,0.3605
11,0.3819
12,0.3631
13,0.4279
14,0.4273
15,0.4221
16,0.3728
17,0.4005
18,0.4267
19,0.4172
20,0.44
21,0.3944
22,0.4197
23,0.4262
24,0.462
25,0.4394
26,0.4231
27,0.4461
28,0.4411
29,0.4458
30,0.4507
31,0.4028
32,0.4389
33,0.4503
34,0.4512
35,0.4257
36,0.4504
37,0.4434
38,0.4328
39,0.4406
40,0.477
41,0.4554
42,0.4349
43,0.4968
44,0.4639
45,0.452
46,0.4804
47,0.4574
48,0.4595
49,0.4619
50,0.4778
51,0.4627
52,0.4753
53,0.4842
54,0.4597
55,0.4675
56,0.474
57,0.4808
58,0.4641
59,0.4283
60,0.4509
61,0.4758
62,0.4602
63,0.4622
64,0.4833
65,0.4721
66,0.486
67,0.4765
68,0.4961
69,0.4437
70,0.4348
71,0.4691
72,0.4582
73,0.4905
74,0.481
75,0.4813
76,0.4857
77,0.4805
78,0.4724
79,0.4825
80,0.4965
81,0.4843
82,0.4868
83,0.4939
84,0.4931
85,0.4952
86,0.4824
87,0.4749
88,0.4772
89,0.4722
90,0.4967
91,0.4725
92,0.4642
93,0.4901
94,0.4918
95,0.5
96,0.4801
97,0.4541
98,0.5022
99,0.4909
100,0.5464
101,0.5684
102,0.5751
103,0.5663
104,0.5562
105,0.5467
106,0.5461
107,0.5528
108,0.5529
109,0.5499
110,0.5318
111,0.5572
112,0.5548
113,0.574
114,0.5442
115,0.5624
116,0.549
117,0.5604
118,0.5642
119,0.5073
120,0.5762
121,0.5625
122,0.5697
123,0.553
124,0.5782
125,0.5655
126,0.5331
127,0.5624
128,0.5557
129,0.5605
130,0.5474
131,0.5565
132,0.5758
133,0.5593
134,0.5578
135,0.5682
136,0.5559
137,0.5582
138,0.5712
139,0.5624
140,0.5819
141,0.5625
142,0.5736
143,0.5577
144,0.5736
145,0.5719
146,0.5708
147,0.5815
148,0.5571
149,0.58
150,0.5778
151,0.567
152,0.5622
153,0.5676
154,0.5515
155,0.5711
156,0.576
157,0.5695
158,0.5731
159,0.5585
160,0.5717
161,0.5584
162,0.5672
163,0.5808
164,0.5841
165,0.5816
166,0.5789
167,0.5915
168,0.5894
169,0.5901
170,0.5837
171,0.5877
172,0.5718
173,0.5712
174,0.5859
175,0.5928
176,0.5971
177,0.5733
178,0.5886
179,0.5878
180,0.5821
181,0.5699
182,0.5913
183,0.5784
184,0.5827
185,0.5873
186,0.589
187,0.5887
188,0.5834
189,0.5651
190,0.5969
191,0.5575
192,0.592
193,0.593
194,0.5938
195,0.5913
196,0.5788
197,0.5788
198,0.5798
199,0.5779
200,0.6188
201,0.6376
202,0.6436
203,0.6407
204,0.6323
205,0.6346
206,0.6308
207,0.6218
208,0.6227
209,0.6324
210,0.6322
211,0.6226
212,0.6328
213,0.634
214,0.6255
215,0.625
216,0.6354
217,0.6362
218,0.6297
219,0.6321
220,0.6337
221,0.6169
222,0.6413
223,0.6352
224,0.6083
225,0.6368
226,0.6402
227,0.631
228,0.6364
229,0.634
230,0.6367
231,0.6282
232,0.6332
233,0.6362
234,0.6301
235,0.636
236,0.6269
237,0.6267
238,0.6433
239,0.6266
240,0.6315
241,0.6398
242,0.6412
243,0.6412
244,0.5802
245,0.623
246,0.6343
247,0.634
248,0.6208
249,0.6383
250,0.6336
251,0.6433
252,0.6386
253,0.6467
254,0.6461
255,0.635
256,0.6405
257,0.6337
258,0.6464
259,0.6442
260,0.6408
261,0.6499
262,0.645
263,0.651
264,0.6489
265,0.6404
266,0.641
267,0.6327
268,0.6415
269,0.6486
270,0.6446
271,0.6478
272,0.6502
273,0.6414
274,0.6452
275,0.6515
276,0.6435
277,0.6441
278,0.6489
279,0.656
280,0.6326
281,0.6502
282,0.6493
283,0.6456
284,0.6589
285,0.6621
286,0.6553
287,0.6586
288,0.6602
289,0.6439
290,0.6488
291,0.6531
292,0.6555
293,0.6546
294,0.6496
295,0.6556
296,0.655
297,0.6504
298,0.6493
299,0.6513
300,0.6692
301,0.6793
302,0.6842
303,0.685
304,0.6802
305,0.6829
306,0.6827
307,0.6784
308,0.6791
309,0.6597
310,0.6686
311,0.6717
312,0.6742
313,0.6696
314,0.6726
315,0.6803
316,0.6788
317,0.674
318,0.6819
319,0.6801
320,0.6834
321,0.6783
322,0.6777
323,0.6761
324,0.6793
325,0.675
326,0.6768
327,0.686
328,0.6802
329,0.6879
330,0.6826
331,0.6826
332,0.6778
333,0.6871
334,0.6865
335,0.6762
336,0.6812
337,0.6788
338,0.683
339,0.6875
340,0.6863
341,0.6783
342,0.6916
343,0.685
344,0.6866
345,0.6895
346,0.6885
347,0.6805
348,0.688
349,0.6899
350,0.6782
351,0.6863
352,0.6849
353,0.6797
354,0.6832
355,0.6789
356,0.6885
357,0.6863
358,0.6816
359,0.691
360,0.6847
361,0.6802
362,0.6857
363,0.6819
364,0.6892
365,0.6823
366,0.6902
367,0.6832
368,0.6718
369,0.6694
370,0.6868
371,0.6752
372,0.6841
373,0.6855
374,0.6917
375,0.6891
376,0.684
377,0.6824
378,0.6887
379,0.6949
380,0.6921
381,0.681
382,0.6931
383,0.6917
384,0.6994
385,0.69
386,0.6898
387,0.6874
388,0.68
389,0.6847
390,0.6789
391,0.6858
392,0.683
393,0.6807
394,0.6902
395,0.6885
396,0.6909
397,0.6849
398,0.6873
399,0.6865
400,0.7016
401,0.7062
402,0.7113
403,0.7099
404,0.7082
405,0.7112
406,0.7111
407,0.7127
408,0.708
409,0.7094
410,0.6912
411,0.6905
412,0.6918
413,0.7121
414,0.7039
415,0.7053
416,0.7126
417,0.7087
418,0.7059
419,0.7093
420,0.7032
421,0.7007
422,0.7084
423,0.7081
424,0.7036
425,0.7116
426,0.7121
427,0.7073
428,0.7064
429,0.704
430,0.7081
431,0.7132
432,0.7181
433,0.711
434,0.7142
435,0.7112
436,0.7093
437,0.7103
438,0.7081
439,0.7072
440,0.7149
441,0.7124
442,0.7066
443,0.7145
444,0.7146
445,0.7175
446,0.714
447,0.7145
448,0.711
449,0.7135
450,0.7059
451,0.7082
452,0.7155
453,0.7071
454,0.7093
455,0.7153
456,0.7205
457,0.716
458,0.7129
459,0.7092
460,0.7123
461,0.7157
462,0.7019
463,0.7069
464,0.7099
465,0.7148
466,0.7147
467,0.72
468,0.7176
469,0.7167
470,0.7129
471,0.7189
472,0.7152
473,0.7195
474,0.714
475,0.7142
476,0.7174
477,0.7178
478,0.721
479,0.7184
480,0.7161
481,0.709
482,0.7185
483,0.718
484,0.7076
485,0.7124
486,0.717
487,0.7197
488,0.7223
489,0.7231
490,0.7173
491,0.7203
492,0.7108
493,0.72
494,0.7167
495,0.7142
496,0.7176
497,0.7179
498,0.7214
499,0.7197
500,0.7293
501,0.7368
502,0.739
503,0.7355
504,0.7354
505,0.7351
506,0.7343
507,0.7357
508,0.7359
509,0.7337
510,0.7343
511,0.7343
512,0.7355
513,0.7351
514,0.7349
515,0.7327
516,0.7124
517,0.7192
518,0.7295
519,0.7265
520,0.7314
521,0.7327
522,0.7331
523,0.733
524,0.7243
525,0.7385
526,0.739
527,0.7346
528,0.7383
529,0.7368
530,0.7332
531,0.7331
532,0.7286
533,0.7354
534,0.7326
535,0.736
536,0.7289
537,0.7217
538,0.7242
539,0.732
540,0.7277
541,0.7289
542,0.7269
543,0.7366
544,0.7404
545,0.7388
546,0.7419
547,0.7384
548,0.7469
549,0.7398
550,0.7457
551,0.7299
552,0.7272
553,0.731
554,0.731
555,0.7357
556,0.739
557,0.7415
558,0.7328
559,0.7334
560,0.7348
561,0.7354
562,0.7329
563,0.7352
564,0.7392
565,0.735
566,0.734
567,0.7353
568,0.7387
569,0.7355
570,0.7355
571,0.7394
572,0.7388
573,0.739
574,0.7399
575,0.7364
576,0.739
577,0.7388
578,0.7384
579,0.7353
580,0.7367
581,0.733
582,0.7336
583,0.7375
584,0.7379
585,0.7414
586,0.7421
587,0.7382
588,0.7456
589,0.7421
590,0.7406
591,0.7382
592,0.7352
593,0.7341
594,0.733
595,0.7398
596,0.7329
597,0.7341
598,0.7408
599,0.7419
600,0.7453
601,0.7481
602,0.7468
603,0.7458
604,0.7468
605,0.7444
606,0.7487
607,0.7482
608,0.7489
609,0.7486
610,0.7489
611,0.7505
612,0.7501
613,0.716
614,0.7434
615,0.7399
616,0.7491
617,0.7432
618,0.7468
619,0.7496
620,0.7495
621,0.7472
622,0.7383
623,0.7458
624,0.7444
625,0.7456
626,0.7453
627,0.7506
628,0.7444
629,0.7445
630,0.7508
631,0.7535
632,0.7555
633,0.7439
634,0.7413
635,0.7445
636,0.7466
637,0.7538
638,0.7497
639,0.7439
640,0.747
641,0.7501
642,0.7441
643,0.7497
644,0.7484
645,0.7481
646,0.755
647,0.7542
648,0.7462
649,0.7503
650,0.754
651,0.7576
652,0.758
653,0.7595
654,0.7547
655,0.7494
656,0.745
657,0.7546
658,0.7605
659,0.7565
660,0.7521
661,0.7528
662,0.7471
663,0.7486
664,0.7473
665,0.7527
666,0.7556
667,0.7559
668,0.7547
669,0.7569
670,0.7577
671,0.7578
672,0.7563
673,0.7497
674,0.7363
675,0.7476
676,0.7426
