,accuracy
0,0.1078
1,0.3097
2,0.3641
3,0.3895
4,0.32
5,0.3627
6,0.3331
7,0.3448
8,0.3593
9,0.3029
10,0.3728
11,0.3708
12,0.3659
13,0.3387
14,0.4024
15,0.3565
16,0.4017
17,0.3615
18,0.4558
19,0.3936
20,0.3689
21,0.4149
22,0.3926
23,0.4332
24,0.4319
25,0.4298
26,0.4455
27,0.4513
28,0.4807
29,0.459
30,0.4326
31,0.4307
32,0.422
33,0.4782
34,0.4566
35,0.4611
36,0.456
37,0.458
38,0.467
39,0.4587
40,0.4507
41,0.4687
42,0.4704
43,0.4674
44,0.4547
45,0.4714
46,0.4711
47,0.4639
48,0.4602
49,0.4556
50,0.4744
51,0.4382
52,0.4639
53,0.4876
54,0.4841
55,0.4659
56,0.4647
57,0.4698
58,0.4907
59,0.5022
60,0.4968
61,0.4497
62,0.4969
63,0.4581
64,0.4839
65,0.4766
66,0.4924
67,0.4801
68,0.4828
69,0.5038
70,0.4924
71,0.4778
72,0.4882
73,0.4972
74,0.4726
75,0.5076
76,0.4924
77,0.4606
78,0.4545
79,0.4865
80,0.4915
81,0.5091
82,0.4985
83,0.5027
84,0.4973
85,0.5008
86,0.4789
87,0.4799
88,0.4785
89,0.5095
90,0.4891
91,0.4921
92,0.4972
93,0.4679
94,0.49
95,0.4903
96,0.4829
97,0.4837
98,0.4899
99,0.4807
100,0.5468
101,0.576
102,0.5898
103,0.5826
104,0.5659
105,0.5717
106,0.5534
107,0.5504
108,0.5644
109,0.5627
110,0.5539
111,0.5563
112,0.5445
113,0.5636
114,0.547
115,0.553
116,0.5744
117,0.5628
118,0.5529
119,0.5574
120,0.5565
121,0.5656
122,0.5757
123,0.5535
124,0.5833
125,0.56
126,0.5579
127,0.583
128,0.5652
129,0.5513
130,0.574
131,0.5544
132,0.5797
133,0.555
134,0.5898
135,0.5717
136,0.5589
137,0.5868
138,0.5726
139,0.5952
140,0.5696
141,0.5684
142,0.5771
143,0.5725
144,0.5431
145,0.5776
146,0.5785
147,0.5727
148,0.5723
149,0.5765
150,0.5876
151,0.5824
152,0.5978
153,0.561
154,0.5812
155,0.5802
156,0.5837
157,0.5717
158,0.586
159,0.5751
160,0.5897
161,0.578
162,0.5877
163,0.5947
164,0.5915
165,0.5685
166,0.5793
167,0.5782
168,0.5882
169,0.57
170,0.5875
171,0.577
172,0.5931
173,0.5896
174,0.5818
175,0.5917
176,0.5883
177,0.6044
178,0.585
179,0.5881
180,0.5849
181,0.5978
182,0.5778
183,0.5792
184,0.6016
185,0.5848
186,0.5871
187,0.5862
188,0.5866
189,0.5859
190,0.591
191,0.5936
192,0.597
193,0.5919
194,0.5904
195,0.5787
196,0.5862
197,0.5895
198,0.5865
199,0.5905
200,0.6218
201,0.6399
202,0.6445
203,0.6455
204,0.6408
205,0.6435
206,0.6499
207,0.6167
208,0.6291
209,0.6314
210,0.6328
211,0.6283
212,0.6279
213,0.6272
214,0.6288
215,0.6586
216,0.6347
217,0.6201
218,0.6371
219,0.6336
220,0.6298
221,0.6385
222,0.6344
223,0.6402
224,0.6249
225,0.6258
226,0.6388
227,0.6374
228,0.6438
229,0.6297
230,0.6394
231,0.633
232,0.6312
233,0.6473
234,0.6474
235,0.6522
236,0.6459
237,0.6354
238,0.6379
239,0.6432
240,0.6401
241,0.6401
242,0.6375
243,0.6297
244,0.625
245,0.6113
246,0.6436
247,0.6413
248,0.6426
249,0.6475
250,0.6395
251,0.6311
252,0.6491
253,0.6448
254,0.6542
255,0.6323
256,0.64
257,0.6487
258,0.6626
259,0.6458
260,0.6407
261,0.6488
262,0.6533
263,0.6599
264,0.6529
265,0.6598
266,0.65
267,0.6454
268,0.6558
269,0.6523
270,0.6416
271,0.6454
272,0.6501
273,0.6458
274,0.6464
275,0.6539
276,0.6428
277,0.6551
278,0.6513
279,0.6593
280,0.6598
281,0.6499
282,0.6473
283,0.6441
284,0.6568
285,0.6498
286,0.6515
287,0.6446
288,0.6505
289,0.6411
290,0.6566
291,0.6522
292,0.6515
293,0.645
294,0.647
295,0.6604
296,0.6504
297,0.6477
298,0.6381
299,0.6536
300,0.6706
301,0.677
302,0.6768
303,0.6771
304,0.6739
305,0.6753
306,0.6751
307,0.6732
308,0.6654
309,0.6618
310,0.6721
311,0.6617
312,0.664
313,0.6708
314,0.6698
315,0.6668
316,0.6599
317,0.6763
318,0.6781
319,0.6809
320,0.6825
321,0.6735
322,0.6746
323,0.6775
324,0.6764
325,0.6687
326,0.6745
327,0.6814
328,0.6824
329,0.6762
330,0.6791
331,0.6788
332,0.6777
333,0.6759
334,0.6781
335,0.6806
