,accuracy
0,0.1
1,0.1
2,0.1029
3,0.1147
4,0.1
5,0.1031
6,0.1
7,0.1188
8,0.1259
9,0.1047
10,0.109
11,0.1003
12,0.1387
13,0.1039
14,0.1692
15,0.1593
16,0.1116
17,0.1281
18,0.1567
19,0.1276
20,0.2684
21,0.1417
22,0.1946
23,0.1483
24,0.151
25,0.2915
26,0.271
27,0.1906
28,0.2039
29,0.1121
30,0.1123
31,0.217
32,0.2454
33,0.2068
34,0.2056
35,0.2164
36,0.3159
37,0.2815
38,0.1266
39,0.2189
40,0.3331
41,0.199
42,0.2533
43,0.2188
44,0.1762
45,0.2216
46,0.2138
47,0.248
48,0.1661
49,0.1352
50,0.3103
51,0.3567
52,0.1841
53,0.2595
54,0.21
55,0.3166
56,0.309
57,0.2713
58,0.2876
59,0.2342
60,0.1777
61,0.1396
62,0.2544
63,0.2026
64,0.3889
65,0.2013
66,0.1981
67,0.302
68,0.2716
69,0.32
70,0.3681
71,0.2736
72,0.3585
73,0.1427
74,0.2053
75,0.3763
76,0.1598
77,0.1302
78,0.2874
79,0.3137
80,0.1223
81,0.3647
82,0.4053
83,0.2728
84,0.3542
85,0.3969
86,0.1708
87,0.2259
88,0.3601
89,0.1711
90,0.3058
91,0.2376
92,0.1138
93,0.3026
94,0.3555
95,0.4021
96,0.1891
97,0.3773
98,0.4034
99,0.116
100,0.2045
101,0.3176
102,0.3183
103,0.2364
104,0.2736
105,0.383
106,0.4117
107,0.3728
108,0.3543
109,0.3715
110,0.2934
111,0.2509
112,0.4264
113,0.3742
114,0.2217
115,0.2956
116,0.369
117,0.3423
118,0.3963
119,0.4479
120,0.4181
121,0.3709
122,0.3018
123,0.2044
124,0.3849
125,0.3025
126,0.2962
127,0.263
128,0.3986
129,0.3556
130,0.2611
131,0.4044
132,0.3626
133,0.4528
134,0.4373
135,0.3811
136,0.4343
137,0.3598
138,0.2586
139,0.3276
140,0.4267
141,0.432
142,0.2513
143,0.3228
144,0.414
145,0.4072
146,0.4425
147,0.4393
148,0.3564
149,0.4361
150,0.2646
151,0.4246
152,0.3187
153,0.4744
154,0.2818
155,0.16
156,0.2656
157,0.3635
158,0.4431
159,0.3986
160,0.4535
161,0.4388
162,0.2942
163,0.4489
164,0.4706
165,0.3522
166,0.4495
167,0.4533
168,0.4068
169,0.2678
170,0.4588
171,0.4115
172,0.3107
173,0.4353
174,0.4095
175,0.4551
176,0.4274
177,0.3116
178,0.4674
179,0.4522
180,0.4147
181,0.421
182,0.4431
183,0.4784
184,0.4297
185,0.4629
186,0.4527
187,0.3806
188,0.4338
189,0.4535
190,0.4498
191,0.4623
192,0.4382
193,0.4305
194,0.4226
195,0.4568
196,0.4381
197,0.4311
198,0.4034
199,0.4299
200,0.4627
201,0.4634
202,0.4451
203,0.2948
204,0.4476
205,0.401
206,0.4409
207,0.4621
208,0.4577
209,0.4607
210,0.4298
211,0.4787
212,0.2641
213,0.3805
214,0.4335
215,0.3672
216,0.4725
217,0.4615
218,0.3899
219,0.4506
220,0.3646
221,0.4802
222,0.4791
223,0.488
224,0.4459
225,0.4603
226,0.3124
227,0.4402
228,0.4753
229,0.4386
230,0.4619
231,0.4853
232,0.3951
233,0.4693
234,0.4752
235,0.286
236,0.3599
237,0.4457
238,0.2428
239,0.4712
240,0.4432
241,0.4767
242,0.4773
243,0.4725
244,0.4765
245,0.4725
246,0.3614
247,0.4354
248,0.4565
249,0.4889
250,0.4778
251,0.4975
252,0.4307
253,0.2543
254,0.4896
255,0.4581
256,0.4376
257,0.4392
258,0.4836
259,0.4874
260,0.334
261,0.4935
262,0.4643
263,0.4012
264,0.4871
265,0.2429
266,0.4783
267,0.4872
268,0.467
269,0.4726
270,0.4862
271,0.4582
272,0.4783
273,0.4947
274,0.4086
275,0.4561
276,0.4513
277,0.3147
278,0.4814
279,0.3873
280,0.4712
281,0.4839
282,0.4532
283,0.4801
284,0.4659
285,0.3871
286,0.4602
287,0.4662
288,0.4966
289,0.4919
290,0.4447
291,0.477
292,0.4744
293,0.4396
294,0.4968
295,0.4839
296,0.197
297,0.4813
298,0.473
299,0.3082
300,0.4975
301,0.4706
302,0.4945
303,0.4926
304,0.4875
305,0.4865
306,0.4083
307,0.4854
308,0.4923
309,0.2451
310,0.4814
311,0.4795
312,0.4681
313,0.1541
314,0.4946
315,0.4577
316,0.4667
317,0.5035
318,0.4967
319,0.3927
320,0.4909
321,0.4802
322,0.4636
323,0.4769
324,0.5053
325,0.4837
326,0.4763
327,0.3636
328,0.4616
329,0.3388
330,0.4669
331,0.508
332,0.4301
333,0.4812
334,0.4437
335,0.4859
336,0.4997
337,0.4995
338,0.4234
339,0.4199
340,0.4797
341,0.2608
342,0.4987
343,0.5076
344,0.4992
345,0.4844
346,0.2964
347,0.4817
348,0.5053
349,0.5036
350,0.4927
351,0.4972
352,0.5086
353,0.3629
354,0.5029
355,0.5165
356,0.4911
357,0.4906
358,0.334
359,0.498
360,0.5064
361,0.4981
362,0.4813
