,accuracy
0,0.1145
1,0.3686
2,0.34
3,0.409
4,0.3561
5,0.323
6,0.4064
7,0.3897
8,0.3709
9,0.4501
10,0.3504
11,0.3546
12,0.4364
13,0.4223
14,0.4147
15,0.453
16,0.4505
17,0.3861
18,0.4692
19,0.4397
20,0.4805
21,0.3746
22,0.3984
23,0.5002
24,0.4726
25,0.4837
26,0.4565
27,0.4576
28,0.4584
29,0.4803
30,0.4701
31,0.4735
32,0.4932
33,0.4417
34,0.4978
35,0.4951
36,0.4996
37,0.5077
38,0.5101
39,0.4776
40,0.5199
41,0.5094
42,0.5276
43,0.4896
44,0.4905
45,0.5235
46,0.5022
47,0.4753
48,0.4585
49,0.4832
50,0.5038
51,0.4551
52,0.4874
53,0.488
54,0.5437
55,0.5129
56,0.4931
57,0.5182
58,0.5148
59,0.514
60,0.5032
61,0.5047
62,0.513
63,0.5107
64,0.506
65,0.4974
66,0.5118
67,0.517
68,0.5117
69,0.4995
70,0.5063
71,0.5103
72,0.5249
73,0.5157
74,0.5124
75,0.5093
76,0.5232
77,0.5237
78,0.5104
79,0.496
80,0.5319
81,0.4971
82,0.52
83,0.5153
84,0.5462
85,0.5275
86,0.5271
87,0.5062
88,0.5381
89,0.5435
90,0.5358
91,0.5223
92,0.5338
93,0.5288
94,0.5386
95,0.5448
96,0.5216
97,0.5219
98,0.4921
99,0.5426
100,0.5775
101,0.6062
102,0.6269
103,0.6291
104,0.6215
105,0.6269
106,0.6173
107,0.6065
108,0.6199
109,0.5993
110,0.5918
111,0.6209
112,0.6006
113,0.6213
114,0.6104
115,0.6081
116,0.6187
117,0.613
118,0.5765
119,0.617
120,0.6192
121,0.6058
122,0.6236
123,0.6232
124,0.6206
125,0.585
126,0.596
127,0.6089
128,0.6242
129,0.6183
130,0.6027
131,0.5917
132,0.6066
133,0.6072
134,0.6207
135,0.6121
136,0.5859
137,0.6096
138,0.6008
139,0.6174
140,0.6006
141,0.6121
142,0.6115
143,0.6252
144,0.6145
145,0.6297
146,0.6322
147,0.6115
148,0.6227
149,0.6114
150,0.6272
151,0.6061
152,0.6046
153,0.6302
154,0.6292
155,0.6289
156,0.632
157,0.6177
158,0.6237
159,0.6285
160,0.6208
161,0.6317
162,0.6177
163,0.6237
164,0.6164
165,0.6214
166,0.6142
167,0.6315
168,0.6153
169,0.6264
170,0.6008
171,0.6115
172,0.6196
173,0.6109
174,0.6155
175,0.609
176,0.6171
177,0.6049
178,0.6153
179,0.6251
180,0.636
181,0.6217
182,0.6249
183,0.6101
184,0.6255
185,0.6082
186,0.628
187,0.6319
188,0.6188
189,0.6288
190,0.6261
191,0.6237
192,0.6261
193,0.6383
194,0.6286
195,0.6242
196,0.6347
197,0.6279
198,0.6319
199,0.6332
200,0.6514
201,0.6641
202,0.6798
203,0.6862
204,0.6863
205,0.6831
206,0.6759
207,0.6743
208,0.6651
209,0.6731
210,0.6607
211,0.6606
212,0.6739
213,0.676
214,0.6676
215,0.6655
216,0.6676
217,0.6707
218,0.6699
219,0.6677
220,0.6693
221,0.6732
222,0.6732
223,0.6701
224,0.6758
225,0.6668
226,0.6764
227,0.669
228,0.6657
229,0.6779
230,0.6704
231,0.6732
232,0.6671
233,0.6645
234,0.6808
235,0.6824
236,0.6649
237,0.6774
238,0.6754
239,0.6699
240,0.6802
241,0.6712
242,0.6781
243,0.6794
244,0.6743
245,0.6808
246,0.6808
247,0.6769
248,0.6674
249,0.6713
250,0.6684
251,0.6694
252,0.6646
253,0.6789
254,0.6628
255,0.6743
256,0.6732
257,0.6688
258,0.6752
259,0.6764
260,0.6803
261,0.6809
262,0.6738
263,0.6775
264,0.6795
265,0.6788
266,0.6778
267,0.6579
268,0.6766
269,0.6784
270,0.6824
271,0.687
272,0.6799
273,0.6797
274,0.6794
275,0.678
276,0.6769
277,0.6861
278,0.6714
279,0.6752
280,0.6703
281,0.6741
282,0.6848
283,0.6743
284,0.6806
285,0.675
286,0.6855
287,0.6804
288,0.6744
289,0.6825
290,0.6799
291,0.681
292,0.67
293,0.6698
294,0.6718
295,0.6822
296,0.6821
297,0.6617
298,0.693
299,0.6854
300,0.6911
301,0.7016
302,0.7128
303,0.7169
304,0.7168
305,0.7134
306,0.7113
307,0.708
308,0.7039
309,0.703
310,0.7013
311,0.7085
312,0.7038
313,0.7067
314,0.7084
315,0.704
316,0.705
317,0.7116
318,0.6962
319,0.706
320,0.7054
321,0.695
322,0.7123
323,0.7032
324,0.7115
325,0.7145
326,0.7086
327,0.7024
328,0.7009
329,0.7105
330,0.7064
331,0.7116
332,0.7075
333,0.7113
334,0.7068
335,0.7047
336,0.7065
337,0.711
338,0.7105
339,0.7131
340,0.7017
341,0.7013
342,0.7103
343,0.7117
344,0.7057
345,0.7117
346,0.7101
347,0.7009
348,0.7105
349,0.7076
350,0.7025
351,0.7157
352,0.7074
353,0.7126
354,0.7098
355,0.7155
356,0.7043
357,0.7089
358,0.7003
359,0.7025
360,0.7066
361,0.7004
362,0.7059
363,0.717
364,0.7152
365,0.7045
366,0.7109
367,0.7144
368,0.71
