,accuracy
0,0.1145
1,0.3629
2,0.3454
3,0.4159
4,0.3614
5,0.326
6,0.225
7,0.3406
8,0.3583
9,0.4052
10,0.3237
11,0.4315
12,0.4232
13,0.4274
14,0.4586
15,0.4452
16,0.4233
17,0.4868
18,0.4576
19,0.3482
20,0.4772
21,0.4724
22,0.4684
23,0.4285
24,0.474
25,0.4887
26,0.469
27,0.4111
28,0.4633
29,0.4855
30,0.3807
31,0.4909
32,0.5168
33,0.5139
34,0.5013
35,0.4822
36,0.4996
37,0.5404
38,0.4569
39,0.4718
40,0.4931
41,0.5137
42,0.5204
43,0.4938
44,0.53
45,0.4946
46,0.5113
47,0.5034
48,0.5534
49,0.5074
50,0.5178
51,0.5088
52,0.5116
53,0.5189
54,0.5104
55,0.5194
56,0.5216
57,0.5286
58,0.5232
59,0.5108
60,0.5464
61,0.5282
62,0.5417
63,0.5387
64,0.5547
65,0.5279
66,0.5528
67,0.5356
68,0.5322
69,0.4909
70,0.5078
71,0.5304
72,0.5219
73,0.5263
74,0.5465
75,0.5553
76,0.5568
77,0.5574
78,0.561
79,0.5548
80,0.5542
81,0.5246
82,0.5701
83,0.5254
84,0.5613
85,0.542
86,0.5414
87,0.5594
88,0.5728
89,0.5392
90,0.5519
91,0.5717
92,0.5575
93,0.5437
94,0.5542
95,0.5272
96,0.5602
97,0.5418
98,0.5467
99,0.5262
100,0.5943
101,0.6241
102,0.6413
103,0.6503
104,0.6458
105,0.6362
106,0.6315
107,0.6292
108,0.6386
109,0.6303
110,0.5995
111,0.6096
112,0.6282
113,0.6395
114,0.6259
115,0.6451
116,0.6219
117,0.6064
118,0.6217
119,0.6178
120,0.64
121,0.6376
122,0.6286
123,0.6299
124,0.6288
125,0.6192
126,0.5937
127,0.6204
128,0.6042
129,0.6152
130,0.6139
131,0.5906
132,0.6148
133,0.6382
134,0.6273
135,0.6254
136,0.6239
137,0.6244
138,0.6328
139,0.6346
140,0.6224
141,0.6241
142,0.6325
143,0.5959
144,0.5908
145,0.6226
146,0.6456
147,0.6382
148,0.6291
149,0.6262
150,0.6113
151,0.6451
152,0.6339
153,0.6226
154,0.6338
155,0.6118
156,0.612
157,0.6192
158,0.6351
159,0.6248
160,0.621
161,0.629
162,0.6403
163,0.6252
164,0.6249
165,0.6262
166,0.6398
167,0.6177
168,0.6138
169,0.6386
170,0.634
171,0.6332
172,0.6428
173,0.6169
174,0.6243
175,0.642
176,0.6467
177,0.6341
178,0.63
179,0.6351
180,0.6337
181,0.6337
182,0.6367
183,0.6187
184,0.6384
185,0.644
186,0.6393
187,0.6402
188,0.6447
189,0.6461
190,0.6428
191,0.6429
192,0.6498
193,0.6474
194,0.6323
195,0.6478
196,0.6359
197,0.6511
198,0.6457
199,0.6374
200,0.6644
201,0.6838
202,0.6882
203,0.697
204,0.6943
205,0.6914
206,0.6873
207,0.6863
208,0.6786
209,0.6771
210,0.6715
211,0.6665
212,0.675
213,0.6781
214,0.679
215,0.6757
216,0.6859
217,0.6777
218,0.6801
219,0.6825
220,0.6823
221,0.6647
222,0.6766
223,0.6931
224,0.6865
225,0.6757
226,0.6719
227,0.684
228,0.6824
229,0.6812
230,0.6847
231,0.6845
232,0.6894
233,0.6872
234,0.6705
235,0.6888
236,0.687
237,0.6785
238,0.6892
239,0.6751
240,0.6803
241,0.6923
242,0.6844
243,0.6628
244,0.6749
245,0.6838
246,0.687
247,0.6748
248,0.6798
249,0.6835
250,0.6834
251,0.6859
252,0.6811
253,0.6731
254,0.6822
255,0.6654
256,0.6791
257,0.682
258,0.6742
259,0.6804
260,0.6705
261,0.6868
262,0.6815
263,0.6744
264,0.6789
265,0.6871
266,0.6898
267,0.6728
268,0.6771
269,0.6795
270,0.6867
271,0.6851
272,0.6826
273,0.6906
274,0.6776
275,0.6823
276,0.6953
277,0.6928
278,0.6815
279,0.6838
280,0.6822
281,0.691
282,0.6884
283,0.6866
284,0.6727
285,0.6839
286,0.6939
287,0.6866
288,0.6815
289,0.6756
290,0.681
291,0.6756
292,0.6821
293,0.6864
294,0.6741
295,0.6791
296,0.6837
297,0.6692
298,0.68
299,0.6886
300,0.701
301,0.7068
302,0.709
303,0.7095
304,0.7108
305,0.7104
306,0.7083
307,0.7137
308,0.7037
309,0.7036
310,0.709
311,0.7
312,0.7086
313,0.7095
314,0.7022
315,0.7061
316,0.7183
317,0.7031
318,0.6985
319,0.7101
320,0.7088
321,0.7118
322,0.6878
323,0.6962
324,0.7059
325,0.7072
326,0.7125
327,0.702
328,0.7078
329,0.7119
330,0.7137
331,0.7056
332,0.7145
333,0.709
334,0.7075
335,0.7083
336,0.7094
337,0.707
338,0.699
339,0.6973
340,0.7074
341,0.7064
342,0.706
343,0.7102
344,0.7084
345,0.7209
346,0.7069
347,0.7075
348,0.7104
349,0.7094
350,0.71
351,0.7061
352,0.7138
353,0.7179
354,0.7081
355,0.7118
356,0.7137
357,0.714
358,0.7182
359,0.711
360,0.7126
361,0.7203
362,0.7122
363,0.7172
364,0.7086
365,0.6999
366,0.7189
367,0.7131
368,0.7108
369,0.7079
370,0.7074
371,0.7028
372,0.7025
373,0.7111
374,0.7073
375,0.7052
376,0.7074
377,0.7085
378,0.7135
379,0.7082
380,0.7078
381,0.7023
382,0.7078
383,0.7099
384,0.7138
385,0.7179
386,0.7152
387,0.7033
388,0.7071
389,0.7053
390,0.7075
391,0.7081
392,0.7138
393,0.7111
394,0.7141
395,0.7064
396,0.7092
397,0.7089
398,0.7063
399,0.7079
400,0.7209
401,0.7274
402,0.7339
403,0.73
404,0.7308
405,0.7326
406,0.7335
407,0.7343
408,0.7287
409,0.7303
410,0.7266
411,0.7286
412,0.7334
413,0.7274
414,0.7345
415,0.7125
416,0.7273
417,0.7308
418,0.7288
419,0.7283
420,0.7263
421,0.726
422,0.727
423,0.7219
424,0.7253
425,0.7248
426,0.7223
427,0.7238
428,0.7289
429,0.7317
430,0.7289
431,0.729
432,0.7338
433,0.7321
434,0.7288
435,0.7155
436,0.7336
437,0.7317
438,0.733
439,0.7214
440,0.7315
441,0.724
442,0.7273
443,0.7219
444,0.7229
445,0.7283
446,0.7298
447,0.7337
448,0.7344
449,0.7274
450,0.7221
451,0.7225
452,0.731
453,0.7265
454,0.7217
455,0.7319
456,0.7342
457,0.732
458,0.7233
459,0.7324
460,0.7282
461,0.7361
462,0.7317
463,0.7336
464,0.7201
465,0.7228
466,0.7279
467,0.7332
468,0.7302
469,0.7343
470,0.7338
471,0.7284
472,0.7322
473,0.7216
474,0.733
475,0.735
476,0.7337
477,0.7356
478,0.7311
479,0.7321
480,0.7265
481,0.729
482,0.7333
483,0.7298
484,0.7301
485,0.7394
486,0.7343
487,0.7333
488,0.7301
489,0.7364
490,0.7368
491,0.7274
492,0.7275
493,0.7269
494,0.7249
495,0.7303
496,0.7296
497,0.7312
498,0.7255
499,0.7305
500,0.7342
501,0.7385
502,0.7405
503,0.7451
504,0.7448
505,0.7426
506,0.7442
507,0.7436
508,0.7412
