,accuracy
0,0.1
1,0.1648
2,0.255
3,0.3564
4,0.2241
5,0.3929
6,0.396
7,0.3629
8,0.2017
9,0.344
10,0.3833
11,0.4778
12,0.1023
13,0.2755
14,0.4602
15,0.4921
16,0.5336
17,0.3848
18,0.4773
19,0.4832
20,0.5168
21,0.3547
22,0.4369
23,0.5078
24,0.5045
25,0.2487
26,0.444
27,0.4736
28,0.5101
29,0.4814
30,0.4702
31,0.4869
32,0.4881
33,0.5123
34,0.4527
35,0.3638
36,0.534
37,0.5431
38,0.3491
39,0.4494
40,0.5051
41,0.5151
42,0.1366
43,0.4624
44,0.5374
45,0.5146
46,0.5537
47,0.5026
48,0.4871
49,0.5233
50,0.5499
51,0.366
52,0.4729
53,0.4975
54,0.5584
55,0.3933
56,0.469
57,0.5511
58,0.5196
59,0.5612
60,0.4344
61,0.4776
62,0.5407
63,0.5504
64,0.4921
65,0.5506
66,0.5644
67,0.5204
68,0.3702
69,0.497
70,0.519
71,0.5357
72,0.5514
73,0.5338
74,0.5475
75,0.582
76,0.5869
77,0.497
78,0.4853
79,0.5563
80,0.5723
81,0.4523
82,0.5418
83,0.5344
84,0.5501
85,0.1739
86,0.5266
87,0.5202
88,0.5625
89,0.5532
90,0.5043
91,0.5391
92,0.5119
93,0.5677
94,0.5099
95,0.52
96,0.5539
97,0.5579
98,0.4325
99,0.521
100,0.5903
101,0.5949
102,0.6295
103,0.6166
104,0.6409
105,0.5796
106,0.6156
107,0.6322
108,0.621
109,0.6026
110,0.5847
111,0.6268
112,0.6001
113,0.6067
114,0.573
115,0.6214
116,0.5623
117,0.6156
118,0.5556
119,0.6031
120,0.4726
121,0.6134
122,0.6045
123,0.5865
124,0.6123
125,0.5949
126,0.6219
127,0.5799
128,0.6005
129,0.5317
130,0.6259
131,0.5564
132,0.6063
133,0.5374
134,0.6184
135,0.5365
136,0.618
137,0.6202
138,0.583
139,0.6292
140,0.6162
141,0.6321
142,0.58
143,0.6198
144,0.5193
145,0.6016
146,0.5269
147,0.6031
148,0.5084
149,0.6273
150,0.6134
151,0.6197
152,0.6162
153,0.6029
154,0.6316
155,0.5774
156,0.6038
157,0.6029
158,0.6143
159,0.5437
160,0.6172
161,0.5576
162,0.6356
163,0.4901
164,0.611
165,0.6275
166,0.6137
167,0.631
168,0.6187
169,0.6304
170,0.6012
171,0.6374
172,0.5791
173,0.5984
174,0.5619
175,0.6243
176,0.6074
177,0.6224
178,0.423
179,0.598
180,0.6379
181,0.6022
182,0.629
183,0.6172
184,0.6197
185,0.6127
186,0.6324
187,0.6226
188,0.6409
189,0.5727
190,0.6095
191,0.5519
192,0.6071
193,0.6301
194,0.6224
195,0.6363
196,0.6201
197,0.6432
198,0.6049
199,0.6396
200,0.6657
201,0.661
202,0.6805
203,0.6839
204,0.6759
205,0.6968
206,0.6863
207,0.6693
208,0.6837
209,0.6807
210,0.6633
211,0.1725
212,0.6674
213,0.6583
214,0.6365
215,0.6548
216,0.6356
217,0.668
218,0.6651
219,0.6594
220,0.6686
221,0.6716
222,0.6558
223,0.6612
224,0.6725
225,0.6564
226,0.6429
227,0.6725
228,0.6563
229,0.6453
230,0.6458
231,0.6685
232,0.6603
233,0.6521
234,0.6528
235,0.6573
236,0.6401
237,0.649
238,0.663
239,0.65
240,0.6626
241,0.6528
242,0.6407
243,0.6779
244,0.6634
245,0.6618
246,0.6345
247,0.6747
248,0.666
249,0.662
250,0.6708
251,0.6452
252,0.6465
253,0.6762
254,0.6581
255,0.6508
256,0.6793
257,0.6667
258,0.6598
259,0.6828
260,0.6652
261,0.6734
262,0.6723
263,0.6691
264,0.6422
265,0.6498
266,0.6768
267,0.6507
268,0.6288
269,0.6759
270,0.6598
271,0.6742
272,0.6835
273,0.6683
274,0.65
275,0.6811
276,0.673
277,0.6475
278,0.6789
279,0.6711
280,0.6582
281,0.5999
282,0.6677
283,0.6682
284,0.6419
285,0.6663
286,0.6625
287,0.6723
288,0.6631
289,0.6265
290,0.651
291,0.6791
292,0.6698
293,0.6683
294,0.6801
295,0.6668
296,0.6695
297,0.1646
298,0.6812
299,0.663
300,0.6871
301,0.6952
302,0.6982
303,0.6748
304,0.7089
305,0.7111
306,0.7124
307,0.7064
308,0.7111
309,0.6974
310,0.6889
311,0.6803
312,0.6877
313,0.696
314,0.6917
315,0.6818
316,0.7127
317,0.7033
318,0.6989
319,0.6994
320,0.7011
321,0.7016
322,0.7034
323,0.693
324,0.6658
325,0.6839
326,0.6867
327,0.6749
328,0.661
329,0.7011
330,0.7039
331,0.7012
332,0.6958
333,0.6863
334,0.7016
335,0.6966
336,0.7015
337,0.6945
338,0.7001
339,0.6663
340,0.6632
341,0.7036
342,0.6969
343,0.704
344,0.7095
345,0.6984
346,0.6981
347,0.6875
348,0.6897
349,0.6993
350,0.6831
351,0.6935
352,0.6832
353,0.7067
354,0.7046
355,0.7043
356,0.703
357,0.7112
358,0.6961
359,0.6971
360,0.6774
361,0.6982
362,0.6914
363,0.6912
364,0.6916
365,0.6677
366,0.6971
367,0.7005
368,0.7021
369,0.7098
370,0.702
371,0.6811
372,0.6955
373,0.699
374,0.6935
375,0.6941
376,0.7054
377,0.6804
378,0.7043
379,0.7043
380,0.7068
381,0.7046
382,0.7057
383,0.7051
384,0.7006
385,0.6993
386,0.703
387,0.6924
388,0.697
389,0.6619
390,0.7055
391,0.7032
392,0.7134
393,0.707
394,0.7052
395,0.708
396,0.6958
397,0.7068
398,0.6991
399,0.7041
400,0.7161
401,0.7238
402,0.7258
403,0.7268
404,0.7316
405,0.7083
406,0.7155
407,0.7222
408,0.7236
409,0.72
410,0.7278
411,0.7313
412,0.7113
413,0.7152
414,0.7122
415,0.7197
416,0.7162
417,0.7202
418,0.7187
419,0.6778
420,0.707
421,0.7154
422,0.7198
423,0.7197
424,0.7218
425,0.7136
426,0.6704
427,0.7162
428,0.722
429,0.7178
430,0.7193
431,0.7092
432,0.7232
433,0.7213
434,0.6995
435,0.7213
436,0.7281
437,0.7143
438,0.7203
439,0.7222
440,0.7256
441,0.714
442,0.7245
443,0.7168
444,0.7234
445,0.7226
446,0.7244
447,0.7251
448,0.6845
449,0.7259
450,0.7139
451,0.7244
452,0.7167
453,0.7236
454,0.7254
455,0.6846
456,0.7262
457,0.7226
458,0.7206
459,0.7256
460,0.7286
461,0.7229
462,0.6976
463,0.715
464,0.7134
465,0.7197
466,0.7256
467,0.7207
468,0.7293
469,0.6739
470,0.7194
471,0.7202
472,0.7233
473,0.7201
474,0.7155
475,0.7255
476,0.7258
477,0.7223
478,0.7254
479,0.7224
480,0.7207
481,0.7209
482,0.7276
483,0.7232
484,0.7151
485,0.7087
486,0.7233
487,0.7226
488,0.7279
489,0.7247
490,0.7225
491,0.709
492,0.7291
493,0.7235
494,0.7241
495,0.7252
496,0.7249
497,0.7295
498,0.7081
499,0.7271
500,0.737
501,0.742
502,0.7396
503,0.7404
504,0.7211
505,0.7432
506,0.7422
507,0.7406
508,0.7397
509,0.7423
510,0.7421
511,0.7399
512,0.7279
513,0.7348
514,0.7395
515,0.7314
516,0.733
517,0.7374
518,0.7348
519,0.737
520,0.6856
521,0.7384
522,0.7355
523,0.7342
524,0.7425
525,0.7392
526,0.7377
527,0.7356
528,0.7354
529,0.7422
530,0.7375
531,0.731
532,0.7377
533,0.7384
534,0.7424
535,0.7358
536,0.7427
537,0.7313
538,0.7373
539,0.737
540,0.7436
541,0.74
542,0.7354
543,0.7444
544,0.7422
545,0.7372
546,0.7489
547,0.7277
548,0.7405
549,0.7443
550,0.7374
551,0.7477
552,0.744
553,0.7365
554,0.7363
555,0.6975
556,0.7392
557,0.7383
558,0.7388
559,0.7397
560,0.7481
561,0.7417
562,0.7481
563,0.7112
564,0.7365
565,0.7391
566,0.7341
567,0.7387
568,0.7466
569,0.7393
570,0.7394
571,0.7453
572,0.7409
573,0.7405
574,0.7178
575,0.7437
576,0.742
577,0.7392
578,0.7406
579,0.7491
580,0.7439
581,0.7402
582,0.7443
583,0.7435
584,0.7518
585,0.7398
586,0.7404
587,0.7451
588,0.7381
589,0.7422
590,0.7163
591,0.7452
592,0.7443
593,0.7453
594,0.7423
595,0.7466
596,0.7425
597,0.7456
598,0.7229
599,0.7477
600,0.745
601,0.7492
602,0.7461
603,0.7573
604,0.7504
605,0.7524
