,accuracy
0,0.1
1,0.1108
2,0.1003
3,0.1744
4,0.1828
5,0.1092
6,0.1702
7,0.1603
8,0.272
9,0.2631
10,0.3059
11,0.1957
12,0.2974
13,0.2829
14,0.3325
15,0.3346
16,0.3829
17,0.3747
18,0.3266
19,0.3439
20,0.4452
21,0.3295
22,0.27
23,0.3783
24,0.39
25,0.4647
26,0.4234
27,0.4475
28,0.3727
29,0.4461
30,0.4526
31,0.4351
32,0.4534
33,0.4257
34,0.4491
35,0.456
36,0.4588
37,0.4459
38,0.394
39,0.4628
40,0.4547
41,0.4465
42,0.4151
43,0.4012
44,0.4349
45,0.4562
46,0.4947
47,0.4623
48,0.3953
49,0.4539
50,0.4882
51,0.4473
52,0.4621
53,0.4566
54,0.391
55,0.461
56,0.4317
57,0.4519
58,0.474
59,0.458
60,0.4555
61,0.4756
62,0.4725
63,0.4348
64,0.4036
65,0.4659
66,0.4891
67,0.4759
68,0.458
69,0.4493
70,0.4623
71,0.4837
72,0.4452
73,0.4007
74,0.449
75,0.4424
76,0.4535
77,0.4838
78,0.4544
79,0.4398
80,0.4743
81,0.4547
82,0.4586
83,0.3932
84,0.4852
85,0.4177
86,0.4852
87,0.4257
88,0.4593
89,0.4498
90,0.4507
91,0.4693
92,0.4659
93,0.4376
94,0.4843
95,0.392
96,0.4725
97,0.4141
98,0.4839
99,0.4941
100,0.4946
101,0.4948
102,0.4188
103,0.4775
104,0.4819
105,0.5281
106,0.505
107,0.5218
108,0.5116
109,0.5025
110,0.5446
111,0.5061
112,0.5487
113,0.5237
114,0.4829
115,0.542
116,0.5507
117,0.5097
118,0.5179
119,0.5201
120,0.4819
121,0.521
122,0.5435
123,0.4315
124,0.5093
125,0.4436
126,0.5342
127,0.5279
128,0.5139
129,0.477
130,0.5281
131,0.5287
132,0.5485
133,0.534
134,0.4577
135,0.507
136,0.5062
137,0.5577
138,0.4843
139,0.468
140,0.5249
141,0.5198
142,0.5471
143,0.5531
144,0.5357
145,0.4842
146,0.5273
147,0.5381
148,0.5521
149,0.5072
150,0.5302
151,0.5325
152,0.5128
153,0.5487
154,0.5535
155,0.5319
156,0.5412
157,0.5342
158,0.4715
159,0.5094
160,0.4998
161,0.5138
162,0.5064
163,0.4861
164,0.4821
165,0.5382
166,0.5202
167,0.5531
168,0.487
169,0.5364
170,0.4984
171,0.5647
172,0.5139
173,0.5551
174,0.5162
175,0.5762
176,0.5403
177,0.5683
178,0.5347
179,0.5498
180,0.5475
181,0.5467
182,0.5499
183,0.4811
184,0.5635
185,0.5587
186,0.5282
187,0.5136
188,0.5243
189,0.545
190,0.5332
191,0.5285
192,0.5212
193,0.523
194,0.5483
195,0.5166
196,0.5089
197,0.5182
198,0.5335
199,0.5523
200,0.5532
201,0.5538
202,0.4913
203,0.5401
204,0.5471
205,0.5144
206,0.5792
207,0.5919
208,0.555
209,0.5825
210,0.5627
211,0.5575
212,0.5941
213,0.5627
214,0.5122
215,0.586
216,0.5491
217,0.5631
218,0.5633
219,0.4825
220,0.5884
221,0.5673
222,0.5168
223,0.582
224,0.589
225,0.5923
226,0.5786
227,0.5785
228,0.5466
229,0.5827
230,0.5933
231,0.5588
232,0.5669
233,0.5701
234,0.5598
235,0.5797
236,0.5568
237,0.58
238,0.5522
239,0.5951
240,0.5881
241,0.5861
242,0.5731
243,0.6073
244,0.5814
245,0.5565
246,0.607
247,0.596
248,0.5923
249,0.5542
250,0.5651
251,0.588
252,0.6164
253,0.54
254,0.5554
255,0.5524
256,0.5581
257,0.6129
258,0.5818
259,0.5776
260,0.5841
261,0.5993
262,0.6037
263,0.5573
264,0.5791
265,0.6084
266,0.6041
267,0.6187
268,0.6213
269,0.6059
270,0.6111
271,0.4635
272,0.5657
273,0.577
274,0.5816
275,0.578
276,0.5854
277,0.5653
278,0.5699
279,0.6002
280,0.5905
281,0.531
282,0.5702
283,0.5712
284,0.589
285,0.6063
286,0.606
287,0.5914
288,0.6119
289,0.6288
290,0.6039
291,0.5586
292,0.6144
293,0.5969
294,0.6153
295,0.5965
296,0.6096
297,0.5839
298,0.6241
299,0.5379
300,0.6093
301,0.5645
302,0.6247
303,0.6276
304,0.6225
305,0.583
306,0.6097
307,0.6038
308,0.5971
309,0.5968
310,0.6064
311,0.5766
312,0.6183
313,0.566
314,0.6342
315,0.6091
316,0.6345
317,0.629
318,0.6275
319,0.6081
320,0.6008
321,0.6244
322,0.6129
323,0.6372
324,0.5642
325,0.578
326,0.5775
327,0.6338
328,0.608
329,0.6407
330,0.6448
331,0.6113
332,0.6355
333,0.6226
334,0.6118
335,0.6376
336,0.6016
337,0.6307
338,0.6141
339,0.6264
340,0.6101
341,0.5936
342,0.6278
343,0.6127
344,0.6343
345,0.6502
346,0.626
347,0.6353
348,0.638
349,0.6371
350,0.625
351,0.6356
352,0.6569
353,0.6303
354,0.5534
355,0.6437
356,0.6532
357,0.6071
358,0.6197
359,0.639
360,0.6217
361,0.6214
362,0.6066
363,0.6191
364,0.6515
365,0.6458
366,0.6108
367,0.6383
368,0.6355
369,0.6468
370,0.6424
371,0.6467
372,0.6504
373,0.6607
374,0.6064
375,0.6364
376,0.6107
377,0.6535
378,0.6124
379,0.6552
380,0.6525
381,0.6392
382,0.6482
383,0.5967
384,0.6483
385,0.6337
386,0.6622
387,0.6396
388,0.6115
389,0.6554
390,0.6544
391,0.632
392,0.6416
393,0.6546
394,0.6225
395,0.6368
396,0.653
397,0.6214
398,0.6329
399,0.6315
400,0.6245
401,0.65
402,0.625
403,0.6452
404,0.613
405,0.6598
406,0.6285
407,0.6639
408,0.6765
409,0.6454
410,0.6648
411,0.6524
412,0.6665
413,0.6368
414,0.6627
415,0.6437
416,0.6377
417,0.6641
418,0.6815
419,0.6677
420,0.656
421,0.6658
422,0.6689
423,0.6632
424,0.6715
425,0.6516
426,0.6606
427,0.664
428,0.6682
429,0.6434
430,0.6637
431,0.6902
432,0.6602
433,0.6394
434,0.6684
435,0.6477
436,0.6675
437,0.6506
438,0.6693
439,0.6681
440,0.6712
441,0.6626
442,0.6687
443,0.6432
444,0.6581
445,0.6688
446,0.6732
447,0.6372
448,0.6732
449,0.6549
450,0.6655
451,0.6176
452,0.6622
453,0.6631
454,0.6749
455,0.6609
456,0.683
457,0.6747
458,0.6715
459,0.6725
460,0.6786
461,0.6719
462,0.6689
463,0.6799
464,0.6495
465,0.6413
466,0.6658
467,0.6732
468,0.6764
469,0.6703
470,0.6686
471,0.6769
472,0.665
473,0.6825
474,0.6856
475,0.6795
476,0.6865
477,0.6771
478,0.6787
479,0.6693
480,0.6739
481,0.6524
482,0.6901
483,0.6721
484,0.6595
485,0.6665
486,0.6732
487,0.677
488,0.682
489,0.6803
490,0.6626
491,0.6848
492,0.675
493,0.6993
494,0.6828
495,0.6827
496,0.689
497,0.6834
498,0.6709
499,0.6831
500,0.6695
501,0.6587
502,0.6896
503,0.6796
504,0.6713
505,0.692
506,0.6931
507,0.6886
508,0.6917
509,0.6867
510,0.6558
511,0.6954
512,0.6819
513,0.7057
514,0.6864
515,0.7027
516,0.6893
517,0.7048
518,0.6974
519,0.6878
520,0.6656
521,0.6832
522,0.6678
523,0.6968
524,0.7018
525,0.6948
526,0.6769
527,0.6937
528,0.7051
529,0.6921
530,0.6991
531,0.696
532,0.6656
533,0.7007
534,0.6761
535,0.7053
536,0.7
537,0.6949
538,0.6989
539,0.702
540,0.7005
541,0.6982
542,0.6985
543,0.6984
544,0.6954
545,0.6972
546,0.7106
547,0.7
548,0.6919
549,0.6913
550,0.7023
551,0.7168
552,0.6919
553,0.668
554,0.6499
555,0.6677
556,0.697
557,0.6966
558,0.6988
559,0.6785
560,0.7101
561,0.697
562,0.7012
563,0.7111
564,0.6995
565,0.6915
566,0.7019
567,0.6902
568,0.6936
569,0.7038
570,0.6912
571,0.688
572,0.6822
573,0.6918
574,0.6932
575,0.697
576,0.6967
577,0.6977
