,accuracy
0,0.1
1,0.2091
2,0.2821
3,0.3011
4,0.3266
5,0.3202
6,0.4071
7,0.3074
8,0.4438
9,0.4786
10,0.4087
11,0.4624
12,0.4599
13,0.4636
14,0.4303
15,0.4311
16,0.511
17,0.5073
18,0.5147
19,0.4665
20,0.4552
21,0.5037
22,0.474
23,0.5354
24,0.5311
25,0.5227
26,0.5273
27,0.5206
28,0.5052
29,0.5375
30,0.5378
31,0.547
32,0.4992
33,0.5247
34,0.4859
35,0.5235
36,0.5425
37,0.5116
38,0.5457
39,0.5512
40,0.505
41,0.521
42,0.5504
43,0.4986
44,0.5383
45,0.5405
46,0.5268
47,0.5339
48,0.5404
49,0.5429
50,0.5433
51,0.5295
52,0.5743
53,0.5448
54,0.5172
55,0.5625
56,0.5355
57,0.5364
58,0.531
59,0.5642
60,0.5142
61,0.5513
62,0.5561
63,0.5514
64,0.5208
65,0.5452
66,0.5355
67,0.552
68,0.556
69,0.5166
70,0.5349
71,0.536
72,0.5653
73,0.539
74,0.5649
75,0.5466
76,0.5394
77,0.5629
78,0.5314
79,0.5684
80,0.5427
81,0.533
82,0.5533
83,0.5579
84,0.5426
85,0.5548
86,0.5494
87,0.5494
88,0.5718
89,0.5014
90,0.56
91,0.5479
92,0.5255
93,0.5429
94,0.537
95,0.57
96,0.5702
97,0.5551
98,0.5697
99,0.5503
100,0.5889
101,0.6058
102,0.6128
103,0.6159
104,0.603
105,0.6114
106,0.5922
107,0.6196
108,0.6071
109,0.5927
110,0.5986
111,0.5644
112,0.5812
113,0.6028
114,0.5949
115,0.5814
116,0.6101
117,0.5924
118,0.6091
119,0.6085
120,0.6006
121,0.6088
122,0.5823
123,0.604
124,0.5996
125,0.5963
126,0.5972
127,0.5913
128,0.6199
129,0.6144
130,0.6182
131,0.6148
132,0.6198
133,0.5961
134,0.6041
135,0.6215
136,0.6055
137,0.5957
138,0.61
139,0.5901
140,0.5881
141,0.5941
142,0.5893
143,0.6117
144,0.6047
145,0.6037
146,0.6043
147,0.6197
148,0.6208
149,0.6079
150,0.5922
151,0.6091
152,0.6193
153,0.6082
154,0.603
155,0.6233
156,0.6103
157,0.6128
158,0.6096
159,0.5994
160,0.6181
161,0.6188
162,0.6206
163,0.6187
164,0.6011
165,0.6221
166,0.6073
167,0.6014
168,0.6203
169,0.6268
170,0.604
171,0.6153
172,0.627
173,0.6252
174,0.6223
175,0.6249
176,0.6257
177,0.6301
178,0.607
179,0.6239
180,0.6162
181,0.6112
182,0.6222
183,0.61
184,0.6247
185,0.6266
186,0.6144
187,0.6234
188,0.6235
189,0.6269
190,0.6256
191,0.6083
192,0.627
193,0.6196
194,0.61
195,0.6243
196,0.6219
197,0.627
198,0.6258
199,0.6067
200,0.6517
201,0.6582
202,0.655
203,0.6585
204,0.6594
205,0.6525
206,0.6686
207,0.6509
208,0.6487
209,0.639
210,0.656
211,0.6444
212,0.6569
213,0.6606
214,0.6447
215,0.6474
216,0.6663
217,0.6625
218,0.6629
219,0.6604
220,0.6637
221,0.6368
222,0.6551
223,0.6547
224,0.6625
225,0.6438
226,0.6608
227,0.6412
228,0.6527
229,0.651
230,0.6514
231,0.6572
232,0.6459
233,0.6495
234,0.6626
235,0.6673
236,0.6597
237,0.6587
238,0.6506
239,0.6527
240,0.6576
241,0.659
242,0.6559
243,0.6548
244,0.6487
245,0.6622
246,0.6661
247,0.6717
248,0.6528
249,0.6641
250,0.647
251,0.6508
252,0.6697
253,0.669
254,0.6587
255,0.6629
256,0.6502
257,0.6643
258,0.6596
259,0.6688
260,0.6528
261,0.661
262,0.6604
263,0.6683
264,0.664
265,0.6699
266,0.6665
267,0.6554
268,0.6567
269,0.6678
270,0.6629
271,0.6548
272,0.6552
273,0.6666
274,0.6638
275,0.6501
276,0.6606
277,0.663
278,0.6559
279,0.6591
280,0.6675
281,0.6697
282,0.656
283,0.656
284,0.6698
285,0.6773
286,0.6667
287,0.6679
288,0.6557
289,0.6716
290,0.6585
291,0.6681
292,0.669
293,0.6694
294,0.6614
295,0.6705
296,0.6664
297,0.6764
298,0.6715
299,0.6674
300,0.6839
301,0.691
302,0.6842
303,0.6871
304,0.6851
305,0.685
306,0.6928
307,0.6855
308,0.6837
309,0.688
310,0.6814
311,0.6749
312,0.669
313,0.6676
314,0.6676
315,0.6803
316,0.6855
317,0.6903
318,0.6786
319,0.6841
320,0.6866
321,0.6755
322,0.6829
323,0.6694
324,0.6825
325,0.6866
326,0.6817
327,0.6682
328,0.683
329,0.6638
330,0.6824
331,0.6917
332,0.6753
333,0.6845
