,accuracy
0,0.1
1,0.1
2,0.1
3,0.1
4,0.1003
5,0.1
6,0.1286
7,0.1162
8,0.1426
9,0.0805
10,0.1683
11,0.1
12,0.1996
13,0.1
14,0.1386
15,0.1
16,0.1979
17,0.1
18,0.2059
19,0.1008
20,0.2939
21,0.0999
22,0.2998
23,0.1
24,0.2715
25,0.106
26,0.2468
27,0.1009
28,0.338
29,0.1219
30,0.3607
31,0.1117
32,0.3183
33,0.1194
34,0.3134
35,0.0889
36,0.3874
37,0.1041
38,0.3398
39,0.1011
40,0.3641
41,0.1012
42,0.362
43,0.1081
44,0.2869
45,0.0945
46,0.3206
47,0.1082
48,0.2973
49,0.0947
50,0.3442
51,0.0881
52,0.3387
53,0.1009
54,0.3311
55,0.1004
56,0.4069
57,0.1006
58,0.332
59,0.0722
60,0.3275
61,0.1197
62,0.3229
63,0.0898
64,0.3763
65,0.111
66,0.3721
67,0.124
68,0.3761
69,0.099
70,0.3859
71,0.0998
72,0.3532
73,0.1009
74,0.4015
75,0.0972
76,0.3694
77,0.0981
78,0.3744
79,0.1016
80,0.3707
81,0.1089
82,0.372
83,0.1571
84,0.3536
85,0.0804
86,0.3876
87,0.1371
88,0.3705
89,0.1042
90,0.379
91,0.1262
92,0.3927
93,0.0991
94,0.4084
95,0.1125
96,0.3871
97,0.0847
98,0.3739
99,0.0652
100,0.112
101,0.0954
102,0.0703
103,0.1075
104,0.0989
105,0.115
106,0.1024
107,0.1004
108,0.1284
109,0.0813
110,0.0891
111,0.1277
112,0.2047
113,0.1033
114,0.1419
115,0.1037
116,0.1023
117,0.1831
118,0.1287
119,0.1025
120,0.1226
121,0.1349
122,0.107
123,0.1151
124,0.1272
125,0.1577
126,0.1166
127,0.1179
128,0.1544
129,0.1322
130,0.1251
131,0.1742
132,0.121
133,0.111
134,0.1558
135,0.2469
136,0.1011
137,0.1209
138,0.1538
139,0.1135
140,0.1081
141,0.2965
142,0.2318
143,0.2737
144,0.1045
145,0.2727
146,0.1366
147,0.1799
148,0.0995
149,0.1002
150,0.2456
151,0.1572
152,0.1676
153,0.2265
154,0.1501
155,0.1877
156,0.1351
157,0.2533
158,0.254
159,0.1986
160,0.1627
161,0.1092
162,0.265
163,0.3793
164,0.1134
165,0.1894
166,0.128
167,0.1102
168,0.2508
169,0.3196
170,0.2428
171,0.3311
172,0.1342
173,0.129
174,0.1876
175,0.2602
176,0.1128
177,0.1602
178,0.2738
179,0.1322
180,0.2019
181,0.1553
182,0.1713
183,0.129
184,0.1814
185,0.1462
186,0.2857
187,0.2022
188,0.412
189,0.1387
190,0.1335
191,0.1094
192,0.2803
193,0.1906
194,0.254
195,0.3301
196,0.187
197,0.2515
198,0.3494
199,0.1497
200,0.4616
201,0.418
202,0.4405
203,0.4556
204,0.4319
205,0.4462
206,0.4478
207,0.2097
208,0.4639
209,0.4577
210,0.4489
211,0.4785
212,0.4636
213,0.4608
214,0.4192
215,0.2132
216,0.452
217,0.449
218,0.4178
219,0.4607
220,0.4611
221,0.4665
222,0.4559
223,0.3861
224,0.4445
225,0.4251
226,0.4052
227,0.4179
228,0.4246
229,0.4632
230,0.4764
231,0.4382
232,0.4719
233,0.4783
234,0.4521
235,0.4764
236,0.4928
237,0.483
238,0.4848
239,0.3778
240,0.4754
241,0.4753
242,0.4579
243,0.477
244,0.4716
245,0.4686
246,0.4795
247,0.2115
248,0.4887
249,0.4856
250,0.4678
251,0.4816
252,0.4806
253,0.471
254,0.4813
255,0.2265
256,0.4918
257,0.4674
258,0.4846
259,0.4804
260,0.476
261,0.4837
262,0.4886
263,0.2693
264,0.4744
265,0.4779
266,0.4665
267,0.4789
268,0.4854
269,0.4811
270,0.456
271,0.1774
272,0.476
273,0.4842
274,0.4762
275,0.4825
276,0.469
277,0.5019
278,0.4778
279,0.3182
280,0.49
281,0.4876
282,0.4787
283,0.489
284,0.4909
285,0.4678
286,0.4805
287,0.3376
288,0.468
289,0.4789
290,0.4592
291,0.4807
292,0.4808
293,0.4774
294,0.4958
295,0.4201
296,0.4894
297,0.4608
298,0.4568
299,0.4854
300,0.4924
301,0.4772
302,0.4891
303,0.4421
304,0.4974
305,0.5025
306,0.5014
307,0.4886
308,0.5001
309,0.4962
310,0.4765
311,0.4323
312,0.5002
313,0.4955
314,0.4886
315,0.4588
316,0.492
317,0.5029
318,0.4702
319,0.2877
320,0.4934
321,0.4878
322,0.489
323,0.4978
324,0.5036
325,0.5012
326,0.4949
327,0.2306
328,0.4958
329,0.4934
330,0.5054
331,0.5093
332,0.4942
333,0.4939
334,0.4826
335,0.3883
336,0.4983
337,0.5047
338,0.473
339,0.5076
340,0.501
341,0.4834
342,0.4797
343,0.4445
344,0.4995
345,0.4983
346,0.4964
347,0.5004
348,0.4937
349,0.492
350,0.4891
351,0.2918
352,0.5012
353,0.4925
354,0.4983
355,0.4942
356,0.4853
357,0.4711
358,0.4907
359,0.3196
360,0.5034
361,0.5024
362,0.5064
363,0.4799
364,0.5045
