,accuracy
0,0.1
1,0.1064
2,0.241
3,0.121
4,0.3361
5,0.1176
6,0.3809
7,0.1468
8,0.3776
9,0.1129
10,0.4772
11,0.1098
12,0.4388
13,0.3561
14,0.4891
15,0.1881
16,0.499
17,0.2416
18,0.4595
19,0.1629
20,0.482
21,0.3796
22,0.4552
23,0.2395
24,0.4991
25,0.4999
26,0.526
27,0.4368
28,0.427
29,0.4929
30,0.4741
31,0.2301
32,0.4823
33,0.2968
34,0.5339
35,0.4957
36,0.5114
37,0.4335
38,0.5084
39,0.5207
40,0.5024
41,0.3685
42,0.5069
43,0.2316
44,0.5342
45,0.4607
46,0.5242
47,0.461
48,0.5431
49,0.3384
50,0.4961
51,0.151
52,0.5101
53,0.1491
54,0.5269
55,0.1968
56,0.5382
57,0.467
58,0.5361
59,0.2801
60,0.5287
61,0.4786
62,0.5391
63,0.3547
64,0.5564
65,0.5354
66,0.5138
67,0.5104
68,0.5275
69,0.4011
70,0.5501
71,0.4827
72,0.5476
73,0.5472
74,0.5278
75,0.5299
76,0.5342
77,0.5441
78,0.563
79,0.283
80,0.5589
81,0.4617
82,0.5262
83,0.5383
84,0.5406
85,0.4292
86,0.5678
87,0.4843
88,0.5517
89,0.5665
90,0.5561
91,0.5121
92,0.5581
93,0.5326
94,0.5392
95,0.3051
96,0.5528
97,0.536
98,0.5455
99,0.5087
100,0.5608
101,0.5188
102,0.2421
103,0.5382
104,0.2835
105,0.3897
106,0.595
107,0.5827
108,0.2383
109,0.5001
110,0.4743
111,0.5896
112,0.5685
113,0.2155
114,0.5169
115,0.5756
116,0.5928
117,0.491
118,0.5469
119,0.3674
120,0.4497
121,0.5742
122,0.2363
123,0.5861
124,0.5784
125,0.5845
126,0.5917
127,0.597
128,0.5519
129,0.5991
130,0.5951
131,0.5888
132,0.3704
133,0.5072
134,0.566
135,0.5528
136,0.6048
137,0.5753
138,0.5938
139,0.5717
140,0.553
141,0.6016
142,0.5997
143,0.4641
144,0.6066
145,0.2853
146,0.2999
147,0.3807
148,0.5623
149,0.4385
150,0.587
151,0.3241
152,0.5763
153,0.6111
154,0.2995
155,0.56
156,0.5884
157,0.5784
158,0.5997
159,0.2448
160,0.3835
161,0.4606
162,0.5883
163,0.5725
164,0.6022
165,0.4587
166,0.62
167,0.5958
168,0.5407
169,0.6031
170,0.6069
171,0.5642
172,0.5753
173,0.496
174,0.4427
175,0.6239
176,0.6175
177,0.5113
178,0.5439
179,0.4891
180,0.5891
181,0.2854
182,0.5758
183,0.6155
184,0.6128
185,0.3035
186,0.619
187,0.5449
188,0.5983
189,0.603
190,0.5822
191,0.4732
192,0.4271
193,0.6072
194,0.6186
195,0.5792
196,0.3305
197,0.6099
198,0.4186
199,0.6162
200,0.6416
201,0.6404
202,0.6332
203,0.6397
204,0.6404
205,0.6413
206,0.642
207,0.6342
208,0.6323
209,0.6407
210,0.6246
211,0.6369
212,0.6298
213,0.6389
214,0.6385
215,0.6286
216,0.6242
217,0.6383
218,0.6282
219,0.6372
220,0.639
221,0.6328
222,0.6463
223,0.6391
224,0.6478
225,0.6184
226,0.6408
227,0.6377
228,0.6417
229,0.6271
230,0.6365
231,0.6409
232,0.6483
233,0.6245
234,0.6427
235,0.6548
236,0.6503
237,0.6373
238,0.6381
239,0.6459
240,0.6535
241,0.6401
242,0.6423
243,0.6353
244,0.6384
245,0.6418
246,0.6436
247,0.2993
248,0.6488
249,0.648
250,0.6446
251,0.6429
252,0.6479
253,0.6493
254,0.6472
255,0.639
256,0.6449
257,0.6513
258,0.6568
259,0.6505
260,0.6493
261,0.6508
262,0.6578
263,0.6201
264,0.6504
265,0.6512
266,0.6428
267,0.6442
268,0.6407
269,0.6612
270,0.6482
271,0.6562
272,0.6602
273,0.6623
274,0.6581
275,0.658
276,0.6583
277,0.6463
278,0.6556
279,0.6357
280,0.6493
281,0.6544
282,0.6577
283,0.6547
284,0.6633
285,0.6598
286,0.6583
287,0.6418
288,0.65
289,0.662
290,0.6501
291,0.6641
292,0.66
293,0.6618
294,0.6596
295,0.5375
296,0.6569
297,0.6588
298,0.6538
299,0.6684
300,0.6689
301,0.669
302,0.6653
303,0.6722
304,0.6713
305,0.6719
306,0.6693
307,0.6752
308,0.6719
309,0.6656
310,0.6655
311,0.6674
312,0.6663
313,0.673
314,0.6687
315,0.6724
316,0.6717
317,0.6758
318,0.6625
319,0.6323
320,0.6705
321,0.6757
322,0.6743
323,0.673
324,0.666
325,0.6666
326,0.6698
327,0.6652
328,0.6813
329,0.6671
330,0.6615
331,0.6691
332,0.6795
333,0.667
334,0.6748
335,0.576
336,0.6725
337,0.6748
338,0.6692
339,0.6761
340,0.6773
341,0.6717
342,0.6813
343,0.6825
344,0.6812
345,0.6707
346,0.6804
347,0.6727
348,0.678
349,0.6768
350,0.6779
351,0.6796
352,0.6795
353,0.6815
354,0.681
355,0.6883
356,0.685
357,0.674
358,0.6746
