,accuracy
0,0.1
1,0.1649
2,0.2569
3,0.3565
4,0.3103
5,0.3878
6,0.4446
7,0.4641
8,0.3144
9,0.4736
10,0.4504
11,0.4997
12,0.1807
13,0.39
14,0.5151
15,0.4904
16,0.4785
17,0.4574
18,0.475
19,0.5319
20,0.5025
21,0.4522
22,0.5276
23,0.5033
24,0.5159
25,0.4113
26,0.4548
27,0.4456
28,0.5357
29,0.5536
30,0.4673
31,0.4835
32,0.4974
33,0.5512
34,0.4711
35,0.5527
36,0.5028
37,0.5259
38,0.5223
39,0.5086
40,0.5228
41,0.5493
42,0.192
43,0.4399
44,0.5462
45,0.5709
46,0.5239
47,0.5045
48,0.5147
49,0.5508
50,0.533
51,0.4557
52,0.5157
53,0.5594
54,0.5532
55,0.4172
56,0.4934
57,0.5245
58,0.5759
59,0.554
60,0.5268
61,0.5577
62,0.5388
63,0.5747
64,0.489
65,0.5246
66,0.5626
67,0.5559
68,0.5354
69,0.4688
70,0.5413
71,0.5315
72,0.553
73,0.5116
74,0.5456
75,0.5454
76,0.5543
77,0.5342
78,0.4984
79,0.5082
80,0.5379
81,0.4928
82,0.5444
83,0.5508
84,0.5471
85,0.4098
86,0.5269
87,0.5279
88,0.5655
89,0.5889
90,0.5281
91,0.5152
92,0.5216
93,0.5723
94,0.4769
95,0.5146
96,0.5624
97,0.5653
98,0.496
99,0.5479
100,0.6093
101,0.6139
102,0.6409
103,0.637
104,0.644
105,0.6135
106,0.6235
107,0.6229
108,0.6302
109,0.6264
110,0.5983
111,0.6117
112,0.5957
113,0.6166
114,0.5791
115,0.6249
116,0.5984
117,0.5815
118,0.5315
119,0.6304
120,0.5657
121,0.6205
122,0.6146
123,0.6308
124,0.63
125,0.5825
126,0.6232
127,0.5959
128,0.6058
129,0.5907
130,0.6106
131,0.6096
132,0.6212
133,0.5807
134,0.6202
135,0.5181
136,0.5867
137,0.6349
138,0.6194
139,0.6264
140,0.6098
141,0.633
142,0.5741
143,0.6288
144,0.597
145,0.6129
146,0.5947
147,0.6162
148,0.5783
149,0.6196
150,0.6439
151,0.637
152,0.6147
153,0.613
154,0.6365
155,0.5999
156,0.627
157,0.5903
158,0.6307
159,0.6044
160,0.6357
161,0.5762
