,accuracy
0,0.1052
1,0.3139
2,0.3044
3,0.4401
4,0.3265
5,0.3208
6,0.3664
7,0.4573
8,0.4061
9,0.4109
10,0.4465
11,0.3556
12,0.4361
13,0.4553
14,0.472
15,0.4656
16,0.4891
17,0.3874
18,0.4684
19,0.48
20,0.4946
21,0.4899
22,0.4882
23,0.4889
24,0.4862
25,0.496
26,0.5297
27,0.4925
28,0.4654
29,0.4957
30,0.5272
31,0.5138
32,0.5083
33,0.5327
34,0.5074
35,0.5189
36,0.508
37,0.4841
38,0.5384
39,0.5557
40,0.5152
41,0.5224
42,0.5031
43,0.5444
44,0.5226
45,0.5492
46,0.5561
47,0.5183
48,0.5287
49,0.5425
50,0.5599
51,0.532
52,0.5358
53,0.5217
54,0.521
55,0.5276
56,0.5382
57,0.5172
58,0.538
59,0.5229
60,0.5439
61,0.5238
62,0.5528
63,0.5529
64,0.5395
65,0.5239
66,0.5432
67,0.5391
68,0.5608
69,0.527
70,0.5436
71,0.557
72,0.5241
73,0.5281
74,0.5428
75,0.5382
76,0.5438
77,0.5454
78,0.5482
79,0.5423
80,0.5621
81,0.5354
82,0.5415
83,0.5393
84,0.5258
85,0.5568
86,0.5583
87,0.5575
88,0.5567
89,0.5603
90,0.5528
91,0.5643
92,0.5361
93,0.5463
94,0.5657
95,0.547
96,0.5779
97,0.5631
98,0.5823
99,0.579
100,0.5947
101,0.6159
102,0.6245
103,0.6308
104,0.6333
105,0.6414
106,0.6232
107,0.6174
108,0.6219
109,0.629
110,0.6288
111,0.631
112,0.6115
113,0.6271
114,0.6299
115,0.6255
116,0.6168
117,0.632
118,0.6165
119,0.6364
120,0.6122
121,0.6395
122,0.6118
123,0.6355
124,0.5932
125,0.6221
126,0.6283
127,0.6257
128,0.6418
129,0.6354
130,0.6274
131,0.584
132,0.6305
133,0.6218
134,0.6234
135,0.6427
136,0.5985
137,0.637
138,0.6309
139,0.6314
140,0.6298
141,0.6253
142,0.6229
143,0.6308
144,0.6268
145,0.6276
146,0.6333
147,0.6398
148,0.6161
149,0.6109
150,0.6307
151,0.6363
152,0.6388
153,0.6218
154,0.6321
155,0.6363
156,0.6401
157,0.6431
158,0.6273
159,0.6448
160,0.6399
161,0.6418
162,0.6314
163,0.6394
164,0.6308
165,0.6458
166,0.6373
167,0.6231
168,0.6204
169,0.6319
170,0.6331
171,0.6239
172,0.6446
173,0.6375
174,0.6339
175,0.6359
176,0.655
177,0.6362
178,0.6222
179,0.644
180,0.6507
181,0.628
182,0.6335
183,0.644
184,0.6363
185,0.6353
186,0.6409
187,0.6356
188,0.6303
189,0.6397
190,0.6394
191,0.6349
192,0.6485
193,0.6398
194,0.651
195,0.6353
196,0.648
197,0.6479
198,0.6527
199,0.6253
200,0.6591
201,0.6721
202,0.6751
203,0.6784
204,0.68
205,0.6843
206,0.6803
207,0.6763
208,0.6688
209,0.6708
210,0.6791
211,0.6694
212,0.6758
213,0.6784
214,0.6745
215,0.678
216,0.6774
217,0.6866
218,0.683
219,0.6792
220,0.6826
221,0.6819
222,0.6765
223,0.6749
224,0.6726
225,0.6656
226,0.671
227,0.6825
228,0.6756
229,0.684
230,0.6747
231,0.6967
232,0.6872
233,0.6809
234,0.6858
235,0.683
236,0.6686
237,0.6667
238,0.6547
239,0.6884
240,0.69
241,0.6827
242,0.6732
243,0.6865
244,0.6694
245,0.6715
246,0.6926
247,0.6754
248,0.688
249,0.6814
250,0.6718
251,0.6829
252,0.6802
253,0.6872
254,0.6775
255,0.6722
256,0.6765
257,0.677
258,0.6727
259,0.6864
260,0.6801
261,0.6897
262,0.6819
263,0.6785
264,0.6865
265,0.6761
266,0.676
267,0.6748
268,0.6892
269,0.6836
270,0.6879
271,0.684
272,0.6788
273,0.6863
274,0.6936
275,0.6755
276,0.6953
277,0.6862
278,0.6861
279,0.6756
280,0.6977
281,0.6865
282,0.6901
283,0.6902
284,0.6863
285,0.6858
286,0.6897
287,0.6922
288,0.6913
289,0.6876
290,0.6914
291,0.6935
292,0.6861
293,0.6926
294,0.6898
295,0.6898
296,0.6809
297,0.698
298,0.6929
299,0.6893
300,0.6993
301,0.7011
302,0.7042
303,0.7122
304,0.7119
305,0.7107
306,0.708
307,0.7129
308,0.7114
309,0.7104
310,0.7101
311,0.7041
312,0.7143
313,0.6898
314,0.7065
315,0.7003
316,0.7075
317,0.7027
318,0.7183
319,0.7124
320,0.7044
321,0.7103
322,0.7097
323,0.715
324,0.7059
325,0.7067
326,0.7042
327,0.6936
328,0.7121
329,0.7072
330,0.7168
331,0.707
332,0.7103
333,0.71
334,0.7028
335,0.6997
336,0.7051
337,0.7061
338,0.7115
339,0.7063
340,0.7137
341,0.7071
342,0.7119
343,0.7105
344,0.7158
345,0.7183
346,0.7131
347,0.714
348,0.7203
349,0.7148
350,0.7141
351,0.7167
352,0.716
353,0.7161
354,0.7223
355,0.7009
356,0.6995
357,0.7118
358,0.7217
359,0.7149
360,0.7136
361,0.7146
362,0.7113
363,0.7197
364,0.7205
365,0.7202
366,0.7058
367,0.7118
368,0.7059
369,0.7154
370,0.7054
371,0.7063
372,0.7114
373,0.7144
374,0.7089
375,0.7124
376,0.7125
377,0.714
378,0.7148
379,0.7126
380,0.7092
381,0.7136
382,0.7114
383,0.7167
384,0.7098
385,0.7064
386,0.7175
387,0.7174
388,0.7199
389,0.7094
390,0.7075
391,0.7153
392,0.7102
393,0.7079
394,0.7182
395,0.7156
396,0.7134
397,0.7153
398,0.7152
399,0.7173
400,0.7252
401,0.726
402,0.7246
403,0.7301
404,0.7311
405,0.7298
406,0.7278
407,0.7273
408,0.7251
409,0.7331
410,0.7337
411,0.7292
412,0.7272
413,0.7306
414,0.7183
415,0.7311
416,0.7328
417,0.7287
418,0.7279
419,0.7317
420,0.7301
421,0.7369
422,0.7193
423,0.7401
424,0.7391
425,0.7287
426,0.7353
427,0.7353
428,0.7291
429,0.7293
430,0.7293
431,0.7246
432,0.733
433,0.7322
434,0.7256
435,0.7308
436,0.7253
437,0.7279
438,0.7377
439,0.7319
440,0.7358
441,0.7241
442,0.7366
443,0.7303
444,0.724
445,0.7357
446,0.7343
447,0.7351
448,0.7381
449,0.7343
450,0.723
451,0.7247
452,0.7303
453,0.7338
454,0.7319
455,0.7304
456,0.7321
457,0.7303
458,0.7359
459,0.7285
460,0.7366
461,0.7333
462,0.736
463,0.7368
464,0.7348
465,0.7374
466,0.7394
467,0.74
468,0.7356
469,0.7328
470,0.7374
471,0.7333
472,0.7367
473,0.7348
474,0.7423
475,0.7387
476,0.7357
477,0.7419
478,0.7409
479,0.7376
480,0.7204
481,0.7384
482,0.7376
483,0.7353
484,0.7382
485,0.7385
486,0.7349
487,0.7386
488,0.7333
489,0.7337
490,0.7399
491,0.7396
492,0.7271
493,0.7389
494,0.7398
495,0.7344
496,0.736
497,0.7288
498,0.7326
499,0.7355
500,0.7447
501,0.7397
502,0.748
503,0.7431
504,0.7471
505,0.7498
506,0.7459
507,0.747
508,0.7419
509,0.7423
510,0.7478
511,0.7472
512,0.7472
513,0.7464
514,0.7394
515,0.7462
516,0.7492
517,0.7415
518,0.7471
519,0.7432
520,0.7395
521,0.7473
522,0.7462
523,0.7491
524,0.7461
525,0.7512
526,0.7451
527,0.7505
528,0.7479
529,0.7476
530,0.7532
531,0.7445
532,0.7456
533,0.7509
534,0.7516
535,0.7469
536,0.7431
537,0.7459
538,0.745
539,0.7479
540,0.748
541,0.7452
542,0.7506
543,0.7539
544,0.7515
545,0.7517
546,0.753
547,0.7496
548,0.7493
549,0.7502
550,0.7535
551,0.7537
552,0.7493
553,0.7463
554,0.7487
555,0.7548
556,0.7486
557,0.7486
558,0.7452
559,0.7434
560,0.7501
561,0.7521
562,0.7547
563,0.7553
564,0.7492
565,0.752
566,0.7605
567,0.7592
568,0.7569
569,0.7451
570,0.7521
571,0.7565
572,0.7464
573,0.7533
574,0.7556
575,0.7553
576,0.7577
577,0.752
578,0.7587
579,0.7582
580,0.7524
581,0.7523
582,0.7557
583,0.7539
584,0.7533
585,0.7559
586,0.7482
587,0.7554
588,0.7524
589,0.7512
590,0.7538
591,0.7484
592,0.7527
593,0.7514
594,0.7497
595,0.7551
596,0.7527
597,0.7513
598,0.7519
599,0.7531
600,0.7507
601,0.755
602,0.747
603,0.7553
604,0.7605
605,0.7587
606,0.7599
607,0.7578
608,0.7619
609,0.7604
610,0.7587
611,0.7572
612,0.7539
613,0.7517
614,0.7533
615,0.755
616,0.7553
617,0.7582
618,0.7557
619,0.757
620,0.7573
621,0.7553
622,0.7521
623,0.7615
624,0.7552
625,0.7553
626,0.7555
627,0.7589
628,0.7526
629,0.7548
630,0.7607
631,0.7643
632,0.756
633,0.7598
634,0.7593
635,0.7588
636,0.759
637,0.7571
638,0.7629
639,0.7541
640,0.7606
641,0.7643
642,0.759
643,0.7608
644,0.7606
645,0.7623
646,0.7688
647,0.7616
648,0.763
649,0.766
650,0.7669
651,0.7635
652,0.7653
653,0.7613
654,0.7565
655,0.7635
656,0.768
657,0.765
658,0.7631
659,0.7647
660,0.7644
661,0.7642
662,0.7612
663,0.7568
664,0.7598
665,0.7658
666,0.7644
667,0.7612
668,0.7646
669,0.7619
670,0.7666
671,0.7601
672,0.7615
673,0.7624
674,0.7644
675,0.761
676,0.7643
677,0.7624
678,0.7635
679,0.7607
680,0.7592
681,0.7635
682,0.7669
683,0.7648
684,0.762
685,0.7594
686,0.7613
687,0.765
688,0.7646
689,0.7586
690,0.7605
691,0.7572
692,0.7649
693,0.7619
694,0.7606
695,0.7571
696,0.758
697,0.7633
698,0.7641
699,0.7626
700,0.7659
701,0.7648
702,0.7655
703,0.7687
704,0.768
705,0.768
706,0.7706
707,0.7684
708,0.7658
709,0.7664
710,0.7641
711,0.7614
712,0.765
713,0.7659
714,0.7696
715,0.7685
716,0.772
717,0.7708
718,0.7689
719,0.77
720,0.7668
721,0.7685
722,0.7677
723,0.777
724,0.7727
725,0.7749
726,0.7715
727,0.7725
728,0.7697
729,0.7715
730,0.7718
731,0.7707
732,0.7714
733,0.7646
734,0.7716
735,0.7722
736,0.7719
737,0.7722
738,0.7715
739,0.77
740,0.773
741,0.771
742,0.7661
743,0.7693
744,0.7727
745,0.7722
746,0.7656
747,0.7767
748,0.7718
749,0.769
750,0.7728
751,0.7652
752,0.7701
753,0.7711
754,0.7699
755,0.7739
756,0.7714
757,0.7731
758,0.7706
759,0.768
760,0.7717
761,0.7659
762,0.7702
763,0.7698
764,0.7722
765,0.7761
766,0.7735
767,0.7723
768,0.7789
769,0.7762
770,0.7758
771,0.7716
772,0.7728
773,0.7722
774,0.7731
775,0.7681
776,0.7709
777,0.7678
778,0.7732
779,0.7758
780,0.7758
781,0.7736
782,0.7785
783,0.7767
784,0.7701
785,0.7695
786,0.7728
787,0.7753
788,0.7785
789,0.7747
790,0.779
791,0.7761
792,0.7742
793,0.776
794,0.7723
795,0.7705
796,0.7745
797,0.7748
798,0.7749
799,0.7731
800,0.7742
801,0.7703
802,0.7692
803,0.7711
804,0.7724
805,0.7743
806,0.7762
807,0.7753
808,0.7792
809,0.7778
810,0.7773
811,0.7749
812,0.779
813,0.779
814,0.7744
815,0.7735
816,0.7643
817,0.7694
818,0.7781
819,0.7758
820,0.7753
821,0.7745
822,0.7734
823,0.7749
824,0.7747
825,0.7786
826,0.7715
827,0.7759
828,0.7672
829,0.767
830,0.7705
831,0.7776
832,0.7782
833,0.7771
