,accuracy
0,0.1069
1,0.3705
2,0.3083
3,0.3899
4,0.3506
5,0.3303
6,0.3367
7,0.4004
8,0.3733
9,0.4295
10,0.3811
11,0.3921
12,0.3671
13,0.4504
14,0.4485
15,0.475
16,0.4776
17,0.3754
18,0.4615
19,0.4641
20,0.4376
21,0.4429
22,0.4889
23,0.4527
24,0.4848
25,0.4793
26,0.4811
27,0.4716
28,0.4783
29,0.4935
30,0.475
31,0.4962
32,0.4783
33,0.4688
34,0.462
35,0.4532
36,0.4926
37,0.4917
38,0.4263
39,0.4208
40,0.4907
41,0.5044
42,0.4655
43,0.4522
44,0.5071
45,0.5078
46,0.5221
47,0.5008
48,0.4951
49,0.5003
50,0.5065
51,0.5152
52,0.4787
53,0.4867
54,0.5013
55,0.4998
56,0.5088
57,0.5056
58,0.5122
59,0.5038
60,0.528
61,0.4973
62,0.5268
63,0.4965
64,0.4825
65,0.5353
66,0.5178
67,0.5352
68,0.5187
69,0.5146
70,0.5245
71,0.5161
72,0.4743
73,0.5303
74,0.5363
75,0.5209
76,0.5493
77,0.5174
78,0.5236
79,0.5296
80,0.5422
81,0.535
82,0.5355
83,0.497
84,0.5174
85,0.5298
86,0.5318
87,0.4972
88,0.5183
89,0.5389
90,0.5327
91,0.5208
92,0.5307
93,0.5281
94,0.5449
95,0.5496
96,0.5482
97,0.5364
98,0.5338
99,0.5257
100,0.5835
101,0.6136
102,0.6255
103,0.6272
104,0.6221
105,0.6126
106,0.5958
107,0.5973
108,0.608
109,0.5689
110,0.575
111,0.5975
112,0.5822
113,0.5903
114,0.6064
115,0.5904
116,0.6037
117,0.591
118,0.605
119,0.5895
120,0.6138
121,0.6085
122,0.6066
123,0.6081
124,0.6189
125,0.6141
126,0.6161
127,0.6022
128,0.6147
129,0.5943
130,0.6144
131,0.6077
132,0.6128
133,0.6146
134,0.611
135,0.6206
136,0.6222
137,0.605
138,0.6179
139,0.6162
140,0.6263
141,0.6251
142,0.632
143,0.6247
144,0.6162
145,0.6194
146,0.6114
147,0.6185
148,0.5876
149,0.6119
150,0.6237
151,0.6292
152,0.6199
153,0.6118
154,0.6215
155,0.6139
156,0.6285
157,0.6097
158,0.6167
159,0.6175
160,0.5947
161,0.6199
162,0.6154
163,0.6139
164,0.6186
165,0.6257
166,0.6093
167,0.604
168,0.6251
169,0.6055
170,0.6264
171,0.6139
172,0.6178
173,0.603
174,0.5993
175,0.6021
176,0.62
177,0.6153
178,0.6149
179,0.6219
180,0.6205
181,0.6271
182,0.6234
183,0.6198
184,0.619
185,0.6278
186,0.6179
187,0.6214
188,0.6039
189,0.6237
190,0.6096
191,0.6281
192,0.6124
193,0.6209
194,0.6287
195,0.6214
196,0.6224
197,0.6285
198,0.6313
199,0.6215
200,0.6526
201,0.6654
202,0.6766
203,0.6798
204,0.6804
205,0.6735
206,0.6735
207,0.6642
208,0.656
209,0.6541
210,0.6474
211,0.6563
212,0.6715
213,0.6466
214,0.664
215,0.6682
216,0.6642
217,0.661
218,0.6608
219,0.665
220,0.6761
221,0.6658
222,0.6709
223,0.6696
224,0.6695
225,0.6676
226,0.664
227,0.6492
228,0.6714
229,0.665
230,0.6754
231,0.6589
232,0.6652
233,0.6745
234,0.6662
235,0.6708
236,0.6635
237,0.6708
238,0.6607
239,0.6673
240,0.6649
241,0.6778
242,0.669
243,0.6823
244,0.6611
245,0.6694
246,0.658
247,0.6663
248,0.6468
249,0.6663
250,0.6639
251,0.6679
252,0.6715
253,0.6665
254,0.661
255,0.6662
256,0.6668
257,0.676
258,0.6698
259,0.6696
260,0.664
261,0.668
262,0.6703
263,0.6685
264,0.6596
265,0.6582
266,0.6674
267,0.6646
268,0.6751
269,0.6753
270,0.6775
271,0.6743
272,0.6836
273,0.6774
274,0.6779
275,0.663
276,0.6757
277,0.6737
278,0.6722
279,0.6759
280,0.6751
281,0.6684
282,0.6724
283,0.6668
284,0.6743
285,0.6743
286,0.6802
287,0.6752
288,0.6794
289,0.6783
290,0.682
291,0.6753
292,0.6817
293,0.6863
294,0.6824
295,0.6809
296,0.6794
297,0.6751
298,0.6557
299,0.6781
300,0.6944
301,0.7048
302,0.7138
303,0.714
304,0.7156
305,0.7108
306,0.7117
307,0.7072
308,0.6944
309,0.6859
310,0.6975
311,0.6953
312,0.6976
313,0.7061
314,0.7036
315,0.7014
316,0.6972
317,0.7081
318,0.7044
319,0.7041
320,0.7046
321,0.6994
322,0.7071
323,0.7027
324,0.7049
325,0.7084
326,0.7089
327,0.7086
328,0.7073
329,0.7085
330,0.6993
331,0.7089
332,0.6836
333,0.7083
334,0.7095
335,0.7037
336,0.7052
337,0.7069
338,0.7068
339,0.7052
340,0.7093
341,0.7058
342,0.7013
343,0.6992
344,0.7074
345,0.708
346,0.7079
347,0.7159
348,0.7042
349,0.7073
350,0.7114
351,0.7085
352,0.7117
353,0.6968
354,0.7108
355,0.7107
356,0.7088
357,0.708
358,0.708
359,0.7096
360,0.7185
361,0.7197
362,0.7143
363,0.7134
364,0.7079
365,0.707
366,0.71
367,0.6973
368,0.6894
369,0.6909
370,0.7009
371,0.7118
372,0.7049
373,0.7096
374,0.7187
375,0.7154
376,0.715
377,0.7145
378,0.7071
379,0.7178
380,0.7003
381,0.6994
382,0.7073
383,0.7107
384,0.7056
385,0.7037
386,0.7087
387,0.7068
388,0.707
389,0.7072
390,0.694
391,0.708
392,0.7121
393,0.7105
394,0.7134
395,0.7012
396,0.6991
397,0.7076
398,0.7049
399,0.6997
400,0.7171
401,0.727
402,0.7298
403,0.7308
404,0.7337
405,0.7317
406,0.7311
407,0.7294
408,0.7232
409,0.7124
410,0.7175
411,0.7198
412,0.7233
413,0.7272
414,0.729
415,0.7254
416,0.7206
417,0.7245
418,0.716
419,0.7217
420,0.7218
421,0.7252
422,0.7199
423,0.7349
424,0.7289
425,0.7277
426,0.7354
427,0.7294
428,0.7305
429,0.7236
430,0.7302
431,0.7312
432,0.7313
433,0.734
434,0.7336
435,0.7327
436,0.7317
437,0.7374
438,0.7374
439,0.7364
440,0.7329
441,0.7299
442,0.7326
443,0.7292
444,0.7283
445,0.7363
446,0.7282
447,0.7398
448,0.7354
449,0.731
450,0.7323
451,0.7341
452,0.7305
453,0.7317
454,0.734
455,0.7228
456,0.7247
457,0.7346
458,0.7324
459,0.7348
460,0.7258
461,0.7258
462,0.7135
463,0.7245
464,0.7433
465,0.7405
466,0.7406
467,0.7427
468,0.7401
469,0.7348
470,0.7259
471,0.7326
472,0.736
473,0.7333
474,0.7336
475,0.7379
476,0.7321
477,0.7359
478,0.7377
479,0.7284
480,0.7334
481,0.7365
482,0.7385
483,0.74
484,0.7423
485,0.734
486,0.7277
487,0.7339
488,0.7249
489,0.7359
490,0.7366
491,0.7388
492,0.7373
493,0.7379
494,0.733
495,0.7369
496,0.7316
497,0.7371
498,0.7362
499,0.7386
500,0.7433
501,0.7465
502,0.7535
503,0.7545
504,0.7529
505,0.7516
506,0.753
507,0.747
508,0.7418
509,0.7365
510,0.739
511,0.7403
512,0.7472
513,0.7473
514,0.7516
515,0.748
516,0.7459
517,0.7419
518,0.7454
519,0.7516
520,0.7409
521,0.7404
522,0.7497
523,0.755
524,0.7552
525,0.7531
526,0.7512
527,0.748
528,0.739
529,0.7495
530,0.7522
531,0.7504
532,0.7566
533,0.7528
534,0.7533
535,0.7449
536,0.7419
537,0.753
538,0.7596
539,0.7533
540,0.7531
541,0.7557
542,0.7438
543,0.7517
544,0.7592
545,0.758
546,0.7552
547,0.7608
548,0.7534
549,0.7528
550,0.7483
551,0.7532
552,0.7585
553,0.755
554,0.7599
555,0.7513
556,0.7592
557,0.764
558,0.7557
559,0.7475
560,0.7473
561,0.7508
562,0.7528
563,0.7552
564,0.7552
565,0.7488
566,0.7508
567,0.7464
568,0.7457
569,0.7527
570,0.7474
571,0.7576
572,0.7602
573,0.7578
574,0.7562
575,0.755
576,0.7536
577,0.7542
578,0.7554
579,0.7532
580,0.7592
581,0.7564
582,0.7579
583,0.7532
584,0.7434
585,0.7429
586,0.7563
587,0.7531
588,0.754
589,0.7494
590,0.7468
591,0.7494
592,0.7458
593,0.7453
594,0.7499
595,0.7542
596,0.751
597,0.7582
598,0.7502
599,0.7442
600,0.7547
601,0.7576
602,0.7612
603,0.7607
604,0.7621
605,0.7626
606,0.7609
607,0.7591
608,0.7591
609,0.7539
610,0.7555
611,0.7561
612,0.7609
613,0.7588
614,0.7608
615,0.7634
616,0.7685
617,0.7691
618,0.7708
619,0.7673
620,0.7547
621,0.7617
622,0.7642
623,0.7663
624,0.7655
625,0.7712
626,0.7692
627,0.7677
628,0.7686
629,0.7646
630,0.7634
631,0.7659
632,0.764
633,0.7589
634,0.7617
635,0.7662
636,0.7608
637,0.7653
638,0.7661
639,0.7673
640,0.7715
641,0.7709
642,0.7672
643,0.7664
644,0.7677
645,0.7725
646,0.7701
647,0.7695
648,0.7639
649,0.7602
650,0.7656
651,0.7667
652,0.7626
653,0.7626
654,0.7645
655,0.7632
656,0.7646
657,0.7697
658,0.7653
659,0.7671
660,0.7722
661,0.7642
662,0.7678
663,0.76
664,0.7573
665,0.7641
666,0.7656
667,0.7703
668,0.7719
669,0.7705
670,0.7702
671,0.7715
