,timestamp,accuracy
0,1783975751.8296182,0.1068
1,1783975757.4399397,0.388
2,1783975763.383119,0.2941
3,1783975768.910836,0.4301
4,1783975774.5330455,0.3508
5,1783975780.1190825,0.2693
6,1783975786.026086,0.305
7,1783975791.8005586,0.3925
8,1783975797.525478,0.357
9,1783975803.4190774,0.3757
10,1783975809.0337546,0.3643
11,1783975814.5075934,0.4371
12,1783975820.124543,0.3872
13,1783975825.7835064,0.3893
14,1783975831.2007837,0.4326
15,1783975836.9350796,0.468
16,1783975842.747285,0.4258
17,1783975848.3641179,0.4397
18,1783975854.0867634,0.4495
19,1783975859.6528308,0.4781
20,1783975865.631968,0.4578
21,1783975871.510106,0.4415
22,1783975877.1543458,0.4217
23,1783975882.9912937,0.3962
24,1783975888.5520635,0.4788
25,1783975894.163295,0.4887
26,1783975899.6624207,0.4576
27,1783975905.2555819,0.4809
28,1783975910.6236851,0.4926
29,1783975916.1058695,0.5075
30,1783975921.6737623,0.4847
31,1783975927.204896,0.4962
32,1783975932.840606,0.4305
33,1783975938.423439,0.4988
34,1783975944.0192177,0.4857
35,1783975949.5535407,0.5068
36,1783975955.0311654,0.487
37,1783975960.7437143,0.49
38,1783975966.285895,0.4542
39,1783975971.8969254,0.495
40,1783975977.645605,0.5139
41,1783975983.633882,0.4792
42,1783975989.485343,0.5095
43,1783975995.2012234,0.497
44,1783976000.974206,0.4956
45,1783976006.4829888,0.5154
46,1783976012.1494155,0.5388
47,1783976017.5742695,0.5232
48,1783976023.1831484,0.5085
49,1783976028.6085346,0.5175
50,1783976034.3074157,0.5197
51,1783976040.0043116,0.5135
52,1783976045.4712665,0.491
53,1783976050.9508202,0.5126
54,1783976056.4234924,0.502
55,1783976061.8654304,0.5245
56,1783976067.315341,0.5182
57,1783976072.939424,0.5142
58,1783976078.5003371,0.5099
59,1783976084.206009,0.5163
60,1783976089.981834,0.512
61,1783976095.5893464,0.4954
62,1783976101.158505,0.539
63,1783976106.6237836,0.4597
64,1783976112.0976176,0.5181
65,1783976117.6644263,0.5214
66,1783976123.3485186,0.5206
67,1783976128.7676897,0.5374
68,1783976134.356621,0.4918
69,1783976139.880301,0.5171
70,1783976145.4995286,0.5257
71,1783976151.080768,0.5157
72,1783976156.6175044,0.5085
