,timestamp,accuracy
0,1783448597.6595082,0.1
1,1783448602.8930414,0.2084
2,1783448608.5929074,0.365
3,1783448615.1570094,0.4315
4,1783448621.4995708,0.3398
5,1783448627.245077,0.3952
6,1783448632.7374222,0.3407
7,1783448638.5478842,0.3466
8,1783448644.0023794,0.3768
9,1783448649.9045377,0.2646
10,1783448655.9579334,0.3736
11,1783448661.4774988,0.3751
12,1783448667.6904485,0.2879
13,1783448673.0252497,0.3505
14,1783448679.24988,0.3501
15,1783448685.6425624,0.3774
16,1783448692.24336,0.4148
17,1783448698.9262764,0.396
18,1783448705.8916755,0.4215
19,1783448712.501458,0.4349
20,1783448719.2390137,0.4237
21,1783448725.930241,0.4285
22,1783448732.7416713,0.3803
23,1783448739.6331527,0.4067
24,1783448746.907841,0.4203
25,1783448753.9945562,0.4556
26,1783448760.7374496,0.4231
27,1783448768.213945,0.4253
28,1783448775.0179248,0.4791
29,1783448781.851583,0.4076
30,1783448788.670297,0.4269
31,1783448795.6219585,0.4363
32,1783448802.3271947,0.4604
33,1783448809.1002853,0.445
34,1783448815.9774735,0.4245
35,1783448822.6927817,0.4762
36,1783448829.3525312,0.4611
37,1783448835.9846652,0.4296
38,1783448842.5991457,0.4104
39,1783448849.3851397,0.4743
40,1783448856.2163632,0.4398
41,1783448862.8858922,0.4568
42,1783448869.5497613,0.4505
43,1783448876.2403586,0.4476
44,1783448882.9412284,0.4776
45,1783448889.5677333,0.4501
46,1783448896.1463752,0.4632
47,1783448902.8285985,0.4722
48,1783448910.3864548,0.446
49,1783448916.9726834,0.4652
50,1783448923.4821167,0.487
51,1783448930.1728628,0.4596
52,1783448936.9017959,0.4691
53,1783448943.693343,0.4519
54,1783448950.3640776,0.4641
55,1783448957.079426,0.4891
56,1783448963.58626,0.503
57,1783448970.228783,0.487
58,1783448976.883113,0.4584
59,1783448983.4819796,0.4604
60,1783448991.0846765,0.4869
61,1783448997.5922606,0.4822
62,1783449004.3339999,0.4714
63,1783449010.813565,0.4883
64,1783449017.401878,0.4985
65,1783449023.8746133,0.487
66,1783449030.5463083,0.4674
67,1783449036.9904037,0.4788
68,1783449043.6681159,0.4736
69,1783449050.3242526,0.4653
70,1783449057.2204683,0.4485
71,1783449064.1583543,0.4489
72,1783449070.895398,0.5042
73,1783449077.6901236,0.4936
74,1783449084.4384563,0.4736
75,1783449091.2130837,0.4767
76,1783449097.8945892,0.4765
77,1783449104.5377924,0.5005
78,1783449111.2047777,0.4813
79,1783449117.956549,0.4821
80,1783449124.616861,0.4379
81,1783449131.3003597,0.5022
82,1783449137.9349408,0.4659
83,1783449144.6079628,0.4794
84,1783449151.449164,0.5109
85,1783449158.1044612,0.5081
86,1783449164.75524,0.4931
87,1783449171.4440567,0.4825
88,1783449178.1771827,0.5024
89,1783449184.7968626,0.5078
90,1783449191.572883,0.4993
91,1783449198.2490783,0.5111
92,1783449205.0195894,0.4993
93,1783449211.8489568,0.5035
94,1783449218.6070745,0.5132
95,1783449225.459769,0.4778
96,1783449232.309832,0.5147
97,1783449239.465729,0.4652
98,1783449246.1861517,0.5036
99,1783449253.0465949,0.4911
100,1783449266.0114844,0.5644
101,1783449275.6291082,0.577
102,1783449284.8611193,0.5932
103,1783449294.8693094,0.583
104,1783449304.0409715,0.5812
105,1783449313.568188,0.567
106,1783449323.4960423,0.5874
107,1783449332.6859865,0.5468
108,1783449342.1361842,0.5685
109,1783449351.3704443,0.5598
110,1783449359.1965773,0.5706
111,1783449369.3784714,0.553
112,1783449379.5299451,0.5643
113,1783449389.7354376,0.5638
114,1783449399.8695285,0.5671
115,1783449410.0385306,0.574
116,1783449420.9783957,0.5744
117,1783449431.9345846,0.5386
118,1783449442.051781,0.5631
119,1783449452.009729,0.5661
120,1783449461.970294,0.561
121,1783449471.9774847,0.5604
122,1783449481.9672294,0.5534
123,1783449491.956698,0.5528
124,1783449502.6086085,0.5781
125,1783449513.2384727,0.5756
126,1783449523.7738419,0.5634
127,1783449534.2705977,0.582
128,1783449544.0311549,0.5721
129,1783449553.7456636,0.5716
130,1783449563.3054662,0.5748
131,1783449573.0165174,0.572
132,1783449582.6182232,0.588
133,1783449592.3542829,0.5589
134,1783449602.1969047,0.5818
135,1783449612.1392066,0.5767
136,1783449622.0349705,0.5708
137,1783449631.8603847,0.5558
138,1783449641.7650144,0.5713
139,1783449651.643306,0.604
140,1783449661.6570776,0.5969
141,1783449671.5626376,0.567
142,1783449681.4228642,0.5686
143,1783449691.185409,0.5964
144,1783449701.045759,0.5933
145,1783449711.0565307,0.5662
146,1783449720.9623399,0.5748
147,1783449730.9617665,0.5732
148,1783449740.83376,0.5909
149,1783449750.6242113,0.5663
150,1783449760.5585382,0.5766
151,1783449770.5400875,0.5646
152,1783449780.595926,0.5812
153,1783449791.161397,0.5872
154,1783449801.6789792,0.5545
155,1783449811.5408876,0.5851
156,1783449821.3590372,0.5776
157,1783449831.2683537,0.5931
158,1783449841.2109213,0.5964
159,1783449851.094844,0.5879
160,1783449861.1374228,0.5836
161,1783449871.0900397,0.5818
162,1783449881.1420643,0.5866
163,1783449891.1766617,0.5841
164,1783449901.225733,0.5921
165,1783449911.2683442,0.5762
166,1783449921.3430882,0.5936
167,1783449931.298934,0.5907
168,1783449941.4169333,0.6013
169,1783449951.6082704,0.5825
170,1783449961.798082,0.602
171,1783449971.778624,0.6003
172,1783449981.8664467,0.5965
173,1783449991.8957558,0.5713
174,1783450001.9119358,0.5872
175,1783450011.87145,0.5807
176,1783450021.8368108,0.5868
177,1783450032.4368665,0.5963
178,1783450042.2852085,0.5955
179,1783450052.3214905,0.5912
180,1783450062.2491279,0.5933
181,1783450072.2704713,0.5643
182,1783450082.2463713,0.6058
183,1783450092.1804137,0.6023
184,1783450102.0699666,0.5901
185,1783450112.124371,0.5741
186,1783450122.2018716,0.5928
187,1783450132.1891532,0.5803
188,1783450142.1809762,0.5951
189,1783450152.1611788,0.6015
190,1783450162.4743216,0.5909
191,1783450172.7264462,0.5727
192,1783450182.9787524,0.6012
193,1783450193.0470393,0.6054
194,1783450203.032299,0.5784
195,1783450213.226654,0.5898
196,1783450223.2120476,0.5804
197,1783450233.5167823,0.6025
198,1783450243.746365,0.5969
199,1783450253.7615309,0.6029
200,1783450270.0419192,0.6301
201,1783450282.9739814,0.6463
202,1783450296.2803116,0.6482
203,1783450309.589458,0.647
204,1783450322.2254431,0.638
205,1783450335.6480055,0.6427
206,1783450349.0663242,0.638
207,1783450361.6482708,0.6226
208,1783450373.5991385,0.6352
209,1783450386.7802439,0.6261
210,1783450399.6838024,0.6314
211,1783450412.649598,0.6352
212,1783450425.72943,0.6389
213,1783450439.32466,0.6306
214,1783450452.3408134,0.6371
215,1783450465.3592947,0.6273
216,1783450478.0632324,0.6417
217,1783450490.9677207,0.6483
218,1783450503.9555922,0.6328
219,1783450516.878586,0.6434
220,1783450529.9878657,0.6453
221,1783450542.8279705,0.6357
222,1783450555.8348327,0.6466
223,1783450568.8965564,0.63
224,1783450581.9202456,0.655
225,1783450595.331098,0.6402
226,1783450608.7011087,0.6466
227,1783450621.8719313,0.6439
228,1783450635.0416126,0.6436
229,1783450648.4871097,0.6454
230,1783450661.9105537,0.6457
231,1783450675.217465,0.6442
232,1783450688.400274,0.6373
233,1783450701.5659673,0.6484
234,1783450714.6878026,0.6287
235,1783450727.8257182,0.6473
236,1783450741.124779,0.6445
237,1783450754.6825879,0.6502
238,1783450769.2456038,0.6419
239,1783450782.783277,0.6405
240,1783450796.1386864,0.6432
241,1783450809.5691574,0.6462
242,1783450822.6050286,0.6527
243,1783450835.831055,0.6566
244,1783450849.239446,0.6455
245,1783450862.499876,0.6525
246,1783450876.186583,0.6532
247,1783450889.5336018,0.6511
248,1783450903.5341952,0.657
249,1783450917.084491,0.652
250,1783450930.3358464,0.6518
251,1783450943.6022131,0.6557
252,1783450956.6125634,0.6464
253,1783450969.7216413,0.6583
254,1783450983.1282663,0.65
255,1783450996.2330291,0.6511
256,1783451009.9701886,0.6478
257,1783451023.4994657,0.65
258,1783451036.6312568,0.6543
259,1783451050.289479,0.6466
