,timestamp,accuracy
116,1783115096.2497785,0.5589
117,1783115103.4384143,0.5634
118,1783115111.1118534,0.5703
119,1783115118.7660909,0.5508
120,1783115126.0221987,0.5386
121,1783115133.1785533,0.5635
122,1783115140.3088365,0.5393
123,1783115147.4579856,0.5733
124,1783115154.7086806,0.5642
125,1783115161.920528,0.5549
126,1783115169.274973,0.5574
127,1783115176.4906802,0.574
128,1783115183.6450338,0.5687
129,1783115190.8653195,0.5324
130,1783115198.143191,0.5739
131,1783115205.4140038,0.5486
132,1783115212.6979995,0.5437
133,1783115219.89886,0.5602
134,1783115227.2055464,0.5796
135,1783115234.4739096,0.5684
136,1783115241.7830408,0.5608
137,1783115249.0615401,0.5644
138,1783115256.3500175,0.5822
139,1783115263.6057208,0.5437
140,1783115270.9614866,0.5758
141,1783115278.1598852,0.5653
142,1783115285.4491549,0.5686
143,1783115292.6194017,0.5753
144,1783115299.8198752,0.5683
145,1783115307.089388,0.5658
146,1783115314.379538,0.5731
147,1783115321.5938072,0.5703
148,1783115328.7598848,0.5412
149,1783115336.0042503,0.5809
150,1783115343.2683678,0.5854
151,1783115350.5252059,0.5669
152,1783115357.7287803,0.5517
153,1783115365.281878,0.5669
154,1783115372.4830575,0.5672
155,1783115379.715915,0.5783
156,1783115386.8920748,0.5618
157,1783115394.0896518,0.5621
158,1783115401.3041928,0.5873
159,1783115408.5202599,0.5773
160,1783115415.785945,0.5746
161,1783115422.9774258,0.5701
162,1783115430.229139,0.5747
163,1783115437.392571,0.5811
164,1783115444.3857017,0.5719
165,1783115451.550996,0.5843
166,1783115458.752799,0.571
167,1783115466.014302,0.5855
168,1783115473.1389353,0.5774
169,1783115480.2783878,0.595
170,1783115487.4843514,0.5972
171,1783115494.7389052,0.5824
172,1783115501.9945543,0.5889
173,1783115509.2083044,0.5949
174,1783115516.5275238,0.5855
175,1783115523.7748349,0.5848
176,1783115531.1668575,0.5964
177,1783115538.3008225,0.5936
178,1783115545.5111134,0.5769
179,1783115552.77251,0.5859
180,1783115559.9804823,0.5929
181,1783115567.235209,0.5946
182,1783115574.4791594,0.5917
183,1783115581.765665,0.5778
184,1783115588.968676,0.5831
185,1783115596.1943429,0.5907
186,1783115603.4475353,0.5903
187,1783115610.6666431,0.5804
188,1783115617.869426,0.5923
189,1783115625.1005082,0.5859
190,1783115632.2815857,0.5902
191,1783115639.5201008,0.592
192,1783115646.704567,0.5762
193,1783115654.038276,0.584
194,1783115661.2761924,0.5857
195,1783115668.5113208,0.5744
196,1783115675.8586621,0.5863
197,1783115683.0207217,0.5935
198,1783115690.3343632,0.5845
199,1783115697.5123897,0.5829
200,1783115710.7542872,0.6129
201,1783115720.6624894,0.6267
202,1783115730.6007674,0.6348
203,1783115740.3221662,0.6359
204,1783115749.796932,0.6275
205,1783115759.3214035,0.6244
206,1783115768.5206559,0.6289
207,1783115777.820976,0.6133
208,1783115787.233522,0.6166
209,1783115796.6569648,0.6183
210,1783115806.058319,0.6237
211,1783115815.440365,0.6018
212,1783115824.7899096,0.6224
213,1783115834.0890448,0.6099
214,1783115843.4922678,0.6339
215,1783115852.9426994,0.6266
216,1783115862.3249698,0.6221
217,1783115871.761772,0.6325
218,1783115881.282647,0.6233
219,1783115890.6826544,0.627
220,1783115900.118596,0.6274
221,1783115909.495026,0.6292
222,1783115919.0283046,0.6299
223,1783115928.501359,0.629
224,1783115937.9902523,0.6279
225,1783115947.4431446,0.6302
226,1783115956.8703427,0.6307
227,1783115966.3631017,0.6296
