,accuracy,lr
0,0.1081,0.0001
1,0.3391,0.0002
2,0.4237,0.00030000000000000003
3,0.4026,0.0004
4,0.3589,0.0005
5,0.2921,0.0006000000000000001
6,0.3822,0.0007000000000000001
7,0.3748,0.0008
8,0.2783,0.0009
9,0.428,0.001
10,0.3962,0.001
11,0.3973,0.001
12,0.4265,0.001
13,0.3865,0.001
14,0.384,0.001
15,0.4018,0.001
16,0.4539,0.001
17,0.413,0.001
18,0.4781,0.001
19,0.443,0.001
20,0.4656,0.001
21,0.4802,0.001
22,0.489,0.001
23,0.4763,0.001
24,0.4691,0.001
25,0.4612,0.001
26,0.4803,0.001
27,0.4693,0.001
28,0.4414,0.001
29,0.48,0.001
30,0.4549,0.001
31,0.4103,0.001
32,0.4343,0.001
33,0.4935,0.001
34,0.5106,0.001
35,0.4836,0.001
36,0.4916,0.001
37,0.5024,0.001
38,0.5028,0.001
39,0.4904,0.001
40,0.5039,0.001
41,0.4448,0.001
42,0.4736,0.001
43,0.5336,0.001
44,0.5032,0.001
45,0.4884,0.001
46,0.4688,0.001
47,0.5112,0.001
48,0.5008,0.001
49,0.506,0.001
50,0.5063,0.001
51,0.5059,0.001
52,0.4753,0.001
53,0.5155,0.001
54,0.5214,0.001
55,0.4755,0.001
56,0.4914,0.001
57,0.5101,0.001
58,0.5193,0.001
59,0.5204,0.001
60,0.5048,0.001
61,0.519,0.001
62,0.5057,0.001
63,0.5133,0.001
64,0.4893,0.001
65,0.5432,0.001
66,0.5075,0.001
67,0.505,0.001
68,0.5031,0.001
69,0.5059,0.001
70,0.5189,0.001
71,0.5202,0.001
72,0.5203,0.001
73,0.5277,0.001
74,0.5161,0.001
75,0.4994,0.001
76,0.4923,0.001
77,0.5213,0.001
78,0.5394,0.001
79,0.5187,0.001
80,0.5259,0.001
81,0.5273,0.001
82,0.4969,0.001
83,0.521,0.001
84,0.5222,0.001
85,0.5032,0.001
86,0.499,0.001
87,0.5424,0.001
88,0.5219,0.001
89,0.5178,0.001
90,0.5347,0.001
91,0.5468,0.001
92,0.523,0.001
93,0.5113,0.001
94,0.521,0.001
95,0.5313,0.001
96,0.5195,0.001
97,0.5453,0.001
98,0.5349,0.001
99,0.5242,0.001
100,0.575,0.0001
101,0.6139,0.0002
102,0.6231,0.00030000000000000003
103,0.6216,0.0004
104,0.6101,0.0005
105,0.6233,0.0006000000000000001
106,0.6119,0.0007000000000000001
107,0.617,0.0008
108,0.6005,0.0009
109,0.6077,0.001
110,0.6166,0.001
111,0.6036,0.001
112,0.6041,0.001
113,0.597,0.001
114,0.6212,0.001
115,0.604,0.001
116,0.6039,0.001
117,0.6092,0.001
118,0.6061,0.001
119,0.5917,0.001
120,0.5903,0.001
121,0.6232,0.001
